artist_name,artist_url,event_venue.city,event_venue.id,event_venue.latitude,event_datetime,event_venue.longitude,event_venue.url,event_url,event_id,event_venue.region,event_venue.name
Archive,http://www.bandsintown.com/Archive,Lausanne,11820,46.522243,2010-01-30T20:15:00,6.629119,http://www.bandsintown.com/venue/11820,http://www.bandsintown.com/event/2935626?app_id=epfl,2935626,Etr,SALLE METROPOLE
ANDRE MANOUKIAN,http://www.bandsintown.com/AndreManoukian,Geneva,814347,46.20934,2010-01-30T20:30:00,6.139452,http://www.bandsintown.com/venue/814347,http://www.bandsintown.com/event/3293169?app_id=epfl,3293169,Switzerland,Uptown Geneva
Punish Yourself,http://www.bandsintown.com/PunishYourself,Cheseaux-Noréaz,169999,46.781797,2010-01-30T21:30:00,6.67119,http://www.bandsintown.com/venue/169999,http://www.bandsintown.com/event/3140263?app_id=epfl,3140263,Switzerland,Amalgame Club
Gian-Andrea Costa,http://www.bandsintown.com/Gian-andreaCosta,Lausanne,790240,46.533489,2010-01-30T22:00:00,6.61873,http://www.bandsintown.com/venue/790240,http://www.bandsintown.com/event/3216663?app_id=epfl,3216663,Switzerland,Tacos
Soldout,http://www.bandsintown.com/Soldout,Zurich,772420,47.343448,2010-01-30T19:00:00,8.535557,http://www.bandsintown.com/venue/772420,http://www.bandsintown.com/event/5634851?app_id=epfl,5634851,25,Rote fabrik
Pasion De Buena Vista,http://www.bandsintown.com/PasionDeBuenaVista,Zurich,773100,47.3873901,2010-01-30T19:30:00,8.4854202,http://www.bandsintown.com/venue/773100,http://www.bandsintown.com/event/2878860?app_id=epfl,2878860,ZH,Neues Theater Spirgarten
Mike Doughty,http://www.bandsintown.com/MikeDoughty,Zurich,203096,47.3666667,2010-01-30T20:00:00,8.55,http://www.bandsintown.com/venue/203096,http://www.bandsintown.com/event/3280718?app_id=epfl,3280718,25,El Lokal
The 69 Eyes,http://www.bandsintown.com/The69Eyes,Basel,747119,47.5666667,2010-01-30T20:00:00,7.6,http://www.bandsintown.com/venue/747119,http://www.bandsintown.com/event/3161214?app_id=epfl,3161214,04,Konzertfabrik Z7
Dread J,http://www.bandsintown.com/DreadJ,Obernau,828409,47.033379,2010-01-30T20:00:00,8.25503,http://www.bandsintown.com/venue/828409,http://www.bandsintown.com/event/3357644?app_id=epfl,3357644,Switzerland,Privat Party
Van Langen,http://www.bandsintown.com/VanLangen,Lenzburg,808018,47.391269,2010-01-30T20:00:00,8.18035,http://www.bandsintown.com/venue/808018,http://www.bandsintown.com/event/3190739?app_id=epfl,3190739,Switzerland,Met Bar Lange war´s ruhig jetzt wird es laut tour
ant-zen,http://www.bandsintown.com/ant-zen,Luzern,298982,47.0833333,2010-01-30T22:00:00,8.2666667,http://www.bandsintown.com/venue/298982,http://www.bandsintown.com/event/2922004?app_id=epfl,2922004,11,Sedel
POW-LOW,http://www.bandsintown.com/POW-LOW,Erstfeld / Uri,807640,46.8341992,2010-01-30T23:00:00,8.6407127,http://www.bandsintown.com/venue/807640,http://www.bandsintown.com/event/3255922?app_id=epfl,3255922,,Transilvania Eventhall
Punish Yourself,http://www.bandsintown.com/PunishYourself,Cheseaux-Noréaz,169999,46.781797,2010-01-31T19:00:00,6.67119,http://www.bandsintown.com/venue/169999,http://www.bandsintown.com/event/3159976?app_id=epfl,3159976,Switzerland,Amalgame Club
Archive,http://www.bandsintown.com/Archive,Zurich,275159,47.3666667,2010-01-31T18:30:00,8.55,http://www.bandsintown.com/venue/275159,http://www.bandsintown.com/event/3086798?app_id=epfl,3086798,25,X-tra
Herman van Veen,http://www.bandsintown.com/HermanVanVeen,Basel,169943,47.5545998,2010-01-31T19:00:00,7.5886898,http://www.bandsintown.com/venue/169943,http://www.bandsintown.com/event/3109378?app_id=epfl,3109378,BS,Stadtcasino Basel
Pasion De Buena Vista,http://www.bandsintown.com/PasionDeBuenaVista,Zurich,773100,47.3873901,2010-01-31T19:30:00,8.4854202,http://www.bandsintown.com/venue/773100,http://www.bandsintown.com/event/2878863?app_id=epfl,2878863,ZH,Neues Theater Spirgarten
