artist_name,artist_url,event_datetime,event_venue.region,event_url,event_venue.url,event_venue.city,event_venue.latitude,event_venue.longitude,event_venue.name,event_id,event_venue.id
Alter Bridge,http://www.bandsintown.com/AlterBridge,2011-11-01T19:00:00,06,http://www.bandsintown.com/event/4453683?app_id=epfl,http://www.bandsintown.com/venue/1136568,Fribourg,46.8,7.15,FR-son,4453683,1136568
Alter Bridge France,http://www.bandsintown.com/AlterBridgeFrance,2011-11-01T20:00:00,Etr,http://www.bandsintown.com/event/4488545?app_id=epfl,http://www.bandsintown.com/venue/275156,Fribourg,46.79489,7.151038,Fri-Son,4488545,275156
Black Stone Cherry,http://www.bandsintown.com/BlackStoneCherry,2011-11-01T20:00:00,Etr,http://www.bandsintown.com/event/4488545?app_id=epfl,http://www.bandsintown.com/venue/275156,Fribourg,46.79489,7.151038,Fri-Son,4488545,275156
Till We Drop,http://www.bandsintown.com/TillWeDrop,2011-11-01T19:00:00,01,http://www.bandsintown.com/event/4584457?app_id=epfl,http://www.bandsintown.com/venue/1185727,Aarau,47.3833333,8.05,The Blackout Argument Farewell Tour 2011 - Kiff,4584457,1185727
Ascension 46,http://www.bandsintown.com/Ascension46,2011-11-01T19:00:00,01,http://www.bandsintown.com/event/4550453?app_id=epfl,http://www.bandsintown.com/venue/1173089,Aarau,47.3833333,8.05,Till We Drop @ Kiff,4550453,1173089
The Blackout Argument,http://www.bandsintown.com/TheBlackoutArgument,2011-11-01T19:00:00,01,http://www.bandsintown.com/event/4567393?app_id=epfl,http://www.bandsintown.com/venue/306293,Aarau,47.3833333,8.05,Kiff,4567393,306293
SOCIAL SUICIDE,http://www.bandsintown.com/SocialSuicide,2011-11-01T19:00:00,01,http://www.bandsintown.com/event/4567393?app_id=epfl,http://www.bandsintown.com/venue/306293,Aarau,47.3833333,8.05,Kiff,4567393,306293
Metalmayhem,http://www.bandsintown.com/Metalmayhem,2011-11-01T19:00:00,01,http://www.bandsintown.com/event/4567393?app_id=epfl,http://www.bandsintown.com/venue/306293,Aarau,47.3833333,8.05,Kiff,4567393,306293
An Horse,http://www.bandsintown.com/AnHorse,2011-11-01T19:00:00,Lucerne,http://www.bandsintown.com/event/4546028?app_id=epfl,http://www.bandsintown.com/venue/334152,Lucerne,47.044019,8.311746,Schüür,4546028,334152
Tim Neuhaus,http://www.bandsintown.com/TimNeuhaus,2011-11-01T19:00:00,Lucerne,http://www.bandsintown.com/event/4546028?app_id=epfl,http://www.bandsintown.com/venue/334152,Lucerne,47.044019,8.311746,Schüür,4546028,334152
Abba Gold,http://www.bandsintown.com/AbbaGold,2011-11-01T20:00:00,AG,http://www.bandsintown.com/event/4656387?app_id=epfl,http://www.bandsintown.com/venue/911017,Baden,47.4802513,8.3101397,Kurtheater Baden,4656387,911017
Y&T,http://www.bandsintown.com/YAndT,2011-11-01T20:00:00,Etr,http://www.bandsintown.com/event/4385121?app_id=epfl,http://www.bandsintown.com/venue/781432,Pratteln,47.52729,7.694064,Z7 Konzertfabrik,4385121,781432
The Baseballs,http://www.bandsintown.com/TheBaseballs,2011-11-01T20:00:00,25,http://www.bandsintown.com/event/4447090?app_id=epfl,http://www.bandsintown.com/venue/772987,Zürich,47.3868602,8.5168115,Maag Music / Event Hall,4447090,772987
Wild Beasts,http://www.bandsintown.com/WildBeasts,2011-11-01T20:00:00,25,http://www.bandsintown.com/event/4487564?app_id=epfl,http://www.bandsintown.com/venue/999800,Zurich,47.3666667,8.55,Plaza,4487564,999800
True Live,http://www.bandsintown.com/TrueLive,2011-11-01T20:00:00,04,http://www.bandsintown.com/event/4573406?app_id=epfl,http://www.bandsintown.com/venue/169941,Basel,47.5638072,7.5911254,Kaserne,4573406,169941
Pigeon John,http://www.bandsintown.com/PigeonJohn,2011-11-01T20:00:00,04,http://www.bandsintown.com/event/4573406?app_id=epfl,http://www.bandsintown.com/venue/169941,Basel,47.5638072,7.5911254,Kaserne,4573406,169941
Peter Reber,http://www.bandsintown.com/PeterReber,2011-11-01T20:00:00,,http://www.bandsintown.com/event/4710132?app_id=epfl,http://www.bandsintown.com/venue/1231826,Jona,47.2295968,8.8365823,Kreuzsaal,4710132,1231826
Turbostaat,http://www.bandsintown.com/Turbostaat,2011-11-01T20:00:00,ZH,http://www.bandsintown.com/event/4710133?app_id=epfl,http://www.bandsintown.com/venue/697731,Zurich,47.3882217,8.5194702,Exil,4710133,697731
Apparat,http://www.bandsintown.com/Apparat,2011-11-01T20:00:00,,http://www.bandsintown.com/event/4710134?app_id=epfl,http://www.bandsintown.com/venue/868508,Zürich,47.3717637,8.5363913,Kaufleuten Festsaal,4710134,868508
stöter/török,http://www.bandsintown.com/st%C3%B6ter%252Ft%C3%B6r%C3%B6k,2011-11-01T20:30:00,25,http://www.bandsintown.com/event/4710135?app_id=epfl,http://www.bandsintown.com/venue/390920,Zurich,47.374458,8.53397,Stall 6,4710135,390920
CD Taufe,http://www.bandsintown.com/CdTaufe,2011-11-01T20:30:00,25,http://www.bandsintown.com/event/4710136?app_id=epfl,http://www.bandsintown.com/venue/10674,Zurich,47.3666667,8.55,Moods,4710136,10674
Cowboys From Hell,http://www.bandsintown.com/CowboysFromHell,2011-11-01T20:30:00,Switzerland,http://www.bandsintown.com/event/4710137?app_id=epfl,http://www.bandsintown.com/venue/44952,Zurich,47.371722,8.536468,Kaufleuten,4710137,44952
'77,http://www.bandsintown.com/%2777,2011-11-01T21:00:00,ZH,http://www.bandsintown.com/event/4674397?app_id=epfl,http://www.bandsintown.com/venue/950201,Zurich,47.3794708,8.5271997,Bar Rossi,4674397,950201
Young Rebel Set,http://www.bandsintown.com/YoungRebelSet,2011-11-01T21:00:00,,http://www.bandsintown.com/event/4710138?app_id=epfl,http://www.bandsintown.com/venue/1123633,Zürich,47.38621,8.522125,Restaurant Viadukt,4710138,1123633
Saint Lu,http://www.bandsintown.com/SaintLu,2011-11-01T20:00:00,,http://www.bandsintown.com/event/4341848?app_id=epfl,http://www.bandsintown.com/venue/1009236,St. Gallen,47.421691,9.375878,Einstein,4341848,1009236
honeybird & the birdies,http://www.bandsintown.com/HoneybirdAndTheBirdies,2011-11-01T21:00:00,15,http://www.bandsintown.com/event/4689501?app_id=epfl,http://www.bandsintown.com/venue/1072759,Sankt Gallen,47.426381,9.373692,La Buena Onda,4689501,1072759
