artist_name,artist_url,event_datetime,event_venue.region,event_url,event_venue.url,event_venue.city,event_venue.latitude,event_venue.longitude,event_venue.name,event_id,event_venue.id
Bob Spring,http://www.bandsintown.com/BobSpring,2011-04-01T22:00:00,Switzerland,http://www.bandsintown.com/event/4250380?app_id=epfl,http://www.bandsintown.com/venue/1059769,Zurich,47.370977,8.523558,Devi's Pearl Bar,4250380,1059769
Martin Landsky,http://www.bandsintown.com/MartinLandsky,2011-04-01T23:00:00,11,http://www.bandsintown.com/event/4187862?app_id=epfl,http://www.bandsintown.com/venue/1040442,Luzern,47.0833333,8.2666667,club ROK,4187862,1040442
Lo Fat Orchestra,http://www.bandsintown.com/LoFatOrchestra,2011-04-01T19:00:00,,http://www.bandsintown.com/event/4201857?app_id=epfl,http://www.bandsintown.com/venue/1044584,Buchs,47.1654015,9.4731798,FABRIGGLI,4201857,1044584
Marco Marchi & The Mojo Workers,http://www.bandsintown.com/MarcoMarchiAndTheMojoWorkers,2011-04-01T19:00:00,20,http://www.bandsintown.com/event/5785623?app_id=epfl,http://www.bandsintown.com/venue/1573679,Locarno,46.1666667,8.8,Fashion 2ché,5785623,1573679
"Lee ""Scratch"" Perry",http://www.bandsintown.com/Lee%22scratch%22Perry,2011-04-02T10:00:00,Canton Of Fribourg,http://www.bandsintown.com/event/4183850?app_id=epfl,http://www.bandsintown.com/venue/323397,Düdingen,46.8615737,7.1801778,Bad Bonn,4183850,323397
Amagortis,http://www.bandsintown.com/Amagortis,2011-04-02T19:00:00,Etr,http://www.bandsintown.com/event/5633656?app_id=epfl,http://www.bandsintown.com/venue/275156,Fribourg,46.79489,7.151038,Fri-Son,5633656,275156
IMANY,http://www.bandsintown.com/IMANY,2011-04-02T19:00:00,VD,http://www.bandsintown.com/event/4126111?app_id=epfl,http://www.bandsintown.com/venue/1022723,Bourg-En-Lavaux,46.4883,6.73055,Cully Jazz Festival,4126111,1022723
Promethee,http://www.bandsintown.com/Promethee,2011-04-02T19:00:00,Switzerland,http://www.bandsintown.com/event/4204449?app_id=epfl,http://www.bandsintown.com/venue/1045383,Petit-Lancy,46.19054,6.116898,Salle communalle du Petit-Lancy,4204449,1045383
Drumcorps,http://www.bandsintown.com/Drumcorps,2011-04-02T19:00:00,Etr,http://www.bandsintown.com/event/4213409?app_id=epfl,http://www.bandsintown.com/venue/753617,Geneve,46.203995,6.136277,USINE,4213409,753617
Marc Lavoine,http://www.bandsintown.com/MarcLavoine,2011-04-02T20:00:00,Etr,http://www.bandsintown.com/event/3757512?app_id=epfl,http://www.bandsintown.com/venue/1018995,Geneve,46.209614,6.150724,THEATRE DU LEMAN,3757512,1018995
Abraham,http://www.bandsintown.com/Abraham,2011-04-02T21:00:00,22,http://www.bandsintown.com/event/5306900?app_id=epfl,http://www.bandsintown.com/venue/1022797,Saint-Maurice,46.2166667,7.0,Pub du Manoir,5306900,1022797
King Automatic,http://www.bandsintown.com/KingAutomatic,2011-04-02T21:00:00,07,http://www.bandsintown.com/event/4143778?app_id=epfl,http://www.bandsintown.com/venue/1021616,Genève,46.2039958,6.1362771,L'Usine,4143778,1021616
The Stifflers,http://www.bandsintown.com/TheStifflers,2011-04-02T12:00:00,Switzerland,http://www.bandsintown.com/event/4212502?app_id=epfl,http://www.bandsintown.com/venue/45985,Winterthur,47.494678,8.70794,Gaswerk,4212502,45985
Dario Rivas Official FanClub,http://www.bandsintown.com/DarioRivasOfficialFanclub,2011-04-02T12:00:00,,http://www.bandsintown.com/event/4251314?app_id=epfl,http://www.bandsintown.com/venue/842099,Winterthur,47.4982147,8.7234819,Garden Club,4251314,842099
Gun Barrel,http://www.bandsintown.com/GunBarrel,2011-04-02T19:00:00,Etr,http://www.bandsintown.com/event/4173845?app_id=epfl,http://www.bandsintown.com/venue/594255,Zurich,47.383297,8.539312,Dynamo,4173845,594255
The Peacocks,http://www.bandsintown.com/ThePeacocks,2011-04-02T19:00:00,,http://www.bandsintown.com/event/4106519?app_id=epfl,http://www.bandsintown.com/venue/957054,Schaffhausen,47.69856,8.636345,FassKeller,4106519,957054
Muhi Tahiri,http://www.bandsintown.com/MuhiTahiri,2011-04-02T19:00:00,,http://www.bandsintown.com/event/8679199?app_id=epfl,http://www.bandsintown.com/venue/2440524,Basel,47.54874,7.58768,Bescen Festival ,8679199,2440524
The Setup,http://www.bandsintown.com/TheSetup,2011-04-02T19:00:00,,http://www.bandsintown.com/event/4109891?app_id=epfl,http://www.bandsintown.com/venue/1016535,Bürglen,46.87679,8.67148,Provisorium,4109891,1016535
Strength Approach,http://www.bandsintown.com/StrengthApproach,2011-04-02T19:00:00,,http://www.bandsintown.com/event/4109891?app_id=epfl,http://www.bandsintown.com/venue/1016535,Bürglen,46.87679,8.67148,Provisorium,4109891,1016535
Popa Chubby,http://www.bandsintown.com/PopaChubby,2011-04-02T19:00:00,25,http://www.bandsintown.com/event/4157783?app_id=epfl,http://www.bandsintown.com/venue/10674,Zurich,47.3666667,8.55,Moods,4157783,10674
Baby Genius,http://www.bandsintown.com/BabyGenius,2011-04-02T19:00:00,Canton Of Basel-City,http://www.bandsintown.com/event/7526782?app_id=epfl,http://www.bandsintown.com/venue/1249107,Basel,47.567554,7.610345,Volkshaus,7526782,1249107
Marco Bailey,http://www.bandsintown.com/MarcoBailey,2011-04-02T19:00:00,BS,http://www.bandsintown.com/event/4143232?app_id=epfl,http://www.bandsintown.com/venue/768118,Basel,47.5740204,7.5687599,Borderline,4143232,768118
Gypsy Sound System,http://www.bandsintown.com/GypsySoundSystem,2011-04-02T19:00:00,01,http://www.bandsintown.com/event/4121473?app_id=epfl,http://www.bandsintown.com/venue/306293,Aarau,47.3833333,8.05,Kiff,4121473,306293
Balkan Beat Box,http://www.bandsintown.com/BalkanBeatBox,2011-04-02T19:00:00,01,http://www.bandsintown.com/event/4121473?app_id=epfl,http://www.bandsintown.com/venue/306293,Aarau,47.3833333,8.05,Kiff,4121473,306293
Lady Waks,http://www.bandsintown.com/LadyWaks,2011-04-02T19:00:00,,http://www.bandsintown.com/event/4140496?app_id=epfl,http://www.bandsintown.com/venue/1027312,Zurich,47.3833333,8.5333333,Usl,4140496,1027312
The Young Gods,http://www.bandsintown.com/TheYoungGods,2011-04-02T19:00:00,11,http://www.bandsintown.com/event/4121057?app_id=epfl,http://www.bandsintown.com/venue/298982,Luzern,47.0833333,8.2666667,Sedel,4121057,298982
