,Artist,City,Date,Genre,Venue,origin
1202,Kaspar Rast, Zürich,2016-11-14,"Jazz, Blues, Soul",Exil,
1203,Thomy Jordi, Zürich,2016-11-14,"Jazz, Blues, Soul",Exil,
1204,Sha, Zürich,2016-11-14,"Jazz, Blues, Soul",Exil,
1205,Gabriela Krapf & Horns, Winterthur,2016-11-14,"Jazz, Blues, Soul",Esse Musicbar,
1206,Gabriela Krapf, Winterthur,2016-11-14,"Jazz, Blues, Soul",Esse Musicbar,
1207,Silvan Kiser, Winterthur,2016-11-14,"Jazz, Blues, Soul",Esse Musicbar,
1208,Raffaele Lunardi, Winterthur,2016-11-14,"Jazz, Blues, Soul",Esse Musicbar,
1209,Phil Powell, Winterthur,2016-11-14,"Jazz, Blues, Soul",Esse Musicbar,
1210,The Big Nose Attack, Bern,2016-11-13,"Jazz, Blues, Soul",Reitschule,Greece
1211,GBH, Zürich,2016-11-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Dynamo,United Kingdom
1212,The Strapones, Zürich,2016-11-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Dynamo,
1213,Mammoth Voices & Lets Sing Choir, Uitikon Waldegg,2016-11-13,Pop,Üdiker-Haus,
1214,Philipp Moll, Bern,2016-11-13,"Jazz, Blues, Soul",Mahogany Hall,
1215,Philipp Moll, Bern,2016-11-13,"Jazz, Blues, Soul",Mahogany Hall,
1216,Stewy von Wattenwyl, Bern,2016-11-13,"Jazz, Blues, Soul",Mahogany Hall,
1217,Kevin Chesham, Bern,2016-11-13,"Jazz, Blues, Soul",Mahogany Hall,
1218,Jürg Bucher, Bern,2016-11-13,"Jazz, Blues, Soul",Mahogany Hall,
1219,DJs Urban Hands, Zürich,2016-11-13,"Hip Hop, R'n'B",Hiltl Club,
1220,Rizzle, Zürich,2016-11-13,"Hip Hop, R'n'B",Hiltl Club,
1221,Kay-Cut, Zürich,2016-11-13,"Hip Hop, R'n'B",Hiltl Club,
1222,DJ Colombiana, Zürich,2016-11-13,"Ragga, Reggae, African Music, Dancehall",Donde Luis,
1223,DJs Lucenzo, Kriens,2016-11-12,"Hip Hop, R'n'B",Vegas Dance Club,
1224,Meniino, Kriens,2016-11-12,"Hip Hop, R'n'B",Vegas Dance Club,
1225,JayDee, Kriens,2016-11-12,"Hip Hop, R'n'B",Vegas Dance Club,
1226,Jeev P, Kriens,2016-11-12,"Hip Hop, R'n'B",Vegas Dance Club,
1227,Engels Rodriguez, Kriens,2016-11-12,"Hip Hop, R'n'B",Vegas Dance Club,
1228,DJ Rockay, Zürich,2016-11-12,"Hip Hop, R'n'B",PurPur,
1229,Damian Lynn, Frauenfeld,2016-11-12,Pop,Eisenwerk,
1230,Ralph and the Legends, Rubigen,2016-11-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Mühle Hunziken,
1231,Möchtegang, Luzern,2016-11-12,"Hip Hop, R'n'B",Bar 59,
1232,DJ Pepe, Basel,2016-11-12,"Ragga, Reggae, African Music, Dancehall",Club Corrientes,
1233,DJ Seppi, Luzern,2016-11-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Tschuppi's Wonderbar,
1234,Killing Joke,,2016-11-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Usine,United Kingdom
1235,Death Valley High,,2016-11-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Usine,United Kingdom
1236,Sobaki Tabaka,,2016-11-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Usine,
1237,Melinda NaAbonji, Uster,2016-11-12,Electronic,Café und Weinbar zum Hut,
1238,Balts Nill, Uster,2016-11-12,Electronic,Café und Weinbar zum Hut,
1239,Mich Gerber, Uster,2016-11-12,Electronic,Café und Weinbar zum Hut,
1240,Peter Schärli Trio feat. Glenn Ferris, Solothurn,2016-11-12,"Jazz, Blues, Soul",KreuzKultur,
1241,Peter Schärli, Solothurn,2016-11-12,"Jazz, Blues, Soul",KreuzKultur,
1242,Thomas Dürst, Solothurn,2016-11-12,"Jazz, Blues, Soul",KreuzKultur,
1243,Hans-Peter Pfammatter, Solothurn,2016-11-12,"Jazz, Blues, Soul",KreuzKultur,
1244,Glen Ferris, Solothurn,2016-11-12,"Jazz, Blues, Soul",KreuzKultur,
1245,Fougue, Bern,2016-11-12,Pop,Ono - Das Kulturlokal,
1246,Lions Law, Aarburg,2016-11-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Musigburg,
1247,Lammkotze, Aarburg,2016-11-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Musigburg,
1248,Marc O'Reilly & Band, Luzern,2016-11-12,"Rock, Indie, Punk, Heavy Metal, Gothic",B&B; Bettstatt,Ireland
1249,The Daltons, Wichtrach,2016-11-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Gärtnerei Bühler,
1250,Mister Milano, Basel,2016-11-12,Pop,Alter Zoll,
1251,Yvonne & Davide, Bad Ragaz,2016-11-12,Pop,Grand Hotel Hof Ragaz,
1252,Apple's Paradise Big Band, Affoltern am Albis,2016-11-12,"Jazz, Blues, Soul",Kasinosaal,
1253,DJs Kay Cut, Zürich,2016-11-12,"Hip Hop, R'n'B",Escherwyss,
1254,R-Suda, Zürich,2016-11-12,"Hip Hop, R'n'B",Escherwyss,
1255,DJs 2-Takt, Luzern,2016-11-12,"Hip Hop, R'n'B",Rok,
1256,Fänster Off, Luzern,2016-11-12,"Hip Hop, R'n'B",Rok,
1257,DJs Hashman, Lausanne,2016-11-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Le Romandie,
1258,Oliv, Lausanne,2016-11-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Le Romandie,
1259,Hubble Suite, Lausanne,2016-11-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Le Romandie,
1260,DJ Tiago & Whitecut, Luzern,2016-11-12,"Hip Hop, R'n'B",El Cartel,
1261,DJ Chosen One, Bern,2016-11-12,"Hip Hop, R'n'B",Le Ciel,
1262,DJs Strømo & Strakton, Zürich,2016-11-11,"Hip Hop, R'n'B",Provitreff,
1263,Booskopp, Zürich,2016-11-11,"Hip Hop, R'n'B",Provitreff,
1264,Guilty Pleasure, Zürich,2016-11-11,"Hip Hop, R'n'B",Provitreff,
1265,DJs Pablo, Bern,2016-11-11,"Hip Hop, R'n'B",Playground Lounge,
1266,Blazer, Bern,2016-11-11,"Hip Hop, R'n'B",Playground Lounge,
1267,Turntill, Bern,2016-11-11,"Hip Hop, R'n'B",Playground Lounge,
1268,DJs Miguel M, Zürich,2016-11-11,"Hip Hop, R'n'B",Vior Club,
1269,WR, Zürich,2016-11-11,"Hip Hop, R'n'B",Vior Club,
1270,Crazy Diamond, Lyss,2016-11-11,"Rock, Indie, Punk, Heavy Metal, Gothic",Kulturfabrik KUFA,
1271,DJ Pink Floyd Tribute, Lyss,2016-11-11,"Rock, Indie, Punk, Heavy Metal, Gothic",Kulturfabrik KUFA,
1272,Facio, Basel,2016-11-11,Pop,Lola,
1273,Dave Eleanor & Friends, Zürich,2016-11-11,Electronic,Stall 6,
1274,Cross Connection, Buchs,2016-11-11,"Hip Hop, R'n'B",Fabriggli,
1275,Shirley Grimes, Mels,2016-11-11,Pop,Altes Kino,
1276,Jazz Connection feat. Angela van Rijthoven, Bülach,2016-11-11,"Jazz, Blues, Soul",JazzInn,
1277,Angela van Rijthoven, Bülach,2016-11-11,"Jazz, Blues, Soul",JazzInn,
1278,Jurgen Feskens, Bülach,2016-11-11,"Jazz, Blues, Soul",JazzInn,
1279,Peter van Steen, Bülach,2016-11-11,"Jazz, Blues, Soul",JazzInn,
1280,Rob Henneveld, Bülach,2016-11-11,"Jazz, Blues, Soul",JazzInn,
1281,Bart Maassen, Bülach,2016-11-11,"Jazz, Blues, Soul",JazzInn,
1282,Allemano-Binder-Schlegel, Zürich,2016-11-11,"Jazz, Blues, Soul",WIM - Werkstatt für improvisierte Musik,
1283,Lina Allemano, Zürich,2016-11-11,"Jazz, Blues, Soul",WIM - Werkstatt für improvisierte Musik,
1284,Claudia Ulla Binder, Zürich,2016-11-11,"Jazz, Blues, Soul",WIM - Werkstatt für improvisierte Musik,
1285,Jan Schlegel, Zürich,2016-11-11,"Jazz, Blues, Soul",WIM - Werkstatt für improvisierte Musik,
1286,Carolynn & Michael Adagion, Solothurn,2016-11-11,"Rock, Indie, Punk, Heavy Metal, Gothic",T-Room,
1287,The Green River Burial, Zug,2016-11-11,"Rock, Indie, Punk, Heavy Metal, Gothic",Industrie 45,
1288,Nevercold, Zug,2016-11-11,"Rock, Indie, Punk, Heavy Metal, Gothic",Industrie 45,
1289,Lotrify, Zug,2016-11-11,"Rock, Indie, Punk, Heavy Metal, Gothic",Industrie 45,
1290,Save Your Last Breath, Zug,2016-11-11,"Rock, Indie, Punk, Heavy Metal, Gothic",Industrie 45,
1291,Anja Braun, Basel,2016-11-11,Pop,Unternehmen Mitte,
1292,Anita Samuel, Basel,2016-11-11,Pop,Unternehmen Mitte,
1293,Obelyskkh, Luzern,2016-11-11,"Rock, Indie, Punk, Heavy Metal, Gothic",Treibhaus,
1294,Astrowhale, Luzern,2016-11-11,"Rock, Indie, Punk, Heavy Metal, Gothic",Treibhaus,
1295,Local Natives, Zürich,2016-11-11,"Rock, Indie, Punk, Heavy Metal, Gothic",Rote Fabrik,
1296,The Big Moon, Zürich,2016-11-11,"Rock, Indie, Punk, Heavy Metal, Gothic",Rote Fabrik,
1297,Mnozil Brass, Olten,2016-11-11,"Jazz, Blues, Soul",Stadttheater Olten,
1298,Living Session Band, Wil,2016-11-11,"Jazz, Blues, Soul",Psychiatrische Klinik,
1299,Patrick Podage, Bern,2016-11-10,Electronic,Reitschule,
1300,Meerganglied, Bern,2016-11-10,Electronic,Reitschule,
1301,DJs Vincz Lee, Zürich,2016-11-10,"Hip Hop, R'n'B",Mascotte,
1302,Big Boys, Zürich,2016-11-10,"Hip Hop, R'n'B",Mascotte,
1303,Mef, Zürich,2016-11-10,"Hip Hop, R'n'B",Mascotte,
1304,DJs Kool Kut Luke,,2016-11-10,"Hip Hop, R'n'B",Fri-Son,
1305,Rayman,,2016-11-10,"Hip Hop, R'n'B",Fri-Son,
1306,Ramso,,2016-11-10,"Hip Hop, R'n'B",Fri-Son,
1307,Steve!, Luzern,2016-11-10,"Jazz, Blues, Soul",Neubad,
1308,Silvan Schmid Trio, Zürich,2016-11-10,"Jazz, Blues, Soul",Verein Langstrassenkultur,
1309,Silvan Schmid, Zürich,2016-11-10,"Jazz, Blues, Soul",Verein Langstrassenkultur,
1310,Xaver Rüegg, Zürich,2016-11-10,"Jazz, Blues, Soul",Verein Langstrassenkultur,
1311,Vincent Glanzmann, Zürich,2016-11-10,"Jazz, Blues, Soul",Verein Langstrassenkultur,
1312,Walter Trout, Rubigen,2016-11-10,"Rock, Indie, Punk, Heavy Metal, Gothic",Mühle Hunziken,United States
1313,G.B.H., Bern,2016-11-10,"Rock, Indie, Punk, Heavy Metal, Gothic",ISC Club,United Kingdom
1314,The Strapones, Bern,2016-11-10,"Rock, Indie, Punk, Heavy Metal, Gothic",ISC Club,
1315,Aptus di Follia, Bern,2016-11-10,"Rock, Indie, Punk, Heavy Metal, Gothic",ISC Club,
1316,Where's Africa, Zürich,2016-11-10,"Jazz, Blues, Soul",Schoffel,
1317,Omri Ziegele, Zürich,2016-11-10,"Jazz, Blues, Soul",Schoffel,
1318,Yves Theiler, Zürich,2016-11-10,"Jazz, Blues, Soul",Schoffel,
1319,Dario Sisera, Zürich,2016-11-10,"Jazz, Blues, Soul",Schoffel,
1320,Sandro Schneebeli - Florian Favre, Wabern,2016-11-10,"Jazz, Blues, Soul",Villa Bernau,
1321,Robert Glasper Experiment, Basel,2016-11-10,"Hip Hop, R'n'B",Kaserne,United States
1322,White Lies, Zürich,2016-11-10,"Rock, Indie, Punk, Heavy Metal, Gothic",Kaufleuten,United Kingdom
1323,DJ EKR, Zürich,2016-11-10,"Hip Hop, R'n'B",Gonzo,
1324,DJ Manuel, Zürich,2016-11-09,"Ragga, Reggae, African Music, Dancehall",Vior Club,
1325,Lee Renaldo & El Rayo, Düdingen,2016-11-09,"Rock, Indie, Punk, Heavy Metal, Gothic",Bad Bonn,United States
1326,Mark Wynn, Düdingen,2016-11-09,"Rock, Indie, Punk, Heavy Metal, Gothic",Bad Bonn,United Kingdom
1327,Tommy Cash, Zürich,2016-11-09,"Hip Hop, R'n'B",Exil,Estonia
1328,Living Session Band,,2016-11-09,"Jazz, Blues, Soul",Pfalzkeller,
1329,Vader, Winterthur,2016-11-09,"Rock, Indie, Punk, Heavy Metal, Gothic",Salzhaus,Poland
1330,Hate Eternal, Winterthur,2016-11-09,"Rock, Indie, Punk, Heavy Metal, Gothic",Salzhaus,United States
1331,Threat Signal, Winterthur,2016-11-09,"Rock, Indie, Punk, Heavy Metal, Gothic",Salzhaus,Canada
1332,Sarah Chaksad Orchestra, Basel,2016-11-08,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
1333,Julie Fahrer, Basel,2016-11-08,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
1334,Jonas Winterhalter, Basel,2016-11-08,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
1335,Octave Moritz, Basel,2016-11-08,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
1336,Charles Wagner, Basel,2016-11-08,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
1337,Schönholzer & Rüdisüli,"evue, 8001 Zürich",2016-11-08,Pop,Herzbaracke,
1338,Walter Trout, Pratteln,2016-11-08,"Rock, Indie, Punk, Heavy Metal, Gothic",Z7,
1339,Krak,,2016-11-08,"Jazz, Blues, Soul",Chrottegrotte,
1340,Collin VallonTrio, Thun,2016-11-08,"Jazz, Blues, Soul",Mokka,
1341,Collin Vallon, Thun,2016-11-08,"Jazz, Blues, Soul",Mokka,
1342,Patrice Moret, Thun,2016-11-08,"Jazz, Blues, Soul",Mokka,
1343,André Pousaz, Thun,2016-11-08,"Jazz, Blues, Soul",Mokka,
1344,Peter Schärli Trio feat. Glenn Ferris, Luzern,2016-11-08,"Jazz, Blues, Soul",Kleintheater Luzern,
1345,Thomas Dürst, Luzern,2016-11-08,"Jazz, Blues, Soul",Kleintheater Luzern,
1346,Hans-Peter Pfammatter, Luzern,2016-11-08,"Jazz, Blues, Soul",Kleintheater Luzern,
1347,Peter Schärli, Luzern,2016-11-08,"Jazz, Blues, Soul",Kleintheater Luzern,
1348,Glenn Ferris, Luzern,2016-11-08,"Jazz, Blues, Soul",Kleintheater Luzern,
1349,Helga Plankensteiner Sextett,,2016-11-07,"Jazz, Blues, Soul",1733 - Weinlokal,
1350,Allah-Las, Zürich,2016-11-07,Pop,Mascotte,United States
1351,Niedeckens BAP, Zürich,2016-11-07,"Rock, Indie, Punk, Heavy Metal, Gothic",Volkshaus,
1352,DJ Lukas Gregor, Winterthur,2016-11-07,"Ragga, Reggae, African Music, Dancehall",Kellertheater Winterthur,
1353,Hardcore Punk Night, Luzern,2016-11-06,"Rock, Indie, Punk, Heavy Metal, Gothic",The Bruch Brothers,
1354,Bruno Bieri, Bern,2016-11-06,Pop,La Cappella,
1355,Mammoth Voices & Lets Sing Choir, Niederweningen,2016-11-06,Pop,Konzertsaal Mammutwis,
1356,Die Sunechind singen stimmungsvolle, Affoltern am Albis,2016-11-06,Pop,Aula Schulhaus Ennetgraben,
1357,Art Band, Zürich,2016-11-06,Pop,Bierhalle Wolf,
1358,DJs Gil-B, Bern,2016-11-06,"Hip Hop, R'n'B",Du Théâtre,
1359,Jair & Tierrez, Bern,2016-11-06,"Hip Hop, R'n'B",Du Théâtre,
1360,DJ Mykel Rozenberg, Aarau,2016-11-06,"Hip Hop, R'n'B",Boiler Club,
1361,DJs The DJ, Zürich,2016-11-06,"Hip Hop, R'n'B",Gonzo,
1362,Milieu Mauri, Zürich,2016-11-06,"Hip Hop, R'n'B",Gonzo,
1363,Chrigi G. us Z., Zürich,2016-11-06,"Hip Hop, R'n'B",Gonzo,
1364,Pena DJ Crew,,2016-11-06,"Ragga, Reggae, African Music, Dancehall",Trischli Club,
1365,DJs Mad Madame, Zürich,2016-11-06,"Hip Hop, R'n'B",Lexy Club,
1366,That Fucking Sarah, Zürich,2016-11-06,"Hip Hop, R'n'B",Lexy Club,
1367,Carla du Riche, Zürich,2016-11-06,"Hip Hop, R'n'B",Lexy Club,
1368,Lonnie Holley & The Pyramids, Kriens,2016-11-05,"Rock, Indie, Punk, Heavy Metal, Gothic",Südpol,United States
1369,Möchtegang, Zürich,2016-11-05,"Hip Hop, R'n'B",Kanzlei,
1370,DJ Carlos, Luzern,2016-11-05,"Ragga, Reggae, African Music, Dancehall",el Barrio,
1371,Karma to Burn, Basel,2016-11-05,"Rock, Indie, Punk, Heavy Metal, Gothic",Kaserne,United States
1372,The Vibes, Basel,2016-11-05,"Rock, Indie, Punk, Heavy Metal, Gothic",Kaserne,
1373,Müslüm & Band, Aarau,2016-11-05,Pop,KiFF,
1374,Sokol, Zürich,2016-11-05,"Rock, Indie, Punk, Heavy Metal, Gothic",Mehrspur,
1375,Nösig-Pukl-Quintet, Basel,2016-11-05,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
1376,Daniel Nösig, Basel,2016-11-05,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
1377,Jure Pukl, Basel,2016-11-05,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
1378,Tzumo Arpad, Basel,2016-11-05,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
1379,Josh Ginsburg, Basel,2016-11-05,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
1380,Howard Curtis, Basel,2016-11-05,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
1381,Jazz Funkybones, Rheinfelden,2016-11-05,"Jazz, Blues, Soul",Hotel Schützen,
1382,Bruno Brand, Rheinfelden,2016-11-05,"Jazz, Blues, Soul",Hotel Schützen,
1383,Othmar Rotzinger, Rheinfelden,2016-11-05,"Jazz, Blues, Soul",Hotel Schützen,
1384,Erich Brand, Rheinfelden,2016-11-05,"Jazz, Blues, Soul",Hotel Schützen,
1385,Patrick Beyeler, Rheinfelden,2016-11-05,"Jazz, Blues, Soul",Hotel Schützen,
1386,Black Angels, Feuerthalen,2016-11-05,"Rock, Indie, Punk, Heavy Metal, Gothic",dolder2 KultUhrBeiz,
1387,The Sundowner, Baden,2016-11-05,"Jazz, Blues, Soul",Prima Vista,
1388,Micha Plüss, Baden,2016-11-05,"Jazz, Blues, Soul",Prima Vista,
1389,André Gärtner, Baden,2016-11-05,"Jazz, Blues, Soul",Prima Vista,
1390,Jvan Mangia, Baden,2016-11-05,"Jazz, Blues, Soul",Prima Vista,
1391,Matz Canzani, Baden,2016-11-05,"Jazz, Blues, Soul",Prima Vista,
1392,Ajay Mathur, Zürich,2016-11-05,Pop,Memphis Bar,
1393,Hong, Winterthur,2016-11-05,Pop,Kellertheater Winterthur,
1394,The Countdowns, Basel,2016-11-05,"Rock, Indie, Punk, Heavy Metal, Gothic",Häbse-Theater Basel,
1395,Mammoth Voices & Let's Sing Choir, Niederweningen,2016-11-05,Pop,Konzertsaal Mammutwis,
1396,Dellé, Pratteln,2016-11-05,"Hip Hop, R'n'B",Z7,
1397,Sway Clarke, Pratteln,2016-11-05,"Hip Hop, R'n'B",Z7,
1398,Swinging Momentum, Luzern,2016-11-05,"Jazz, Blues, Soul",Sousol,
1399,Milena Dürst, Luzern,2016-11-05,"Jazz, Blues, Soul",Sousol,
1400,Marc Moscatelli, Luzern,2016-11-05,"Jazz, Blues, Soul",Sousol,
1401,David Hasler, Luzern,2016-11-05,"Jazz, Blues, Soul",Sousol,
1402,Simon Iten, Luzern,2016-11-05,"Jazz, Blues, Soul",Sousol,
1403,Andreas Schelker, Luzern,2016-11-05,"Jazz, Blues, Soul",Sousol,
1404,Solarwind, Zürich,2016-11-05,Pop,GZ Riesbach,
1405,Smallband, Zürich,2016-11-05,Pop,GZ Riesbach,
1406,B Sharp, Zürich,2016-11-05,Pop,GZ Riesbach,
1407,Big Band MKZ, Zürich,2016-11-05,Pop,GZ Riesbach,
1408,Slightly Delayed, Zürich,2016-11-05,Pop,GZ Riesbach,
1409,Lakeside, Zürich,2016-11-05,Pop,GZ Riesbach,
1410,Alpaka, Zürich,2016-11-05,Pop,GZ Riesbach,
1411,Liv Summer, Zürich,2016-11-05,Pop,GZ Riesbach,
1412,Most of the Time, Zürich,2016-11-05,Pop,GZ Riesbach,
1413,Mockingbird, Zürich,2016-11-05,Pop,GZ Riesbach,
1414,Noah Ferrari, Zürich,2016-11-05,Pop,GZ Riesbach,
1415,Art Band, Zürich,2016-11-05,Pop,Bierhalle Wolf,
1416,Matias Aguayo, Zürich,2016-11-05,Electronic,Zukunft,
1417,Dario Rohrbach, Zürich,2016-11-05,Electronic,Zukunft,
1418,DJs Aystep, Bern,2016-11-05,"Hip Hop, R'n'B",Club Bonsoir,
1419,Str, Bern,2016-11-05,"Hip Hop, R'n'B",Club Bonsoir,
1420,Bstard, Bern,2016-11-05,"Hip Hop, R'n'B",Club Bonsoir,
1421,Tres Ekiz, Bern,2016-11-05,"Hip Hop, R'n'B",Club Bonsoir,
1422,Live: Le bal des pompiers, Lausanne,2016-11-05,"Rock, Indie, Punk, Heavy Metal, Gothic",Mad,
1423,DJs A. S. One, Zürich,2016-11-05,"Hip Hop, R'n'B",Club Flamingo,
1424,Alex Terry, Zürich,2016-11-05,"Hip Hop, R'n'B",Club Flamingo,
1425,O-Kay, Zürich,2016-11-05,"Hip Hop, R'n'B",Club Flamingo,
1426,Tiago, Zürich,2016-11-05,"Hip Hop, R'n'B",Club Flamingo,
1427,DJs Nightshift, Zürich,2016-11-05,"Hip Hop, R'n'B",Q Zurich,
1428,Kaizer Sota, Zürich,2016-11-05,"Hip Hop, R'n'B",Q Zurich,
1429,LOS Music, Zürich,2016-11-05,"Hip Hop, R'n'B",Q Zurich,
1430,Undrey, Zürich,2016-11-05,"Hip Hop, R'n'B",Q Zurich,
1431,Genius, Zürich,2016-11-05,"Hip Hop, R'n'B",Q Zurich,
1432,The New Mastersounds, Zürich,2016-11-05,"Jazz, Blues, Soul",Stall 6,
1433,Eddie Roberts, Zürich,2016-11-05,"Jazz, Blues, Soul",Stall 6,
1434,Joe Tatton, Zürich,2016-11-05,"Jazz, Blues, Soul",Stall 6,
1435,Pete Shand, Zürich,2016-11-05,"Jazz, Blues, Soul",Stall 6,
1436,Simon Allen, Zürich,2016-11-05,"Jazz, Blues, Soul",Stall 6,
1437,Gogo Penguin, Zürich,2016-11-04,"Jazz, Blues, Soul",Gessnerallee Zürich,
1438,Chris Illingworth, Zürich,2016-11-04,"Jazz, Blues, Soul",Gessnerallee Zürich,
1439,Nick Blacka, Zürich,2016-11-04,"Jazz, Blues, Soul",Gessnerallee Zürich,
1440,Rob Turner, Zürich,2016-11-04,"Jazz, Blues, Soul",Gessnerallee Zürich,
1441,DJ O-Dee, Dietikon,2016-11-04,"Hip Hop, R'n'B",AlpenRock House,
1442,The Bank,,2016-11-04,"Hip Hop, R'n'B",La Spirale,
1443,Léonard Ducry,,2016-11-04,"Hip Hop, R'n'B",La Spirale,
1444,David Schroeter,,2016-11-04,"Hip Hop, R'n'B",La Spirale,
1445,Valentin Molliet,,2016-11-04,"Hip Hop, R'n'B",La Spirale,
1446,Léonard Cordier,,2016-11-04,"Hip Hop, R'n'B",La Spirale,
1447,Lucien Mullener,,2016-11-04,"Hip Hop, R'n'B",La Spirale,
1448,Peep Turtle, Bern,2016-11-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Mahogany Hall,
1449,Christina Willi, Bern,2016-11-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Mahogany Hall,
1450,Daniel Hofmann, Bern,2016-11-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Mahogany Hall,
1451,Marc Jundt, Bern,2016-11-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Mahogany Hall,
1452,Odezenne,,2016-11-04,Pop,Usine,
1453,The Souls, Thun,2016-11-04,Pop,Mokka,
1454,Rusted Guns & Charing Cross, Oberentfelden,2016-11-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Böröm pöm pöm,
1455,DJ Jüre Hofer, Münchenbuchsee,2016-11-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Bären Buchsi,
1456,Jj Rosa,,2016-11-04,"Hip Hop, R'n'B",Le Singe,
1457,DJs O-Dee, Luzern,2016-11-04,"Hip Hop, R'n'B",Roadhouse,
1458,Laslow, Luzern,2016-11-04,"Hip Hop, R'n'B",Roadhouse,
1459,Klischée, Bern,2016-11-04,Electronic,Bierhübeli,
1460,L'Aupaire, Wil,2016-11-04,Pop,Gare de Lion,
1461,Bleu Roi, Wil,2016-11-04,Pop,Gare de Lion,
1462,Tribu Project, Zürich,2016-11-04,"Jazz, Blues, Soul",Bar am Egge,
1463,Juan Elias, Zürich,2016-11-04,"Jazz, Blues, Soul",Bar am Egge,
1464,Marco Swit, Zürich,2016-11-04,"Jazz, Blues, Soul",Bar am Egge,
1465,Omar Diadji Seydi, Zürich,2016-11-04,"Jazz, Blues, Soul",Bar am Egge,
1466,Max Frankl Group, Liebefeld,2016-11-04,"Jazz, Blues, Soul",BeJazz Club (Vidmarhallen),
1467,Reto Suhner, Liebefeld,2016-11-04,"Jazz, Blues, Soul",BeJazz Club (Vidmarhallen),
1468,Max Frankl, Liebefeld,2016-11-04,"Jazz, Blues, Soul",BeJazz Club (Vidmarhallen),
1469,Lionel Friedli, Liebefeld,2016-11-04,"Jazz, Blues, Soul",BeJazz Club (Vidmarhallen),
1470,Rivenbell,,2016-11-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Sternenkeller,
1471,Ben Zahlers Songgoing, Solothurn,2016-11-04,"Jazz, Blues, Soul",KreuzKultur,
1472,Ben Zahler, Solothurn,2016-11-04,"Jazz, Blues, Soul",KreuzKultur,
1473,Jasmin Albash, Solothurn,2016-11-04,"Jazz, Blues, Soul",KreuzKultur,
1474,Thomas Baumgartner, Solothurn,2016-11-04,"Jazz, Blues, Soul",KreuzKultur,
1475,Marco Nenninger, Solothurn,2016-11-04,"Jazz, Blues, Soul",KreuzKultur,
1476,Karma To Burn, Winterthur,2016-11-04,Pop,Salzhaus,United States
1477,Krüger Brothers & Chamber Ensemble, Zürich,2016-11-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Schützenhaus Albisgütli,
1478,Perce the Veil, Solothurn,2016-11-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Kulturfabrik Kofmehl,United States
1479,Letlive & Creeper, Solothurn,2016-11-04,"Rock, Indie, Punk, Heavy Metal, Gothic",Kulturfabrik Kofmehl,
1480,Lucky Chops, Zürich,2016-11-04,"Jazz, Blues, Soul",Gessnerallee Zürich,
1481,Leo P, Zürich,2016-11-04,"Jazz, Blues, Soul",Gessnerallee Zürich,
1482,Josh Holcomb, Zürich,2016-11-04,"Jazz, Blues, Soul",Gessnerallee Zürich,
1483,Joshua Gawel, Zürich,2016-11-04,"Jazz, Blues, Soul",Gessnerallee Zürich,
1484,Daro Behroozi, Zürich,2016-11-04,"Jazz, Blues, Soul",Gessnerallee Zürich,
1485,Raphael Buyo, Zürich,2016-11-04,"Jazz, Blues, Soul",Gessnerallee Zürich,
1486,Kevin Congleton, Zürich,2016-11-04,"Jazz, Blues, Soul",Gessnerallee Zürich,
1487,Yvonne & Davide, Bad Ragaz,2016-11-04,Pop,Grand Hotel Hof Ragaz,
1488,The New Mastersounds, Zürich,2016-11-03,"Jazz, Blues, Soul",Stall 6,
1489,Eddie Roberts, Zürich,2016-11-03,"Jazz, Blues, Soul",Stall 6,
1490,Joe Tatton, Zürich,2016-11-03,"Jazz, Blues, Soul",Stall 6,
