,Artist,City,Date,Genre,Venue,origin
64,Fabian Kalker, Bern,2017-01-14,"Jazz, Blues, Soul",Orbital Garden,
65,Superterz, Zürich,2017-01-14,"Jazz, Blues, Soul",Photobastei,
66,Dick Laurent, Zürich,2017-01-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Wallstreet Bar,
67,Pyrolyzed, Zürich,2017-01-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Wallstreet Bar,
68,Mantra, Zürich,2017-01-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Wallstreet Bar,
69,Naked in English Class, Zürich,2017-01-14,"Jazz, Blues, Soul",Mars Bar,
70,Film Hot Sugars Cold World, Sankt Gallen,2017-01-14,Electronic,Palace,
71,Dope Saint Jude, Sankt Gallen,2017-01-14,Electronic,Palace,
72,Dis Fig, Sankt Gallen,2017-01-14,Electronic,Palace,
73,Ronny Graupe's Spoom, Basel,2017-01-14,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
74,Ronny Graupe, Basel,2017-01-14,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
75,Jonas Westergaard, Basel,2017-01-14,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
76,Christian Lillinger, Basel,2017-01-14,"Jazz, Blues, Soul",The Bird's Eye Jazz Club,
77,Silverblue, Aarau,2017-01-14,Pop,KiFF,
78,Invivas, Aarau,2017-01-14,Pop,KiFF,
79,DJ Franky Stache, Aarau,2017-01-14,Pop,KiFF,
80,F.O.R.M., Münchenstein,2017-01-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Rockfact Music Club,
81,Ørefik, Münchenstein,2017-01-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Rockfact Music Club,
82,DJ Gusto Brown, Baden,2017-01-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Stanzerei,
83,Driving Force, Zürich,2017-01-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Mundwerk,
84,Hair Dryer, Zürich,2017-01-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Mundwerk,
85,Elina Duni, Bern,2017-01-14,"Jazz, Blues, Soul",Turnhalle im Progr,
86,Das Festival des jungen und aktuellen Schweizer Jazz, Bern,2017-01-14,"Jazz, Blues, Soul",Turnhalle im Progr,Switzerland
87,Supremus DJs, Basel,2017-01-14,"Hip Hop, R'n'B",Parterre One,
88,DJ Ma B & Cisc, Bern,2017-01-14,"Hip Hop, R'n'B",ISC Club,
89,Bluez Ballz, Grenchen,2017-01-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Musigbar,
90,Ace in Sleeve, Luzern,2017-01-13,"Rock, Indie, Punk, Heavy Metal, Gothic",The Bruch Brothers,
91,DJ Höllehond, Luzern,2017-01-13,"Rock, Indie, Punk, Heavy Metal, Gothic",The Bruch Brothers,
92,Superterz, Zürich,2017-01-13,"Jazz, Blues, Soul",Photobastei,
93,El Ritschi, Solothurn,2017-01-13,Pop,KreuzKultur,
94,Isaak, Winterthur,2017-01-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Gaswerk,
95,The Clamps, Winterthur,2017-01-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Gaswerk,
96,Noisy Minority, Uster,2017-01-13,Pop,Café und Weinbar zum Hut,
97,Streetwise Supercat,,2017-01-13,"Hip Hop, R'n'B",Alte Fabrik,
98,Kata Bucher, Zürich,2017-01-13,Pop,Theater Rigiblick,
99,Tanja Dankner, Zürich,2017-01-13,Pop,Theater Rigiblick,
100,Tobias Carshey u. a., Zürich,2017-01-13,Pop,Theater Rigiblick,
101,Text: Daniel Rohr & Susanna Taverna, Zürich,2017-01-13,Pop,Theater Rigiblick,
102,Unduzo, Basel,2017-01-13,Pop,Theater Fauteuil,
103,Leon, Zürich,2017-01-13,Pop,Hotel Atlantis,
104,Arkona, Zürich,2017-01-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Dynamo,Poland
105,Batushka, Zürich,2017-01-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Dynamo,Poland
106,Black Messiah, Zürich,2017-01-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Dynamo,
107,Finntroll, Zürich,2017-01-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Dynamo,Finland
108,Hedera, Zürich,2017-01-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Dynamo,
109,DJ Samuel, Luzern,2017-01-12,"Ragga, Reggae, African Music, Dancehall",Schüür,
110,Kurt Lauer Jazz Trio, Kreuzlingen,2017-01-12,"Jazz, Blues, Soul",Hotel Six,
111,Acapulco Stage Divers, Zürich,2017-01-12,Pop,La Catrina,
112,Stephan Urwyler, Thun,2017-01-12,"Jazz, Blues, Soul",Mundwerk Thun,
113,Stephan Urwyler, Thun,2017-01-12,"Jazz, Blues, Soul",Mundwerk Thun,
114,Dä Det, Thun,2017-01-12,"Jazz, Blues, Soul",Mundwerk Thun,
115,Daniel Schärer, Thun,2017-01-12,"Jazz, Blues, Soul",Mundwerk Thun,
116,Benjamin Schärer, Thun,2017-01-12,"Jazz, Blues, Soul",Mundwerk Thun,
117,Vera Baumann, Luzern,2017-01-12,"Jazz, Blues, Soul",Jazzkantine,
118,Maximilian Möst, Luzern,2017-01-12,"Jazz, Blues, Soul",Jazzkantine,
119,Jérôme Müller, Luzern,2017-01-12,"Jazz, Blues, Soul",Jazzkantine,
120,Annina Schnyder, Luzern,2017-01-12,"Jazz, Blues, Soul",Jazzkantine,
121,Workshop-Konzerte Jazz, Luzern,2017-01-12,"Jazz, Blues, Soul",Jazzkantine,
122,Anna Mae, Luzern,2017-01-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Madeleine,
123,Simon Boss, Luzern,2017-01-11,"Hip Hop, R'n'B",Bar 59,
124,Claudio Berger, Luzern,2017-01-11,"Hip Hop, R'n'B",Bar 59,
125,Nici Struchen, Luzern,2017-01-11,"Hip Hop, R'n'B",Bar 59,
126,DJ Theo, Luzern,2017-01-11,"Ragga, Reggae, African Music, Dancehall",Madeleine,
127,Mit Bachata- & Kizomba-Workshops, Zürich,2017-01-10,"Ragga, Reggae, African Music, Dancehall",Escherwyss,
128,DJ Tiago & El Nino, Luzern,2017-01-09,"Hip Hop, R'n'B",El Cartel,
129,Kammerton-Quartett, Rafz,2017-01-08,Pop,Ref. Kirche,
130,Mani Matter und Schweizer Volkslieder, Rafz,2017-01-08,Pop,Ref. Kirche,Switzerland
131,DJ Assane, Basel,2017-01-08,"Ragga, Reggae, African Music, Dancehall",Bar Rouge,
132,Florian Schneider, Maisprach,2017-01-08,"Rock, Indie, Punk, Heavy Metal, Gothic",Kirche Maisprach,
