artist_name,artist_url,event_datetime,event_id,event_url,event_venue.city,event_venue.id,event_venue.latitude,event_venue.longitude,event_venue.name,event_venue.region,event_venue.url
Giulia,http://www.bandsintown.com/Giulia,2012-01-28T20:00:00,4929262,http://www.bandsintown.com/event/4929262?app_id=epfl,Stans,872729,46.9547657,8.3703713,Kollegium St. Fidelis,,http://www.bandsintown.com/venue/872729
los Tellarini an der Programmpräsentation der Stanser Musiktage,http://www.bandsintown.com/LosTellariniAnDerProgrammpr%C3%A4sentationDerStanserMusiktage,2012-01-28T20:00:00,4929262,http://www.bandsintown.com/event/4929262?app_id=epfl,Stans,872729,46.9547657,8.3703713,Kollegium St. Fidelis,,http://www.bandsintown.com/venue/872729
Switch Technique,http://www.bandsintown.com/SwitchTechnique,2012-01-28T21:00:00,4621068,http://www.bandsintown.com/event/4621068?app_id=epfl,Zurich,1198716,47.367346999999995,8.5500025,JESUS WAS A ZOMBIE 3,,http://www.bandsintown.com/venue/1198716
The Sickest Squad,http://www.bandsintown.com/TheSickestSquad,2012-01-28T21:00:00,4621068,http://www.bandsintown.com/event/4621068?app_id=epfl,Zurich,1198716,47.367346999999995,8.5500025,JESUS WAS A ZOMBIE 3,,http://www.bandsintown.com/venue/1198716
LEVIN,http://www.bandsintown.com/LEVIN,2012-01-28T21:00:00,4811864,http://www.bandsintown.com/event/4811864?app_id=epfl,Zurich,1267040,47.3666667,8.55,Club Mehrspur,25,http://www.bandsintown.com/venue/1267040
Brummer,http://www.bandsintown.com/Brummer,2012-01-28T22:00:00,4879629,http://www.bandsintown.com/event/4879629?app_id=epfl,Zurich,1268048,47.3666667,8.55,Kofmehl,25,http://www.bandsintown.com/venue/1268048
MrPeerless Official Fanpage,http://www.bandsintown.com/MrpeerlessOfficialFanpage,2012-01-28T22:00:00,4778774,http://www.bandsintown.com/event/4778774?app_id=epfl,Zurich,1049806,47.3666667,8.55,X-Ces,25,http://www.bandsintown.com/venue/1049806
Opus C Voll Riniken,http://www.bandsintown.com/OpusCVollRiniken,2012-01-28T22:00:00,4907807,http://www.bandsintown.com/event/4907807?app_id=epfl,Oberhof,1297497,47.45166,8.00568,22:00 Uhr Guggentreff,Canton Of Aargau,http://www.bandsintown.com/venue/1297497
Hands Solo,http://www.bandsintown.com/HandsSolo,2012-01-28T22:00:00,4894004,http://www.bandsintown.com/event/4894004?app_id=epfl,Zurich,1292604,47.3666667,8.55,Amber,25,http://www.bandsintown.com/venue/1292604
The Scrucialists,http://www.bandsintown.com/TheScrucialists,2012-01-28T22:00:00,5386814,http://www.bandsintown.com/event/5386814?app_id=epfl,Bubikon,458097,47.268454999999996,8.81891,Rampe,Switzerland,http://www.bandsintown.com/venue/458097
Marika Rossa,http://www.bandsintown.com/MarikaRossa,2012-01-28T22:00:00,4845648,http://www.bandsintown.com/event/4845648?app_id=epfl,Zurich,1186819,47.3666667,8.55,XCes Club,25,http://www.bandsintown.com/venue/1186819
alles-jumper.de Eventmanagement,http://www.bandsintown.com/Alles-jumper.deEventmanagement,2012-01-28T22:00:00,4866397,http://www.bandsintown.com/event/4866397?app_id=epfl,Schaffhausen,1285169,47.7,8.633333300000002,Michel van Dinteren,16,http://www.bandsintown.com/venue/1285169
DJ JSebK,http://www.bandsintown.com/DjJsebk,2012-01-28T22:00:00,4807790,http://www.bandsintown.com/event/4807790?app_id=epfl,Zurich,1234830,47.371139500000005,8.5399799,Icon Club,ZH,http://www.bandsintown.com/venue/1234830
Helvetic House,http://www.bandsintown.com/HelveticHouse,2012-01-28T22:00:00,4795520,http://www.bandsintown.com/event/4795520?app_id=epfl,Oerlikon,1261676,47.4166667,8.55,Double House Ü16 @ OXA,25,http://www.bandsintown.com/venue/1261676
Helvetic House,http://www.bandsintown.com/HelveticHouse,2012-01-28T22:00:00,4795524,http://www.bandsintown.com/event/4795524?app_id=epfl,Pfaffikon,1261677,47.3666667,8.7833333,Alpamare Poolparty Ü16,25,http://www.bandsintown.com/venue/1261677
Lynkish / Andrej,http://www.bandsintown.com/Lynkish%252FAndrej,2012-01-28T22:00:00,4670918,http://www.bandsintown.com/event/4670918?app_id=epfl,Zug,1217355,47.1666667,8.516666699999998,"Andhim @ Galvanik, Andrej DJ Set",24,http://www.bandsintown.com/venue/1217355
UNITE events & bookings,http://www.bandsintown.com/UniteEventsAndBookings,2012-01-28T23:00:00,4879916,http://www.bandsintown.com/event/4879916?app_id=epfl,Zurich,829726,47.3856201,8.51966,Cityfox,ZH,http://www.bandsintown.com/venue/829726
Daniel Dexter,http://www.bandsintown.com/DanielDexter,2012-01-28T23:00:00,4832915,http://www.bandsintown.com/event/4832915?app_id=epfl,Luzern,1200189,47.0833333,8.2666667,Strichpunkt,11,http://www.bandsintown.com/venue/1200189
Slutotronic,http://www.bandsintown.com/Slutotronic,2012-01-28T23:00:00,4790470,http://www.bandsintown.com/event/4790470?app_id=epfl,Zurich,1259875,47.3666667,8.55,Discodust,25,http://www.bandsintown.com/venue/1259875
Tschernobyllies,http://www.bandsintown.com/Tschernobyllies,2012-01-28T20:00:00,4880027,http://www.bandsintown.com/event/4880027?app_id=epfl,Felsberg,1290330,46.85,9.483333300000002,Sub Terra vol.3,09,http://www.bandsintown.com/venue/1290330
Dj Albertella,http://www.bandsintown.com/DjAlbertella,2012-01-28T09:00:00,4842909,http://www.bandsintown.com/event/4842909?app_id=epfl,Sementina,1277727,46.1833333,8.983333300000002,Carnevale di Sementina,20,http://www.bandsintown.com/venue/1277727
JEAN LA COSTE,http://www.bandsintown.com/JeanLaCoste,2012-01-28T12:00:00,4751015,http://www.bandsintown.com/event/4751015?app_id=epfl,Davos,1180862,46.793878,9.820916,Cabanna,Switzerland,http://www.bandsintown.com/venue/1180862
Tear Me Down,http://www.bandsintown.com/TearMeDown,2012-01-28T21:00:00,4840311,http://www.bandsintown.com/event/4840311?app_id=epfl,Lugano,1062906,46.0,8.9666667,CSOA II Molino,20,http://www.bandsintown.com/venue/1062906
Max Robbers,http://www.bandsintown.com/MaxRobbers,2012-01-28T22:00:00,4424695,http://www.bandsintown.com/event/4424695?app_id=epfl,Davos,1125893,46.79657,9.821480000000001,Cabanna Club,GR,http://www.bandsintown.com/venue/1125893
Hell's Kitchen,http://www.bandsintown.com/Hell%27sKitchen,2012-01-29T14:30:00,4802396,http://www.bandsintown.com/event/4802396?app_id=epfl,Genève,1263769,46.1983922,6.142296099999999,Bourse aux Disques,,http://www.bandsintown.com/venue/1263769
Orfeo ed Euridice de Christoph Willibald Gluck,http://www.bandsintown.com/OrfeoEdEuridiceDeChristophWillibaldGluck,2012-01-29T17:00:00,4915916,http://www.bandsintown.com/event/4915916?app_id=epfl,Lausanne,843417,46.512695,6.622464999999999,Aula des Cèdres,Switzerland,http://www.bandsintown.com/venue/843417
Gypsy Philharmonic Orchestra,http://www.bandsintown.com/GypsyPhilharmonicOrchestra,2012-01-29T19:00:00,4317588,http://www.bandsintown.com/event/4317588?app_id=epfl,Geneve,169960,46.2012,6.141799,VICTORIA HALL,Etr,http://www.bandsintown.com/venue/169960
Flatfoot 56,http://www.bandsintown.com/Flatfoot56,2012-01-29T19:00:00,4678894,http://www.bandsintown.com/event/4678894?app_id=epfl,Neuchatel,1220156,47.0,6.9666667,The Queen Kongo Klub,12,http://www.bandsintown.com/venue/1220156
Peter Reber,http://www.bandsintown.com/PeterReber,2012-01-29T13:00:00,4915912,http://www.bandsintown.com/event/4915912?app_id=epfl,Thun,1067990,46.7432408,7.629527,Schadausaal,,http://www.bandsintown.com/venue/1067990
Lurelure,http://www.bandsintown.com/Lurelure,2012-01-29T19:00:00,4915919,http://www.bandsintown.com/event/4915919?app_id=epfl,Bern,908452,46.9407562,7.4442012,Dampfzentrale Turbinensaal,,http://www.bandsintown.com/venue/908452
Marion Allon,http://www.bandsintown.com/MarionAllon,2012-01-29T19:00:00,4915919,http://www.bandsintown.com/event/4915919?app_id=epfl,Bern,908452,46.9407562,7.4442012,Dampfzentrale Turbinensaal,,http://www.bandsintown.com/venue/908452
Gianluigi Trovesi,http://www.bandsintown.com/GianluigiTrovesi,2012-01-29T20:30:00,4915920,http://www.bandsintown.com/event/4915920?app_id=epfl,Bern,337236,46.9503361,7.442980400000001,Turnhalle im PROGR,,http://www.bandsintown.com/venue/337236
Gianni Coscia,http://www.bandsintown.com/GianniCoscia,2012-01-29T20:30:00,4915920,http://www.bandsintown.com/event/4915920?app_id=epfl,Bern,337236,46.9503361,7.442980400000001,Turnhalle im PROGR,,http://www.bandsintown.com/venue/337236
Swing Matinée,http://www.bandsintown.com/SwingMatin%C3%A9e,2012-01-29T11:00:00,4915911,http://www.bandsintown.com/event/4915911?app_id=epfl,Winterthur,1299803,47.505247100000005,8.734935499999999,Musikschule Konservatorium,,http://www.bandsintown.com/venue/1299803
Swing de Paris,http://www.bandsintown.com/SwingDeParis,2012-01-29T11:00:00,4915911,http://www.bandsintown.com/event/4915911?app_id=epfl,Winterthur,1299803,47.505247100000005,8.734935499999999,Musikschule Konservatorium,,http://www.bandsintown.com/venue/1299803
