ambigous_result,genre,name,no_result,origin
0.0,"Hip Hop, R'n'B",DJs Patric Pleasure,1.0,
0.0,"Hip Hop, R'n'B",Ramon Ramones,1.0,
,"Ragga, Reggae, African Music, Dancehall",Bülent Ceylan,,Germany
0.0,"Ragga, Reggae, African Music, Dancehall",Raffi Lusso,0.0,
0.0,"Ragga, Reggae, African Music, Dancehall",Miguel M,0.0,
0.0,"Jazz, Blues, Soul",Laurent Coulondre,1.0,
0.0,"Jazz, Blues, Soul",Jörgen Welander,1.0,
0.0,"Jazz, Blues, Soul",Lucas Saint,1.0,
0.0,"Hip Hop, R'n'B",Vega & Bosca,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Menic And The Bruncrana Firecrackers,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Menic,0.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Jürg Frey,0.0,Switzerland
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",David Brühlmann,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Tevfik Kujas,1.0,
0.0,"Jazz, Blues, Soul",Charles Davis & Captured Moments,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Tin Soldiers,0.0,United Kingdom
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Anna Mae,0.0,
0.0,"Hip Hop, R'n'B",Gigi Moto,0.0,Switzerland
0.0,"Hip Hop, R'n'B",JP von Dach,1.0,
0.0,Pop,Ali Salvioni,1.0,
0.0,Pop,Mischa Podstransky,1.0,
0.0,"Jazz, Blues, Soul",Trio B.A.B & Hans Gysi,1.0,
0.0,"Jazz, Blues, Soul",Alfred Zimmerlin,0.0,Switzerland
0.0,"Jazz, Blues, Soul",Bruno Huwyler,1.0,
0.0,"Jazz, Blues, Soul",Birgit Hauser,1.0,
0.0,"Jazz, Blues, Soul",Texte von Hans Gysi,1.0,
0.0,"Ragga, Reggae, African Music, Dancehall",DJs Urbano,1.0,
0.0,"Ragga, Reggae, African Music, Dancehall",Jose Luis,0.0,Mexico
0.0,"Ragga, Reggae, African Music, Dancehall",Panthera,0.0,
1.0,"Ragga, Reggae, African Music, Dancehall",DJ Theo,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Sarclo fait l'Dylan,1.0,
0.0,"Hip Hop, R'n'B",DJ Aystep,1.0,
0.0,"Ragga, Reggae, African Music, Dancehall",Mit Bachata- & Kizomba-Workshops,1.0,
0.0,"Hip Hop, R'n'B",DJs Momo,1.0,
0.0,"Hip Hop, R'n'B",Alex Terry,1.0,
0.0,"Hip Hop, R'n'B",DJ Kenjiro & Grimm,1.0,
0.0,"Hip Hop, R'n'B",DJs Undreey,1.0,
0.0,"Hip Hop, R'n'B",Force,0.0,Sweden
0.0,"Hip Hop, R'n'B",Nightshift,0.0,England
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Joo Joo Eye Ball,1.0,
0.0,"Ragga, Reggae, African Music, Dancehall",Real Rock Sound,1.0,
0.0,"Hip Hop, R'n'B",DJ Mr. Tomatoo with King Gin & Duke Luke,1.0,
0.0,"Hip Hop, R'n'B",DJs K-Rim,1.0,
0.0,"Hip Hop, R'n'B",Sweap,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Live: XV Kilist & Rocco,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",DJs Frisk & Index,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Artemiss,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",M&D Babes,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Alison,0.0,Sweden
0.0,"Hip Hop, R'n'B",DJs Certified,1.0,
0.0,"Hip Hop, R'n'B",Croma,0.0,Spain
0.0,"Hip Hop, R'n'B",Curtis Bleu,1.0,
0.0,"Jazz, Blues, Soul",Simon Baumann & Fabian Kalker,1.0,
1.0,"Jazz, Blues, Soul",Simon Baumann,1.0,
1.0,"Jazz, Blues, Soul",Fabian Kalker,1.0,
0.0,"Jazz, Blues, Soul",Superterz,0.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Pyrolyzed,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Mantra,0.0,Hungary
0.0,"Jazz, Blues, Soul",Naked in English Class,1.0,
0.0,Electronic,Film Hot Sugars Cold World,1.0,
0.0,Electronic,Dope Saint Jude,1.0,
0.0,Electronic,Dis Fig,1.0,
0.0,"Jazz, Blues, Soul",Ronny Graupe's Spoom,1.0,
0.0,"Jazz, Blues, Soul",Ronny Graupe,0.0,Germany
0.0,"Jazz, Blues, Soul",Jonas Westergaard,0.0,
0.0,"Jazz, Blues, Soul",Christian Lillinger,0.0,
0.0,Pop,Silverblue,0.0,
0.0,Pop,DJ Franky Stache,1.0,
1.0,"Rock, Indie, Punk, Heavy Metal, Gothic",F.O.R.M.,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",DJ Gusto Brown,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Driving Force,0.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Hair Dryer,1.0,
,"Jazz, Blues, Soul",Das Festival des jungen und aktuellen Schweizer Jazz,,Switzerland
0.0,"Hip Hop, R'n'B",Supremus DJs,1.0,
0.0,"Hip Hop, R'n'B",DJ Ma B & Cisc,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Bluez Ballz,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Ace in Sleeve,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",DJ Höllehond,1.0,
0.0,Pop,El Ritschi,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Isaak,0.0,
0.0,Pop,Noisy Minority,0.0,
0.0,"Hip Hop, R'n'B",Streetwise Supercat,1.0,
0.0,Pop,Kata Bucher,1.0,
0.0,Pop,Tanja Dankner,0.0,
0.0,Pop,Tobias Carshey u. a.,1.0,
0.0,Pop,Text: Daniel Rohr & Susanna Taverna,1.0,
0.0,Pop,Leon,0.0,Australia
,"Rock, Indie, Punk, Heavy Metal, Gothic",Batushka,,Poland
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Black Messiah,0.0,Germany
0.0,"Ragga, Reggae, African Music, Dancehall",DJ Samuel,1.0,
0.0,"Jazz, Blues, Soul",Kurt Lauer Jazz Trio,1.0,
0.0,Pop,Acapulco Stage Divers,0.0,
0.0,"Jazz, Blues, Soul",Stephan Urwyler,0.0,Switzerland
0.0,"Jazz, Blues, Soul",Dä Det,1.0,
0.0,"Jazz, Blues, Soul",Daniel Schärer,1.0,
0.0,"Jazz, Blues, Soul",Benjamin Schärer,1.0,
0.0,"Jazz, Blues, Soul",Vera Baumann,1.0,
0.0,"Jazz, Blues, Soul",Maximilian Möst,1.0,
0.0,"Jazz, Blues, Soul",Jérôme Müller,1.0,
0.0,"Jazz, Blues, Soul",Annina Schnyder,1.0,
0.0,"Jazz, Blues, Soul",Workshop-Konzerte Jazz,1.0,
0.0,"Hip Hop, R'n'B",Simon Boss,1.0,
0.0,"Hip Hop, R'n'B",Claudio Berger,1.0,
0.0,"Hip Hop, R'n'B",Nici Struchen,1.0,
0.0,"Hip Hop, R'n'B",DJ Tiago & El Nino,1.0,
0.0,Pop,Kammerton-Quartett,1.0,
,Pop,Mani Matter und Schweizer Volkslieder,,Switzerland
0.0,"Ragga, Reggae, African Music, Dancehall",DJ Assane,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Florian Schneider,0.0,Germany
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Sänger und Liederschreiber,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Meistergeiger,1.0,
0.0,Pop,Tigershead,1.0,
,"Hip Hop, R'n'B",Teeth'n'Tongue,,Greece
0.0,"Hip Hop, R'n'B",DJs The Scorcher,1.0,
0.0,"Hip Hop, R'n'B",Rootation,1.0,
0.0,"Hip Hop, R'n'B",DJs Laslow,1.0,
0.0,"Hip Hop, R'n'B",MK,0.0,Japan
0.0,"Hip Hop, R'n'B",Leandro &amp; Co,1.0,
0.0,"Hip Hop, R'n'B",K.O.S Crew,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Möchtegang,0.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",The Lovejoys,0.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",The Boys You Know,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",OGMH,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Zeus,0.0,Poland
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Zaperlipopette,1.0,
0.0,Pop,DJ Scharlachmaria,1.0,
0.0,Pop,Tuliaisia,1.0,
0.0,Pop,Marianne Racine-Granvik,1.0,
0.0,Pop,Vera Kappeler,0.0,Switzerland
0.0,Pop,RHCP,1.0,
0.0,Pop,Soul in motion,1.0,
0.0,Pop,TPATC,1.0,
0.0,Pop,MissGrousiii,1.0,
0.0,Pop,Pink Pedrazzi,0.0,
,"Rock, Indie, Punk, Heavy Metal, Gothic",DJs Mr. Ho,,Hong Kong
0.0,"Hip Hop, R'n'B",DJs Double Dice,1.0,
0.0,"Hip Hop, R'n'B",Black M,0.0,France
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",DJ Grillmaster W,1.0,
0.0,"Hip Hop, R'n'B",DJ Dr Jones,1.0,
0.0,"Ragga, Reggae, African Music, Dancehall",DJs Theo,1.0,
0.0,"Hip Hop, R'n'B",DJ High Fi,1.0,
0.0,"Hip Hop, R'n'B",DJ Irie Shottaz,1.0,
0.0,"Hip Hop, R'n'B",Boris Pilleri's Jammin,1.0,
0.0,"Hip Hop, R'n'B",Bondaa,1.0,
0.0,"Jazz, Blues, Soul",Hendrix Cousins,1.0,
0.0,Pop,Müslüm & Band,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Gone Hepsville,1.0,
0.0,"Hip Hop, R'n'B",DJs Steve Supreme,1.0,
0.0,"Hip Hop, R'n'B",Costa,0.0,Spain
0.0,"Hip Hop, R'n'B",Intresst,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Pezzo Acoustic,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",DJ Metal Heart,1.0,
0.0,"Hip Hop, R'n'B",DJ EKR,1.0,
0.0,"Ragga, Reggae, African Music, Dancehall",DJ Manuel,0.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Imperio,0.0,Argentina
0.0,Pop,Phil Hayes & The Trees,1.0,
0.0,"Hip Hop, R'n'B",DJ Don Luca,1.0,
,"Ragga, Reggae, African Music, Dancehall",Live: Patricia Nora,,Argentina
0.0,"Hip Hop, R'n'B",Nik Bärtsch's Ronin,0.0,Switzerland
0.0,"Jazz, Blues, Soul",Raw Vision,1.0,
0.0,"Jazz, Blues, Soul",Christoph Grab,0.0,
0.0,"Jazz, Blues, Soul",Lukas Traxel,1.0,
0.0,"Jazz, Blues, Soul",Maxime Paratte,1.0,
0.0,"Hip Hop, R'n'B",DJs Ali Baba Sound System,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",Karaoke Till Death,1.0,
0.0,"Rock, Indie, Punk, Heavy Metal, Gothic",The Vicos,1.0,
0.0,"Hip Hop, R'n'B",Fusion Square Garden,0.0,
0.0,"Hip Hop, R'n'B",Morò Mauro Corchia,1.0,
0.0,"Hip Hop, R'n'B",Mättu Urech,1.0,
0.0,"Hip Hop, R'n'B",Dominique Montandon,1.0,
0.0,"Hip Hop, R'n'B",Marcel Suk,1.0,
0.0,"Hip Hop, R'n'B",Gianni Lanzilotti,1.0,
0.0,"Hip Hop, R'n'B",Roland Wäger,1.0,
0.0,Pop,Les Voda & Dave Phillips,1.0,
0.0,Pop,DJ Member-Berries,1.0,
0.0,"Hip Hop, R'n'B",DJs Ecko,1.0,
0.0,"Hip Hop, R'n'B",Spino,0.0,United Kingdom
0.0,"Hip Hop, R'n'B",Robin Tune,0.0,
0.0,"Hip Hop, R'n'B",DJs Tomahawk,1.0,
0.0,"Hip Hop, R'n'B",Selecta Iray,1.0,
0.0,"Hip Hop, R'n'B",Rising Fyah,1.0,
0.0,"Hip Hop, R'n'B",Jahcriss u.a.,1.0,
0.0,"Ragga, Reggae, African Music, Dancehall",Silvester Big Bash Davos,1.0,
0.0,"Ragga, Reggae, African Music, Dancehall",Live: Jose De Rico,1.0,
