artist_name,artist_url,event_venue.longitude,event_id,event_venue.id,event_venue.city,event_venue.region,event_venue.latitude,event_datetime,event_url,event_venue.url,event_venue.name
Fu Manchu,http://www.bandsintown.com/FuManchu,7.1801778,3262626,323397,Düdingen,Canton Of Fribourg,46.8615737,2010-02-01T19:00:00,http://www.bandsintown.com/event/3262626?app_id=epfl,http://www.bandsintown.com/venue/323397,Bad Bonn
Lyle Lovett,http://www.bandsintown.com/LyleLovett,8.527116,3265632,170005,Zurich,Switzerland,47.375485,2010-02-01T19:00:00,http://www.bandsintown.com/event/3265632?app_id=epfl,http://www.bandsintown.com/venue/170005,Volkshaus
John Hiatt,http://www.bandsintown.com/JohnHiatt,8.527116,3265632,170005,Zurich,Switzerland,47.375485,2010-02-01T19:00:00,http://www.bandsintown.com/event/3265632?app_id=epfl,http://www.bandsintown.com/venue/170005,Volkshaus
Depedro,http://www.bandsintown.com/Depedro,8.55,3266185,203096,Zurich,25,47.3666667,2010-02-01T19:00:00,http://www.bandsintown.com/event/3266185?app_id=epfl,http://www.bandsintown.com/venue/203096,El Lokal
ant-zen,http://www.bandsintown.com/ant-zen,6.14728,3254094,781461,Geneva,Switzerland,46.20882,2010-02-02T20:00:00,http://www.bandsintown.com/event/3254094?app_id=epfl,http://www.bandsintown.com/venue/781461,GARE DE GENEVE
Apparat,http://www.bandsintown.com/Apparat,6.1666667,3404371,836146,Geneva,07,46.2,2010-02-02T23:00:00,http://www.bandsintown.com/event/3404371?app_id=epfl,http://www.bandsintown.com/venue/836146,Elektron Festival
Nicki Parrott,http://www.bandsintown.com/NickiParrott,7.43941,3290443,306299,Berne,BE,46.96103,2010-02-02T20:00:00,http://www.bandsintown.com/event/3290443?app_id=epfl,http://www.bandsintown.com/venue/306299,Marians JazzRoom
Naturally 7,http://www.bandsintown.com/Naturally7,8.536468,3214907,44952,Zurich,Switzerland,47.371722,2010-02-02T19:00:00,http://www.bandsintown.com/event/3214907?app_id=epfl,http://www.bandsintown.com/venue/44952,Kaufleuten
Dirty Passion,http://www.bandsintown.com/DirtyPassion,8.751285,3251517,106464,Uster,Switzerland,47.34108,2010-02-02T20:00:00,http://www.bandsintown.com/event/3251517?app_id=epfl,http://www.bandsintown.com/venue/106464,Rock City
Enuff Z'Nuff,http://www.bandsintown.com/EnuffZ%27nuff,8.751285,3251517,106464,Uster,Switzerland,47.34108,2010-02-02T20:00:00,http://www.bandsintown.com/event/3251517?app_id=epfl,http://www.bandsintown.com/venue/106464,Rock City
Faster Pussycat,http://www.bandsintown.com/FasterPussycat,8.751285,3251517,106464,Uster,Switzerland,47.34108,2010-02-02T20:00:00,http://www.bandsintown.com/event/3251517?app_id=epfl,http://www.bandsintown.com/venue/106464,Rock City
The Dillinger Escape Plan,http://www.bandsintown.com/TheDillingerEscapePlan,8.54673,3178415,293622,Zurich,ZH,47.3663788,2010-02-02T20:00:00,http://www.bandsintown.com/event/3178415?app_id=epfl,http://www.bandsintown.com/venue/293622,Mascotte
Nicki Parrott,http://www.bandsintown.com/NickiParrott,7.43941,3290444,306299,Berne,BE,46.96103,2010-02-03T20:00:00,http://www.bandsintown.com/event/3290444?app_id=epfl,http://www.bandsintown.com/venue/306299,Marians JazzRoom
AIR,http://www.bandsintown.com/AIR,8.527116,3150344,170005,Zurich,Switzerland,47.375485,2010-02-03T19:00:00,http://www.bandsintown.com/event/3150344?app_id=epfl,http://www.bandsintown.com/venue/170005,Volkshaus
Rebekka Bakken,http://www.bandsintown.com/RebekkaBakken,8.536468,3337774,44952,Zurich,Switzerland,47.371722,2010-02-03T19:00:00,http://www.bandsintown.com/event/3337774?app_id=epfl,http://www.bandsintown.com/venue/44952,Kaufleuten
Racoon,http://www.bandsintown.com/Racoon,8.7222841,3328238,147243,Winterthur,25,47.4975354,2010-02-03T20:00:00,http://www.bandsintown.com/event/3328238?app_id=epfl,http://www.bandsintown.com/venue/147243,Salzhaus
Enter Bassman75 Biggest Fan,http://www.bandsintown.com/EnterBassman75BiggestFan,7.58768,3358323,828734,Basel-City,Switzerland,47.54874,2010-02-03T21:00:00,http://www.bandsintown.com/event/3358323?app_id=epfl,http://www.bandsintown.com/venue/828734,RadioX Basel
The Locos,http://www.bandsintown.com/TheLocos,6.851925,3216892,306332,Vevey,Etr,46.472145,2010-02-04T19:00:00,http://www.bandsintown.com/event/3216892?app_id=epfl,http://www.bandsintown.com/venue/306332,ROCKING CHAIR
Nicki Parrott,http://www.bandsintown.com/NickiParrott,7.43941,3290445,306299,Berne,BE,46.96103,2010-02-04T20:00:00,http://www.bandsintown.com/event/3290445?app_id=epfl,http://www.bandsintown.com/venue/306299,Marians JazzRoom
The Dubliners,http://www.bandsintown.com/TheDubliners,7.400333,3213183,819938,Berne,Switzerland,46.942062,2010-02-04T20:00:00,http://www.bandsintown.com/event/3213183?app_id=epfl,http://www.bandsintown.com/venue/819938,Kursaal Bern AG
Racoon,http://www.bandsintown.com/Racoon,7.440461,3328239,80385,Berne,,46.948432,2010-02-04T20:00:00,http://www.bandsintown.com/event/3328239?app_id=epfl,http://www.bandsintown.com/venue/80385,ISC
Joshua Redman,http://www.bandsintown.com/JoshuaRedman,8.55,3266102,10674,Zurich,25,47.3666667,2010-02-04T19:00:00,http://www.bandsintown.com/event/3266102?app_id=epfl,http://www.bandsintown.com/venue/10674,Moods
Good Shoes,http://www.bandsintown.com/GoodShoes,8.522239,3207851,48122,Zurich,Switzerland,47.362215,2010-02-04T20:00:00,http://www.bandsintown.com/event/3207851?app_id=epfl,http://www.bandsintown.com/venue/48122,Abart
The Swell Season,http://www.bandsintown.com/TheSwellSeason,8.536468,3182578,44952,Zurich,Switzerland,47.371722,2010-02-04T20:00:00,http://www.bandsintown.com/event/3182578?app_id=epfl,http://www.bandsintown.com/venue/44952,Kaufleuten
