artist_name,artist_url,event_venue.longitude,event_id,event_venue.id,event_venue.city,event_venue.region,event_venue.latitude,event_datetime,event_url,event_venue.url,event_venue.name
Seat Music Session 2010,http://www.bandsintown.com/SeatMusicSession2010,8.4836568,3976832,313887,Zug,,47.1815254,2010-10-30T20:30:00,http://www.bandsintown.com/event/3976832?app_id=epfl,http://www.bandsintown.com/venue/313887,Chollerhalle
presented by Phil Dankner,http://www.bandsintown.com/PresentedByPhilDankner,8.4836568,3976832,313887,Zug,,47.1815254,2010-10-30T20:30:00,http://www.bandsintown.com/event/3976832?app_id=epfl,http://www.bandsintown.com/venue/313887,Chollerhalle
Thorne,http://www.bandsintown.com/Thorne,7.600414,8962939,1067072,Basel,Basle-City,47.5683185,2010-10-30T21:00:00,http://www.bandsintown.com/event/8962939?app_id=epfl,http://www.bandsintown.com/venue/1067072,Carambolage
Open Season,http://www.bandsintown.com/OpenSeason,9.0748434,3976836,842101,Glarus,,47.0312015,2010-10-30T21:00:00,http://www.bandsintown.com/event/3976836?app_id=epfl,http://www.bandsintown.com/venue/842101,Kulturzentrum Holenstein
Reto Burrell,http://www.bandsintown.com/RetoBurrell,9.0748434,3976836,842101,Glarus,,47.0312015,2010-10-30T21:00:00,http://www.bandsintown.com/event/3976836?app_id=epfl,http://www.bandsintown.com/venue/842101,Kulturzentrum Holenstein
30plus HOUSE,http://www.bandsintown.com/30plusHouse,7.9071709,3976837,840867,Aarburg,,47.3201994,2010-10-30T21:00:00,http://www.bandsintown.com/event/3976837?app_id=epfl,http://www.bandsintown.com/venue/840867,Moonwalker Club
Alvin Zealot,http://www.bandsintown.com/AlvinZealot,8.40525,3767943,944947,Luzern,Switzerland,47.007858,2010-10-30T21:00:00,http://www.bandsintown.com/event/3767943?app_id=epfl,http://www.bandsintown.com/venue/944947,Ronmühle
Rattle'N'Roll,http://www.bandsintown.com/Rattle%27N%27Roll,8.55,3856550,275159,Zurich,25,47.3666667,2010-10-30T21:00:00,http://www.bandsintown.com/event/3856550?app_id=epfl,http://www.bandsintown.com/venue/275159,X-tra
Seeed Dj Team,http://www.bandsintown.com/SeeedDjTeam,8.8225271,3976842,984675,Bubikon,,47.2723085,2010-10-30T22:00:00,http://www.bandsintown.com/event/3976842?app_id=epfl,http://www.bandsintown.com/venue/984675,Rampe Club
Ear,http://www.bandsintown.com/Ear,8.8225271,3976842,984675,Bubikon,,47.2723085,2010-10-30T22:00:00,http://www.bandsintown.com/event/3976842?app_id=epfl,http://www.bandsintown.com/venue/984675,Rampe Club
