name,genre,origin,ambigous_result,no_result
Sänger und Liederschreiber,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Meistergeiger,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Tigershead,Pop,,,
Teeth'n'Tongue,"Hip Hop, R'n'B",Greece,,
DJs The Scorcher,"Hip Hop, R'n'B",,,
Rootation,"Hip Hop, R'n'B",,,
DJs Laslow,"Hip Hop, R'n'B",,,
MK,"Hip Hop, R'n'B",,,
Leandro &amp; Co,"Hip Hop, R'n'B",,,
K.O.S Crew,"Hip Hop, R'n'B",,,
Möchtegang,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
The Lovejoys,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
The Boys You Know,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
OGMH,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Zeus,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Zaperlipopette,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ Scharlachmaria,Pop,,,
Tuliaisia,Pop,,,
Marianne Racine-Granvik,Pop,,,
Vera Kappeler,Pop,,,
RHCP,Pop,,,
Soul in motion,Pop,,,
TPATC,Pop,,,
MissGrousiii,Pop,,,
Pink Pedrazzi,Pop,,,
DJs Mr. Ho,"Rock, Indie, Punk, Heavy Metal, Gothic",Hong Kong,,
DJs Double Dice,"Hip Hop, R'n'B",,,
Black M,"Hip Hop, R'n'B",,,
DJ Grillmaster W,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ Dr Jones,"Hip Hop, R'n'B",,,
DJs Theo,"Ragga, Reggae, African Music, Dancehall",,,
DJ High Fi,"Hip Hop, R'n'B",,,
DJ Irie Shottaz,"Hip Hop, R'n'B",,,
Boris Pilleri's Jammin,"Hip Hop, R'n'B",,,
Bondaa,"Hip Hop, R'n'B",,,
Hendrix Cousins,"Jazz, Blues, Soul",,,
Müslüm & Band,Pop,,,
Gone Hepsville,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJs Steve Supreme,"Hip Hop, R'n'B",,,
Costa,"Hip Hop, R'n'B",,,
Intresst,"Hip Hop, R'n'B",,,
Pezzo Acoustic,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ Metal Heart,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ EKR,"Hip Hop, R'n'B",,,
DJ Manuel,"Ragga, Reggae, African Music, Dancehall",,,
Imperio,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Phil Hayes & The Trees,Pop,,,
DJ Don Luca,"Hip Hop, R'n'B",,,
Live: Patricia Nora,"Ragga, Reggae, African Music, Dancehall",Argentina,,
Nik Bärtsch's Ronin,"Hip Hop, R'n'B",,,
Raw Vision,"Jazz, Blues, Soul",,,
Christoph Grab,"Jazz, Blues, Soul",,,
Lukas Traxel,"Jazz, Blues, Soul",,,
Maxime Paratte,"Jazz, Blues, Soul",,,
DJs Ali Baba Sound System,"Hip Hop, R'n'B",,,
Karaoke Till Death,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
The Vicos,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Fusion Square Garden,"Hip Hop, R'n'B",,,
Morò Mauro Corchia,"Hip Hop, R'n'B",,,
Mättu Urech,"Hip Hop, R'n'B",,,
Dominique Montandon,"Hip Hop, R'n'B",,,
Marcel Suk,"Hip Hop, R'n'B",,,
Gianni Lanzilotti,"Hip Hop, R'n'B",,,
Roland Wäger,"Hip Hop, R'n'B",,,
Les Voda & Dave Phillips,Pop,,,
DJ Member-Berries,Pop,,,
DJs Ecko,"Hip Hop, R'n'B",,,
Spino,"Hip Hop, R'n'B",,,
Robin Tune,"Hip Hop, R'n'B",,,
DJs Tomahawk,"Hip Hop, R'n'B",,,
Selecta Iray,"Hip Hop, R'n'B",,,
Rising Fyah,"Hip Hop, R'n'B",,,
Jahcriss u.a.,"Hip Hop, R'n'B",,,
Silvester Big Bash Davos,"Ragga, Reggae, African Music, Dancehall",,,
Live: Jose De Rico,"Ragga, Reggae, African Music, Dancehall",,,
Loco Escrito,"Ragga, Reggae, African Music, Dancehall",,,
Zimmer by Muevete & Pepe-J,"Ragga, Reggae, African Music, Dancehall",,,
Klub by Monkey Groove,"Ragga, Reggae, African Music, Dancehall",,,
DJ Troja,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Sleeping Sun,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Motörblast,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
The Neighbour of the Beast,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Sad,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Living Theory,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ Thomas,"Ragga, Reggae, African Music, Dancehall",,,
Big Bang Bingo Showcase,Electronic,,,
DJ Adrian Bergmann,Electronic,,,
Ab 16 Jahren,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ Lucky G.,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJs Big Boys,"Hip Hop, R'n'B",,,
MDMO,"Hip Hop, R'n'B",,,
DJ Romeo,"Ragga, Reggae, African Music, Dancehall",Cuba,,
DJ Skoob,"Hip Hop, R'n'B",,,
Ziggy Zaggy & the Disco Popes,Pop,,,
Brynn,Pop,,,
The Tarantinos,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ Rizzo Musix,"Hip Hop, R'n'B",,,
DJ Tschuppi,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJs Sweep,"Hip Hop, R'n'B",,,
Tequila Boys,Pop,,,
