name,genre,origin,ambigous_result,no_result
Jenni,"Hip Hop, R'n'B",,,
DJs Resign & Erqo,"Hip Hop, R'n'B",,,
Clambake,"Hip Hop, R'n'B",,,
Dubbed,"Hip Hop, R'n'B",,,
Colin Davis,"Hip Hop, R'n'B",,,
Station Quo,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Dead Cat Bounce,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Adrian Schäublin,"Jazz, Blues, Soul",,,
Felix Handschin,"Jazz, Blues, Soul",,,
Clashrockers,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Big Bänd Bärn,"Jazz, Blues, Soul",,,
Men From S.p.e.c.t.r.e.,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Tomaga,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Léo Tardin,"Jazz, Blues, Soul",,,
Dur-Mix,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Distillator,"Rock, Indie, Punk, Heavy Metal, Gothic",Netherlands,,
Azton,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Marc Reinhard,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Stefan Künzli,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Tom Sager,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Michael Sokoll,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Daniel Zihlmann,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Patrick Tognetto,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Finale,Pop,,,
Nachtgeschrei,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Kleiner Gospelchor Zug,Pop,,,
Cult Illusion,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Tom Rainey Trio feat. Ingrid Laubrock & Mary Halvorson,"Jazz, Blues, Soul",,,
Craig Taborn,"Jazz, Blues, Soul",,,
The Notebook Large Ensemble,"Jazz, Blues, Soul",,,
DJs Laban,"Ragga, Reggae, African Music, Dancehall",,,
Rogg,"Ragga, Reggae, African Music, Dancehall",,,
DJs Wr,"Hip Hop, R'n'B",,,
RuffPack international,"Hip Hop, R'n'B",,,
DJ Peak,"Hip Hop, R'n'B",,,
Intro: DJ Luca Mosso,Electronic,,,
After-Show-Party: Fat Sushi,Electronic,,,
Effigy,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ Le Stelle,"Ragga, Reggae, African Music, Dancehall",,,
Marco Clerc,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Switalo Jazz,"Jazz, Blues, Soul",,,
Attilio Troiano,"Jazz, Blues, Soul",,,
Simon Wyrsch,"Jazz, Blues, Soul",,,
Giuseppe Venezia,"Jazz, Blues, Soul",,,
Lucio Marelli,"Jazz, Blues, Soul",,,
Yellow Bird,Pop,,,
Extrafish,"Jazz, Blues, Soul",,,
Valentin Baumgartner,"Jazz, Blues, Soul",,,
Andi Bissig,"Jazz, Blues, Soul",,,
Jonas Künzli,"Jazz, Blues, Soul",,,
Adrian Böckli,"Jazz, Blues, Soul",,,
DJ Ferrari,"Hip Hop, R'n'B",,,
Memory Of An Elephant,Pop,,,
The Maggie's Marshmallows,"Rock, Indie, Punk, Heavy Metal, Gothic",Czechia,,
Nicole Bernegger,"Hip Hop, R'n'B",,,
DJ Claudio Matteo,"Ragga, Reggae, African Music, Dancehall",,,
Thomas Moeckel,"Jazz, Blues, Soul",,,
Konzert im Rahmen einer Schweiztournee mit italienischen und Schweizer Jazzmusikern,"Jazz, Blues, Soul",Switzerland,,
Christoph Trummer & Shirley Grimes,Pop,,,
Jenny Berkel,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Tom Terrell,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Carla Sermanni,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Eric Wright,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Andy Egert,"Jazz, Blues, Soul",,,
Markus de Pretto,"Jazz, Blues, Soul",,,
Hani Ali,"Jazz, Blues, Soul",,,
Parsec,Electronic,,,
Dans l'Shed,"Rock, Indie, Punk, Heavy Metal, Gothic",Canada,,
Éric Dion,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
André Lavergne,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ Flamin Fingaz,"Hip Hop, R'n'B",,,
Andorra Bills,Pop,Andorra,,
Lotte-Anker-Fred-Frith,"Jazz, Blues, Soul",,,
Once Human,"Rock, Indie, Punk, Heavy Metal, Gothic",United States,,
Liont,"Hip Hop, R'n'B",,,
Dagi Bee,"Hip Hop, R'n'B",,,
DJs SLM,"Hip Hop, R'n'B",,,
Khaderbai,"Hip Hop, R'n'B",,,
Vlada & Andreas Hausammann,"Jazz, Blues, Soul",,,
Large Ensemble,"Jazz, Blues, Soul",,,
Leitung: Heiri Känzig,"Jazz, Blues, Soul",,,
DJs Claasilisque Sound,"Hip Hop, R'n'B",,,
Kinghorror,"Hip Hop, R'n'B",,,
Media Solution,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Leitung: Mark Helias,"Jazz, Blues, Soul",,,
Andreas Schaerer & Leila Martial,"Jazz, Blues, Soul",,,
Bendorim,"Jazz, Blues, Soul",,,
Stefanie Kunckler,"Jazz, Blues, Soul",,,
Jürg Luchsinger,"Jazz, Blues, Soul",,,
Call Me Kat,Pop,Denmark,,
Intercity Jazz Orchester,"Jazz, Blues, Soul",,,
Sibylle Aeberli,Pop,,,
Boni Koller,Pop,,,
Thomas Haldimann von Schtärneföifi,Pop,,,
Fenshi Sound,"Hip Hop, R'n'B",,,
Splendid Sound u. a.,"Hip Hop, R'n'B",,,
Junior Indian,"Hip Hop, R'n'B",India,,
Dero & Klumzy Tung feat. BAM,"Hip Hop, R'n'B",,,
Mitsh Again & Keyanig FM,"Hip Hop, R'n'B",,,
Sesito & Seasonbuds,"Hip Hop, R'n'B",,,
MC Piment,"Hip Hop, R'n'B",,,
Don Sarbudo,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
R-Bronx,"Hip Hop, R'n'B",,,
Knuts Koffer & Larry-F,"Hip Hop, R'n'B",,,
L-Cut,"Hip Hop, R'n'B",,,
DJ Oksana Kovalenko,"Ragga, Reggae, African Music, Dancehall",,,
Tanzauftritt von Mariela Sametband & Guillermo Barrionuevo,"Ragga, Reggae, African Music, Dancehall",,,
Headline,Pop,,,
Gallati,Pop,,,
Studer,Pop,,,
Woll,Pop,,,
Siidhang,Pop,,,
Peter Finc & Nicole Johänntgen,Pop,,,
DJ Voice,Pop,,,
Stauss-Dellers,"Jazz, Blues, Soul",,,
Markus Stauss,"Jazz, Blues, Soul",,,
James Gruntz & Band,Pop,,,
Bianca Casady & The C.I.A.,Pop,United States,,
Wrangler,Pop,United Kingdom,,
Bohren & Der Club Of Gore,Pop,,,
Sverrisson-Arnalds,"Jazz, Blues, Soul",Iceland,,
Ólöf Arnalds,"Jazz, Blues, Soul",,,
David Thor Jónsson,"Jazz, Blues, Soul",,,
Skúli Sverrisson,"Jazz, Blues, Soul",,,
Hanery Amman,Pop,,,
Les Sauterelles,Pop,,,
Schandmäulchen,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Other Lives,Pop,United States,,
Daniele Negroni,Pop,,,
Fankonzert,Pop,,,
Atropas,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Greeen,"Hip Hop, R'n'B",,,
A.F,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Empty Fridge,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Valentino & Cocktail-Trio,Pop,,,
The Fugitives,"Rock, Indie, Punk, Heavy Metal, Gothic",Canada,,
Micah Shemaiah & Najavibes,"Hip Hop, R'n'B",,,
Buzz & Jah Melody,"Hip Hop, R'n'B",,,
Felix Lobrecht,"Hip Hop, R'n'B",,,
Malte Rosskopf,"Hip Hop, R'n'B",,,
Foreseen,"Rock, Indie, Punk, Heavy Metal, Gothic",Finland,,
Fendalent,Electronic,,,
Tarred and Feathered,Electronic,,,
Melrose,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Lucky Nuts,"Jazz, Blues, Soul",,,
Marco Bäumer,"Jazz, Blues, Soul",,,
Claude Jacquenod,"Jazz, Blues, Soul",,,
Tobia Roth,"Jazz, Blues, Soul",,,
Max Stauber,"Jazz, Blues, Soul",,,
Undiscovered Soul,Pop,,,
JB Funks,Pop,,,
Neneh Cherry & Rocketnumbernine,Pop,,,
Fishnet Stockings,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Zurich Jazz Orchestra,"Jazz, Blues, Soul",,,
Nickless,Pop,,,
Riverstreet Jazzband,"Jazz, Blues, Soul",,,
The Liselottes,Pop,,,
Friedrich Liechtenstein,Pop,Liechtenstein,,
Hübscher Gentlemen Salon Premiere,Pop,,,
Directions Tour,Pop,,,
New Orleans Hall Jazz Band,"Jazz, Blues, Soul",,,
King Zebra,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Basement Saints,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Attracted By Goats,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJs Beck In Black,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Wild Child,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ Head Rush,"Hip Hop, R'n'B",,,
DJs Nels 1,"Hip Hop, R'n'B",,,
J Sinatra,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Jo Elle,Pop,,,
Irresponsible & K-Risma,"Hip Hop, R'n'B",,,
Shem Thomas & Feather and Stone,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Olöf Arnalds,Pop,Iceland,,
Monoglot,"Jazz, Blues, Soul",Iceland,,
Sebastian Von Keler,"Jazz, Blues, Soul",,,
Fabian Willmann,"Jazz, Blues, Soul",,,
Samuel Sole,"Jazz, Blues, Soul",,,
Cloud Cluster Collective,"Jazz, Blues, Soul",,,
Rita Ekes,"Jazz, Blues, Soul",,,
Sarah Chaksad,"Jazz, Blues, Soul",,,
Fabienne Hörni,"Jazz, Blues, Soul",,,
Corinne Windler,"Jazz, Blues, Soul",,,
Sonja Ott,"Jazz, Blues, Soul",,,
Cali,Pop,,,
Seven Mountains Tour,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
The Real Group,Pop,Sweden,,
Aad Hollander Trio from Hell,"Jazz, Blues, Soul",,,
Heinz Rohrer,"Jazz, Blues, Soul",,,
Bice Aeberli,"Jazz, Blues, Soul",,,
Aad Hollander,"Jazz, Blues, Soul",,,
Ben Williams Quintett,"Jazz, Blues, Soul",,,
Ben Williams,"Jazz, Blues, Soul",,,
John Davis,"Jazz, Blues, Soul",,,
Matt Stevens,"Jazz, Blues, Soul",,,
Cecile Mc Lorin Salvant Quintet,"Jazz, Blues, Soul",United States,,
Aaron Diehl,"Jazz, Blues, Soul",,,
Paul Sikivie,"Jazz, Blues, Soul",,,
Lawrence Leathers,"Jazz, Blues, Soul",,,
Sophie Barrigue Trio,"Jazz, Blues, Soul",,,
Janto's Holding,"Jazz, Blues, Soul",,,
Matt Brewer,"Jazz, Blues, Soul",,,
Greasy,"Jazz, Blues, Soul",,,
Roland Köppel,"Jazz, Blues, Soul",,,
Atlas Sound,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJs Squizz,"Hip Hop, R'n'B",,,
Latin Lover,"Hip Hop, R'n'B",,,
DJs Pow Pow Movement,"Hip Hop, R'n'B",,,
Tunesquad,"Hip Hop, R'n'B",,,
Twincut,"Hip Hop, R'n'B",,,
Live: Blackalicious,"Hip Hop, R'n'B",United States,,
Wefunk Radio,"Hip Hop, R'n'B",Canada,,
Soulsonic,"Hip Hop, R'n'B",,,
O.M.S.,Pop,,,
DJ Funky Mäs,"Hip Hop, R'n'B",,,
The Rockin' Beats,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
The Homeless Gospel Choir,"Rock, Indie, Punk, Heavy Metal, Gothic",United States,,
DJ Steve Supreme,"Hip Hop, R'n'B",,,
Q-Trop,"Hip Hop, R'n'B",,,
Metzger & Bauer,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Zizi Transistor,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Flavia,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJs Effe,"Ragga, Reggae, African Music, Dancehall",,,
B-Flava,"Ragga, Reggae, African Music, Dancehall",,,
Dirty Blondes feat. Blind Butcher,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Gordon,"Hip Hop, R'n'B",,,
Limone,"Hip Hop, R'n'B",,,
Keller-Maurer-Walss,"Jazz, Blues, Soul",,,
Sara Maurer,"Jazz, Blues, Soul",,,
Priska Walss,"Jazz, Blues, Soul",,,
Martina Berther,"Jazz, Blues, Soul",,,
DJs Polo,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Aron Tanie,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Christopher S.,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Mark Oh,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Franco DaCapo,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Greenhorn,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Reto Burrell,Pop,,,
Underskin,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Of Monsters And Men,Pop,Iceland,,
Neckless,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Murali Coryell,"Jazz, Blues, Soul",,,
Swim Deep,Pop,United Kingdom,,
Rolando Bruno y Sus Orquesta Midi,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Ewan Dobson,Pop,Canada,,
Banned from Utopia,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Swiss Tenors,Pop,Switzerland,,
Enrico Orlandi,Pop,,,
Andri Calonder,Pop,,,
Gordon Schultz,Pop,,,
Valentin Akça,Pop,,,
Panaccusticum,Pop,,,
Matthias Etter,Pop,,,
Junkstars,"Rock, Indie, Punk, Heavy Metal, Gothic",Sweden,,
Musik à la Carte,Pop,,,
Barbara Baer,Pop,,,
Hanspeter Seipp,Pop,,,
I Quattro,Pop,,,
Love & War Tour,"Hip Hop, R'n'B",,,
Janser-Mosimann,"Jazz, Blues, Soul",,,
Andrea Janser,"Jazz, Blues, Soul",,,
Philipp Mosiman,"Jazz, Blues, Soul",,,
Hendrix Ackle u. a.,Pop,,,
Trio Drei,"Jazz, Blues, Soul",,,
Max Huwyler,"Jazz, Blues, Soul",,,
Céline-Giulia Voser,"Jazz, Blues, Soul",,,
Beat Unternährer,"Jazz, Blues, Soul",,,
Cannonsoul feat. Andy McKee,"Jazz, Blues, Soul",,,
Patrick Bianco,"Jazz, Blues, Soul",,,
Peter Tuscher,"Jazz, Blues, Soul",,,
Renato Chicco,"Jazz, Blues, Soul",,,
Bruno Hächler Quartett,Pop,,,
Sensation,"Hip Hop, R'n'B",,,
DJs Hokuto,"Hip Hop, R'n'B",,,
Toru,"Hip Hop, R'n'B",,,
The Chaspers,Pop,,,
Elio Ricca Band,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Makati Records,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJs Missterious,"Hip Hop, R'n'B",,,
DJ Robert Rush,"Hip Hop, R'n'B",,,
Irrwisch,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Gourdon-Antez,"Jazz, Blues, Soul",,,
Missis Fox,Pop,,,
Explore Error & Artjom,"Jazz, Blues, Soul",,,
Mad Girl,Pop,,,
Red Cube & Peewee Horns,"Jazz, Blues, Soul",,,
DJ Tom Li,"Ragga, Reggae, African Music, Dancehall",,,
Big Band Connection feat. Yumi Ito,"Jazz, Blues, Soul",,,
Leitung: Bernhard Schoch,"Jazz, Blues, Soul",,,
Schwarzbuebe-Jodler,Pop,,,
Jodlerklub Horn,Pop,,,
Geschwister Moser,Pop,,,
Wärgstattchörli u. a.,Pop,,,
Headshot,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Sudden Death,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Shadows Far,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
HotRock,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Ragnar Kjartansson & The All Star Band,"Jazz, Blues, Soul",Iceland,,
The Mallet Cats,"Jazz, Blues, Soul",,,
Red House,"Jazz, Blues, Soul",,,
Kookaburra & Noah Berz,"Jazz, Blues, Soul",,,
DJs Dirty Doering,Electronic,,,
Eki con el Italiano,"Hip Hop, R'n'B",,,
DJs Reaper,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Exitus,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
EBM-Front Bern,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Live: AnamTara,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Sideways in Reverse,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ Dani the Tiger,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
What A Big Mess,"Hip Hop, R'n'B",,,
High.fi,"Hip Hop, R'n'B",,,
Neo & Neo,Pop,,,
Andy McSean,Pop,,,
Jones,"Hip Hop, R'n'B",,,
Sa Mood,"Hip Hop, R'n'B",,,
Ragnar Kjartansson & Band,Electronic,,,
DJs Toby Dillian,Electronic,,,
JJ Billion,Electronic,,,
Laurent & Max,Electronic,,,
Acoustic Night,Pop,,,
Freunde Waldemars,"Jazz, Blues, Soul",,,
DJ Fatony,"Jazz, Blues, Soul",,,
Enrico Orlandi & Band,"Jazz, Blues, Soul",,,
Thom Grüninger,"Jazz, Blues, Soul",,,
Urs Stucki,"Jazz, Blues, Soul",,,
Dänu Brüggemann,Pop,,,
Gisler-Peyer-Rojas,"Jazz, Blues, Soul",,,
Beat Gisler,"Jazz, Blues, Soul",,,
Marius Peyer,"Jazz, Blues, Soul",,,
Jerry Rojas,"Jazz, Blues, Soul",,,
DJ Iwan,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Live: Darrow,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Worse To Come,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Fondukotze,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Track The Liars Down,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Tasty Geezer,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ Meh,"Hip Hop, R'n'B",,,
Tanzkurse ab 19 Uhr,"Ragga, Reggae, African Music, Dancehall",,,
Renzo Spotti Trio,"Jazz, Blues, Soul",,,
Renzo Spotti,"Jazz, Blues, Soul",,,
Tomi Hirt,"Jazz, Blues, Soul",,,
Matto Kämpf,Pop,,,
Markus Schönholzer & Robi Rüdisüli,Pop,,,
Novo,Pop,,,
Lele Seiler,Pop,,,
Mike Baader,Pop,,,
Tony Macalpine feat. Aquiles Priester & Bjorn Englen,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Hillbilly Highway,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Lion Shepherd,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Biomassa,"Hip Hop, R'n'B",,,
Betinko sociàl muzik orkestar,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Continental,"Rock, Indie, Punk, Heavy Metal, Gothic",United States,,
Socialni Teror,"Rock, Indie, Punk, Heavy Metal, Gothic",Czechia,,
Generation N,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Bänz Oester & the Rainmakers,"Jazz, Blues, Soul",,,
Afrika Mkhize,"Jazz, Blues, Soul",,,
Ayanda Sikade,"Jazz, Blues, Soul",,,
Christian Scott Atunde Adjuah,"Jazz, Blues, Soul",,,
Braxton Cook,"Jazz, Blues, Soul",,,
Elena Pinderhughes,"Jazz, Blues, Soul",,,
Kris Funn,"Jazz, Blues, Soul",,,
Dominic Minix,"Jazz, Blues, Soul",,,
Herbert Kramis' Guadalcacin,"Jazz, Blues, Soul",,,
Andrea Kirchhofer,"Jazz, Blues, Soul",,,
Otmar Kramis,"Jazz, Blues, Soul",,,
Matthias Daneck,"Jazz, Blues, Soul",,,
BDC,Pop,,,
Seizmo & Rouman,Pop,,,
Topfchopf,Pop,,,
Didi,"Hip Hop, R'n'B",,,
DJs Gremel,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Plus,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Double O,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Scott Vega,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJs Charlton,Electronic,Netherlands,,
Rasputin's Way,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
AJ-Swizzy,"Hip Hop, R'n'B",,,
Selvhenter,"Rock, Indie, Punk, Heavy Metal, Gothic",Denmark,,
Du Blonde,"Rock, Indie, Punk, Heavy Metal, Gothic",United Kingdom,,
Hickup,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
The Jancee Pornick Casino,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Alles brennt,Pop,,,
Albert Hammond,Pop,United Kingdom,,
Songbook Live Tour,Pop,,,
Wynavalley Oldtime Jazzband,"Jazz, Blues, Soul",,,
Peter C. Beyeler,"Jazz, Blues, Soul",,,
Shilo Buck,"Jazz, Blues, Soul",,,
Werner Gisin,"Jazz, Blues, Soul",,,
Heinz Glauser,"Jazz, Blues, Soul",,,
Max Keller,"Jazz, Blues, Soul",,,
Walter Daetwyler,"Jazz, Blues, Soul",,,
Special Guest: Regi Sager,"Jazz, Blues, Soul",,,
Bokani Dyer Quintet,"Jazz, Blues, Soul",,,
Bokani Dyer,"Jazz, Blues, Soul",,,
Hildegard lernt fliegen,"Jazz, Blues, Soul",,,
Unifour,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Mit Linedance Workshop,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Bull Riding Challenge,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Kostüm Prämierung,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ Kermit feat. 45 Degré,"Hip Hop, R'n'B",,,
Open Season Soundsystem u. a.,"Hip Hop, R'n'B",,,
Fränk,Pop,,,
Karacho Tour,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJs Hugo R,"Hip Hop, R'n'B",,,
Tbani,"Hip Hop, R'n'B",,,
Replay M,"Hip Hop, R'n'B",,,
DJ Grillmeister W,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Kackmusikk,"Hip Hop, R'n'B",,,
DJ Hispanic Joe,"Hip Hop, R'n'B",,,
L Cone,"Hip Hop, R'n'B",,,
DJ Phile,"Hip Hop, R'n'B",,,
Vendetta,"Hip Hop, R'n'B",,,
Opium du Peuple,"Hip Hop, R'n'B",,,
Fergusons,"Hip Hop, R'n'B",,,
Jeff Zima & Friend,"Jazz, Blues, Soul",,,
The Royal Hangmen,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Lounge Lizard,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJ Princess P,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Visu,"Hip Hop, R'n'B",,,
Stefanie Aeschlimann,Pop,,,
Lovesongs,Pop,,,
Bacon Fats,"Jazz, Blues, Soul",,,
Jan Hartmann,"Jazz, Blues, Soul",,,
Sleepy Eddie James,"Jazz, Blues, Soul",,,
Tobias Wirz,"Jazz, Blues, Soul",,,
Pigs and Birds,Pop,,,
Flo Götte,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Andy Harder Trio,"Jazz, Blues, Soul",,,
Andy Harder,"Jazz, Blues, Soul",,,
Lorenz Beyeler,"Jazz, Blues, Soul",,,
Máni Orrason,Pop,Iceland,,
Hanspeter Kruesi,Pop,,,
Presented by Brain & Device,"Hip Hop, R'n'B",,,
Mantik,"Hip Hop, R'n'B",,,
Bänz Oester's Rainmakers,"Jazz, Blues, Soul",,,
Stanley Clarke Quartet,"Jazz, Blues, Soul",,,
Brady Cohan,"Jazz, Blues, Soul",,,
No Return,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Heboïdophrenie,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Pedra Preta,"Jazz, Blues, Soul",,,
Munir Hossn,"Jazz, Blues, Soul",,,
Sechs Songwriter und ein Wein,Pop,,,
Moderation: Michi Motter & Bettina Schelker,Pop,,,
The Prima Gypsy-Swing Project,"Jazz, Blues, Soul",,,
Jerome Sabbagh Quartet feat. Ben Monder,"Jazz, Blues, Soul",,,
Jerome Sabbagh,"Jazz, Blues, Soul",,,
Ben Monder,"Jazz, Blues, Soul",,,
Mark Ferber,"Jazz, Blues, Soul",,,
Bischofberger-Mezgolits-Feigenwinter,"Jazz, Blues, Soul",,,
Maximilian Bischofberger,"Jazz, Blues, Soul",,,
The Bedwarmers & Friends,"Hip Hop, R'n'B",,,
DJ The Passion of Lovers,Electronic,,,
Philadelphia,"Hip Hop, R'n'B",,,
Ana Patan,Pop,,,
Salsa meneo Tanzkurs ab 18:30,"Ragga, Reggae, African Music, Dancehall",,,
Nature in the City,Pop,,,
Rom-Schaerer-Eberle,"Jazz, Blues, Soul",,,
Bänz Oester & The Rainmakers,"Jazz, Blues, Soul",,,
Angelo Branduardi & Band,Pop,,,
Vögel die Erde Essen,Pop,,,
Safi,Pop,,,
DJ Salsero,"Ragga, Reggae, African Music, Dancehall",,,
The Three Tenors of Swing,"Jazz, Blues, Soul",,,
Antti Sarpila,"Jazz, Blues, Soul",,,
Engelbert Wrobel,"Jazz, Blues, Soul",,,
Walk Off The Earth,Pop,Canada,,
Gwunderplunder,Pop,,,
DJs Gushi All Starz feat. Hands,"Hip Hop, R'n'B",,,
Certi,"Hip Hop, R'n'B",,,
Jay & The Gong,"Hip Hop, R'n'B",,,
Öilen Soundsystem,"Hip Hop, R'n'B",,,
DJ Michel Le Clou,"Hip Hop, R'n'B",,,
DJs Brandhärd,"Hip Hop, R'n'B",,,
Jas Crew,"Hip Hop, R'n'B",,,
DJs Sei B.,"Hip Hop, R'n'B",,,
Lö Fönk,"Hip Hop, R'n'B",,,
Jedi Mind Tricks & Non Phixion,"Hip Hop, R'n'B",,,
L Cone & Sad,"Hip Hop, R'n'B",,,
DJ Babon,"Hip Hop, R'n'B",,,
Lukas Rickli,"Jazz, Blues, Soul",,,
Sébastien Jeser,"Jazz, Blues, Soul",,,
Pyramidal,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Trio Lunardi,"Jazz, Blues, Soul",,,
Weidrost,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
End of Silence,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Devils Rage,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Darkmoon,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
DJs TenzKing,"Hip Hop, R'n'B",,,
Jimmaster,"Hip Hop, R'n'B",,,
Shocking Pinks,Pop,New Zealand,,
DJs Dramaqueen,Pop,,,
Dr. Brunner,Pop,,,
Eric Hunziker & Silvia Tschui,Pop,,,
Heimat & Heimlifeiss,Pop,,,
Minikonzert,Pop,,,
Lambs,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Heavy Harvest,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Jeremias,Pop,,,
Dogmate,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Keesel,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Rats on Rafts,"Rock, Indie, Punk, Heavy Metal, Gothic",Netherlands,,
Delayne,Pop,,,
D.O.M.S. SMK,"Hip Hop, R'n'B",,,
Nicky Jam,"Hip Hop, R'n'B",Puerto Rico,,
DJs Nika LMP,"Hip Hop, R'n'B",,,
Don Pepe LMP,"Hip Hop, R'n'B",,,
Berg & Ruosch,Pop,,,
