artist_name,artist_url,event_datetime,event_venue.region,event_url,event_venue.url,event_venue.city,event_venue.latitude,event_venue.longitude,event_venue.name,event_id,event_venue.id
We the Kings,http://www.bandsintown.com/WeTheKings,2011-03-01T15:00:00,Etr,http://www.bandsintown.com/event/4734716?app_id=epfl,http://www.bandsintown.com/venue/1240599,Le Lignon - Geneve,46.20395,6.09471,SALLE DES FETES DU LIGNON,4734716,1240599
Dee Dee Bridgewater,http://www.bandsintown.com/DeeDeeBridgewater,2011-03-01T19:00:00,Etr,http://www.bandsintown.com/event/3585428?app_id=epfl,http://www.bandsintown.com/venue/169960,Geneve,46.2012,6.141799,VICTORIA HALL,3585428,169960
Phil Hayes,http://www.bandsintown.com/PhilHayes,2011-03-01T20:00:00,Switzerland,http://www.bandsintown.com/event/4193487?app_id=epfl,http://www.bandsintown.com/venue/841143,Roches,47.302299,7.37737,Halle,4193487,841143
First Cud Productions,http://www.bandsintown.com/FirstCudProductions,2011-03-01T20:00:00,Switzerland,http://www.bandsintown.com/event/4193487?app_id=epfl,http://www.bandsintown.com/venue/841143,Roches,47.302299,7.37737,Halle,4193487,841143
Mike Zito,http://www.bandsintown.com/MikeZito,2011-03-01T19:00:00,04,http://www.bandsintown.com/event/3904410?app_id=epfl,http://www.bandsintown.com/venue/1010823,Basel,47.5666667,7.6,Blues Now!,3904410,1010823
Alvin Zealot,http://www.bandsintown.com/AlvinZealot,2011-03-01T19:00:00,25,http://www.bandsintown.com/event/4173819?app_id=epfl,http://www.bandsintown.com/venue/10674,Zurich,47.3666667,8.55,Moods,4173819,10674
"""Wings"" Chaarts",http://www.bandsintown.com/%22wings%22Chaarts,2011-03-01T19:00:00,25,http://www.bandsintown.com/event/4173819?app_id=epfl,http://www.bandsintown.com/venue/10674,Zurich,47.3666667,8.55,Moods,4173819,10674
Benjamin Schmid,http://www.bandsintown.com/BenjaminSchmid,2011-03-01T19:00:00,25,http://www.bandsintown.com/event/4173819?app_id=epfl,http://www.bandsintown.com/venue/10674,Zurich,47.3666667,8.55,Moods,4173819,10674
Eliza Doolittle,http://www.bandsintown.com/ElizaDoolittle,2011-03-01T19:00:00,Lucerne,http://www.bandsintown.com/event/4121599?app_id=epfl,http://www.bandsintown.com/venue/334152,Lucerne,47.044019,8.311746,Schüür,4121599,334152
Universal Export,http://www.bandsintown.com/UniversalExport,2011-03-01T20:00:00,04,http://www.bandsintown.com/event/4189084?app_id=epfl,http://www.bandsintown.com/venue/169941,Basel,47.5638072,7.5911254,Kaserne,4189084,169941
Mike Zito Band,http://www.bandsintown.com/MikeZitoBand,2011-03-01T20:15:00,04,http://www.bandsintown.com/event/4189085?app_id=epfl,http://www.bandsintown.com/venue/967346,Basel,47.5666667,7.6,Sudhaus,4189085,967346
Steve Lukather,http://www.bandsintown.com/SteveLukather,2011-03-01T21:00:00,,http://www.bandsintown.com/event/4189086?app_id=epfl,http://www.bandsintown.com/venue/840867,Aarburg,47.3201994,7.9071709,Moonwalker Club,4189086,840867
The Aggrolites,http://www.bandsintown.com/TheAggrolites,2011-03-02T19:00:00,Etr,http://www.bandsintown.com/event/4179503?app_id=epfl,http://www.bandsintown.com/venue/1038518,Fribourg,46.8025,7.151281,NOUVEAU MONDE,4179503,1038518
Faszination Japan,http://www.bandsintown.com/FaszinationJapan,2011-03-02T19:30:00,,http://www.bandsintown.com/event/4189088?app_id=epfl,http://www.bandsintown.com/venue/880872,Burgdorf,47.0589006,7.6137321,Aula Gsteighof,4189088,880872
"Ray Fein's ""Great Country",http://www.bandsintown.com/RayFein%27s%22greatCountry,2011-03-02T19:30:00,Switzerland,http://www.bandsintown.com/event/4189087?app_id=epfl,http://www.bandsintown.com/venue/343680,Zurich,47.354599,8.5044,Schützenhaus  Albisgütli,4189087,343680
"Boogie-Night""",http://www.bandsintown.com/Boogie-Night%22,2011-03-02T19:30:00,Switzerland,http://www.bandsintown.com/event/4189087?app_id=epfl,http://www.bandsintown.com/venue/343680,Zurich,47.354599,8.5044,Schützenhaus  Albisgütli,4189087,343680
Tourmaline,http://www.bandsintown.com/Tourmaline,2011-03-02T20:00:00,Switzerland,http://www.bandsintown.com/event/4188997?app_id=epfl,http://www.bandsintown.com/venue/1040868,Canton Of Zurich,47.426941,8.67153,place,4188997,1040868
Joan as Police Woman,http://www.bandsintown.com/JoanAsPoliceWoman,2011-03-02T19:00:00,Switzerland,http://www.bandsintown.com/event/4105508?app_id=epfl,http://www.bandsintown.com/venue/169988,St. Gallen,47.426563,9.373224,Palace,4105508,169988
Tara McDonald,http://www.bandsintown.com/TaraMcdonald,2011-03-03T19:00:00,Switzerland,http://www.bandsintown.com/event/4157736?app_id=epfl,http://www.bandsintown.com/venue/838482,Lausanne,46.517372,6.630045,THE BOX CLUB,4157736,838482
Luluxpo,http://www.bandsintown.com/Luluxpo,2011-03-03T22:00:00,,http://www.bandsintown.com/event/4130240?app_id=epfl,http://www.bandsintown.com/venue/1024955,Geneva,46.2057645,6.141593,K 36,4130240,1024955
