artist_name,artist_url,event_datetime,event_venue.region,event_url,event_venue.url,event_venue.city,event_venue.latitude,event_venue.longitude,event_venue.name,event_id,event_venue.id
SINFONIEKONZERT,http://www.bandsintown.com/SINFONIEKONZERT,2011-09-01T20:00:00,,http://www.bandsintown.com/event/4574660?app_id=epfl,http://www.bandsintown.com/venue/959804,Murten,46.9279052,7.1147633,Schlosshof,4574660,959804
Z15,http://www.bandsintown.com/Z15,2011-09-01T18:30:00,Switzerland,http://www.bandsintown.com/event/4574656?app_id=epfl,http://www.bandsintown.com/venue/964981,Roches,47.302299,7.37737,Landiwiese open air,4574656,964981
Z16,http://www.bandsintown.com/Z16,2011-09-01T18:30:00,Switzerland,http://www.bandsintown.com/event/4574656?app_id=epfl,http://www.bandsintown.com/venue/964981,Roches,47.302299,7.37737,Landiwiese open air,4574656,964981
O1,http://www.bandsintown.com/O1,2011-09-01T19:00:00,Switzerland,http://www.bandsintown.com/event/4574657?app_id=epfl,http://www.bandsintown.com/venue/960758,Roches,47.302299,7.37737,Landiwiese Nord,4574657,960758
S4,http://www.bandsintown.com/S4,2011-09-01T19:00:00,Switzerland,http://www.bandsintown.com/event/4574658?app_id=epfl,http://www.bandsintown.com/venue/959612,Roches,47.302299,7.37737,Landiwiese SÃ¼d,4574658,959612
D_2,http://www.bandsintown.com/D_2,2011-09-01T19:30:00,Switzerland,http://www.bandsintown.com/event/4574659?app_id=epfl,http://www.bandsintown.com/venue/960757,Roches,47.302299,7.37737,Werft,4574659,960757
K2,http://www.bandsintown.com/K2,2011-09-01T21:00:00,Switzerland,http://www.bandsintown.com/event/4574662?app_id=epfl,http://www.bandsintown.com/venue/959806,Roches,47.302299,7.37737,Landiwiese SeebÃ¼hne,4574662,959806
U13,http://www.bandsintown.com/U13,2011-09-01T21:00:00,Switzerland,http://www.bandsintown.com/event/4574663?app_id=epfl,http://www.bandsintown.com/venue/959807,Roches,47.302299,7.37737,Landiwiese Club,4574663,959807
W8,http://www.bandsintown.com/W8,2011-09-01T21:00:00,Switzerland,http://www.bandsintown.com/event/4574664?app_id=epfl,http://www.bandsintown.com/venue/959809,Roches,47.302299,7.37737,Rote Fabrik Aktionshalle,4574664,959809
KMU,http://www.bandsintown.com/KMU,2011-09-01T10:00:00,,http://www.bandsintown.com/event/4574655?app_id=epfl,http://www.bandsintown.com/venue/1181990,Wetzikon (Zh),47.315232,8.799171,Messegelände ZOM,4574655,1181990
freunde elektronischer musik,http://www.bandsintown.com/FreundeElektronischerMusik,2011-09-01T20:30:00,Switzerland,http://www.bandsintown.com/event/4556884?app_id=epfl,http://www.bandsintown.com/venue/1175710,Wetzikon,47.33063,8.828478,Nagelfabrik Kempten,4556884,1175710
EVOLENT,http://www.bandsintown.com/EVOLENT,2011-09-01T20:30:00,Switzerland,http://www.bandsintown.com/event/4556884?app_id=epfl,http://www.bandsintown.com/venue/1175710,Wetzikon,47.33063,8.828478,Nagelfabrik Kempten,4556884,1175710
Fabri,http://www.bandsintown.com/Fabri,2011-09-01T20:30:00,Switzerland,http://www.bandsintown.com/event/4556884?app_id=epfl,http://www.bandsintown.com/venue/1175710,Wetzikon,47.33063,8.828478,Nagelfabrik Kempten,4556884,1175710
Sarah Buck,http://www.bandsintown.com/SarahBuck,2011-09-01T20:30:00,,http://www.bandsintown.com/event/4574661?app_id=epfl,http://www.bandsintown.com/venue/842323,Baden,47.4811889,8.3003268,Nordportal / Fjord,4574661,842323
Band Unplugged,http://www.bandsintown.com/BandUnplugged,2011-09-01T20:30:00,,http://www.bandsintown.com/event/4574661?app_id=epfl,http://www.bandsintown.com/venue/842323,Baden,47.4811889,8.3003268,Nordportal / Fjord,4574661,842323
Jungle Brothers,http://www.bandsintown.com/JungleBrothers,2011-09-01T21:00:00,25,http://www.bandsintown.com/event/4574665?app_id=epfl,http://www.bandsintown.com/venue/390920,Zurich,47.374458,8.53397,Stall 6,4574665,390920
Knackeboul,http://www.bandsintown.com/Knackeboul,2011-09-01T21:00:00,,http://www.bandsintown.com/event/4537051?app_id=epfl,http://www.bandsintown.com/venue/1168015,Biel-Benken,47.505215,7.525353,Coupole,4537051,1168015
