artist_name,artist_url,event_venue.longitude,event_id,event_venue.id,event_venue.city,event_venue.region,event_venue.latitude,event_datetime,event_url,event_venue.url,event_venue.name
Kelly Clarkson,http://www.bandsintown.com/KellyClarkson,8.527116,3111725,170005,Zurich,Switzerland,47.375485,2010-03-01T19:00:00,http://www.bandsintown.com/event/3111725?app_id=epfl,http://www.bandsintown.com/venue/170005,Volkshaus
Parachute,http://www.bandsintown.com/Parachute,8.53955,3252401,343400,Zurich,Canton Of Zurich,47.37706,2010-03-01T19:00:00,http://www.bandsintown.com/event/3252401?app_id=epfl,http://www.bandsintown.com/venue/343400,Volkhaus
Lacuna Coil,http://www.bandsintown.com/LacunaCoil,8.539312,3178103,594255,Zurich,Etr,47.383297,2010-03-01T20:00:00,http://www.bandsintown.com/event/3178103?app_id=epfl,http://www.bandsintown.com/venue/594255,Dynamo
Dommin,http://www.bandsintown.com/Dommin,8.539312,3178103,594255,Zurich,Etr,47.383297,2010-03-01T20:00:00,http://www.bandsintown.com/event/3178103?app_id=epfl,http://www.bandsintown.com/venue/594255,Dynamo
Kevin Devine,http://www.bandsintown.com/KevinDevine,8.55,3342483,90375,Zurich,25,47.3666667,2010-03-01T20:00:00,http://www.bandsintown.com/event/3342483?app_id=epfl,http://www.bandsintown.com/venue/90375,Hafenkneipe
Helmut Lotti,http://www.bandsintown.com/HelmutLotti,8.552307,3312913,170002,Zurich,25,47.410675,2010-03-02T20:00:00,http://www.bandsintown.com/event/3312913?app_id=epfl,http://www.bandsintown.com/venue/170002,Hallenstadion
Skindred,http://www.bandsintown.com/Skindred,8.55,3179360,786791,Zurich,25,47.3666667,2010-03-02T20:00:00,http://www.bandsintown.com/event/3179360?app_id=epfl,http://www.bandsintown.com/venue/786791,Avart
Gian-Andrea Costa,http://www.bandsintown.com/Gian-andreaCosta,8.5194702,3393221,697731,Zurich,ZH,47.3882217,2010-03-02T20:00:00,http://www.bandsintown.com/event/3393221?app_id=epfl,http://www.bandsintown.com/venue/697731,Exil
Nitzer Ebb,http://www.bandsintown.com/NitzerEbb,8.55,3302273,275159,Zurich,25,47.3666667,2010-03-02T20:30:00,http://www.bandsintown.com/event/3302273?app_id=epfl,http://www.bandsintown.com/venue/275159,X-tra
Arsonists Get All the Girls,http://www.bandsintown.com/ArsonistsGetAllTheGirls,9.56527,3179390,786799,Zizers,Switzerland,46.936001,2010-03-02T20:00:00,http://www.bandsintown.com/event/3179390?app_id=epfl,http://www.bandsintown.com/venue/786799,Event Stage
