artist_name,artist_url,event_venue.longitude,event_id,event_venue.id,event_venue.city,event_venue.region,event_venue.latitude,event_datetime,event_url,event_venue.url,event_venue.name
THE HIITERS,http://www.bandsintown.com/TheHiiters,6.1666667,5875517,1601987,Geneva,07,46.2,2010-11-01T19:00:00,http://www.bandsintown.com/event/5875517?app_id=epfl,http://www.bandsintown.com/venue/1601987,w/ LES PETITS PILOUS  @PTR
Chapel Club,http://www.bandsintown.com/ChapelClub,6.6666667,4008860,1001024,Lausanne,23,46.5333333,2010-11-01T20:30:00,http://www.bandsintown.com/event/4008860?app_id=epfl,http://www.bandsintown.com/venue/1001024,Les Docks w/Two Door Cinema Club
The Turbo A.C.'s,http://www.bandsintown.com/TheTurboA.c.%27s,6.14106,3805195,445852,Aux Acacias,Switzerland,46.183262,2010-11-01T21:30:00,http://www.bandsintown.com/event/3805195?app_id=epfl,http://www.bandsintown.com/venue/445852,Tiki Bar
Züri Littéraire. Der monatliche Literaturtalk,http://www.bandsintown.com/Z%C3%BCriLitt%C3%A9raire.DerMonatlicheLiteraturtalk,8.5363913,3977475,868508,Zürich,,47.3717637,2010-11-01T18:30:00,http://www.bandsintown.com/event/3977475?app_id=epfl,http://www.bandsintown.com/venue/868508,Kaufleuten Festsaal
Spoons,http://www.bandsintown.com/Spoons,8.53955,3853844,965460,Zurich,Switzerland,47.37706,2010-11-01T19:00:00,http://www.bandsintown.com/event/3853844?app_id=epfl,http://www.bandsintown.com/venue/965460,Westside
The Futureheads,http://www.bandsintown.com/TheFutureheads,8.55,3926825,984092,Zurich,25,47.3666667,2010-11-01T19:00:00,http://www.bandsintown.com/event/3926825?app_id=epfl,http://www.bandsintown.com/venue/984092,Hallenstadion w/ Linkin Park
Demon Hunter,http://www.bandsintown.com/DemonHunter,8.539312,3801901,594255,Zurich,Etr,47.383297,2010-11-01T19:00:00,http://www.bandsintown.com/event/3801901?app_id=epfl,http://www.bandsintown.com/venue/594255,Dynamo
Disciple,http://www.bandsintown.com/Disciple,8.55,3673785,845246,Zurich,25,47.3666667,2010-11-01T19:00:00,http://www.bandsintown.com/event/3673785?app_id=epfl,http://www.bandsintown.com/venue/845246,Guss
Live Multivision-Show,http://www.bandsintown.com/LiveMultivision-show,7.736253,3977476,995371,Liestal,,47.4825994,2010-11-01T20:00:00,http://www.bandsintown.com/event/3977476?app_id=epfl,http://www.bandsintown.com/venue/995371,Hotel Engel
"""Lozärn lacht""",http://www.bandsintown.com/%22loz%C3%A4rnLacht%22,8.3090188,3977477,995372,Luzern,11,47.0458693,2010-11-01T20:00:00,http://www.bandsintown.com/event/3977477?app_id=epfl,http://www.bandsintown.com/venue/995372,Kleintheater
Sworn Amongst,http://www.bandsintown.com/SwornAmongst,7.6833333,3885325,43060,Pratteln,01,47.5166667,2010-11-01T20:00:00,http://www.bandsintown.com/event/3885325?app_id=epfl,http://www.bandsintown.com/venue/43060,Z7
Annihilator,http://www.bandsintown.com/Annihilator,7.6833333,3885325,43060,Pratteln,01,47.5166667,2010-11-01T20:00:00,http://www.bandsintown.com/event/3885325?app_id=epfl,http://www.bandsintown.com/venue/43060,Z7
Linkin Park,http://www.bandsintown.com/LinkinPark,8.552307,3677019,170002,Zurich,25,47.410675,2010-11-01T20:00:00,http://www.bandsintown.com/event/3677019?app_id=epfl,http://www.bandsintown.com/venue/170002,Hallenstadion
Dave Holland Quintet,http://www.bandsintown.com/DaveHollandQuintet,8.55,3977478,10674,Zurich,25,47.3666667,2010-11-01T20:30:00,http://www.bandsintown.com/event/3977478?app_id=epfl,http://www.bandsintown.com/venue/10674,Moods
The Charlatans,http://www.bandsintown.com/TheCharlatans,8.522239,3950075,48122,Zurich,Switzerland,47.362215,2010-11-01T20:30:00,http://www.bandsintown.com/event/3950075?app_id=epfl,http://www.bandsintown.com/venue/48122,Abart
Nik Bärtsch's Ronin,http://www.bandsintown.com/NikB%C3%A4rtsch%27sRonin,8.5194702,3971895,697731,Zurich,ZH,47.3882217,2010-11-01T21:00:00,http://www.bandsintown.com/event/3971895?app_id=epfl,http://www.bandsintown.com/venue/697731,Exil
Mark Berube and The Patriotic Few,http://www.bandsintown.com/MarkBerubeAndThePatrioticFew,7.5911298,3931541,358211,Basel,BS,47.5638084,2010-11-01T21:00:00,http://www.bandsintown.com/event/3931541?app_id=epfl,http://www.bandsintown.com/venue/358211,Parterre
Oceansize,http://www.bandsintown.com/Oceansize,9.37369,3803205,356220,St. Gallen,Switzerland,47.42638,2010-11-01T19:00:00,http://www.bandsintown.com/event/3803205?app_id=epfl,http://www.bandsintown.com/venue/356220,Grabenhalle
Mark Berube and The Patriotic Few,http://www.bandsintown.com/MarkBerubeAndThePatrioticFew,6.6585,3931542,985320,Lausanne,Switzerland,46.537731,2010-11-02T20:00:00,http://www.bandsintown.com/event/3931542?app_id=epfl,http://www.bandsintown.com/venue/985320,RSR
Oceansize,http://www.bandsintown.com/Oceansize,7.43981,3803206,755469,Berne,BE,46.95349,2010-11-02T19:00:00,http://www.bandsintown.com/event/3803206?app_id=epfl,http://www.bandsintown.com/venue/755469,ISC Club
Cuqui Jerez,http://www.bandsintown.com/CuquiJerez,7.4442012,3977479,841044,Bern,,46.9407562,2010-11-02T19:30:00,http://www.bandsintown.com/event/3977479?app_id=epfl,http://www.bandsintown.com/venue/841044,Dampfzentrale Kesselhaus
Darknight,http://www.bandsintown.com/Darknight,8.736,3605259,892288,First,Switzerland,47.438019,2010-11-02T08:00:00,http://www.bandsintown.com/event/3605259?app_id=epfl,http://www.bandsintown.com/venue/892288,In Studio
FatCat Records,http://www.bandsintown.com/FatcatRecords,8.5194702,3900947,697731,Zurich,ZH,47.3882217,2010-11-02T13:00:00,http://www.bandsintown.com/event/3900947?app_id=epfl,http://www.bandsintown.com/venue/697731,Exil
Samuel Blaser,http://www.bandsintown.com/SamuelBlaser,8.2666667,3770754,842100,Luzern,11,47.0833333,2010-11-02T20:00:00,http://www.bandsintown.com/event/3770754?app_id=epfl,http://www.bandsintown.com/venue/842100,La fourmi
The Coral,http://www.bandsintown.com/TheCoral,8.522239,3758750,48122,Zurich,Switzerland,47.362215,2010-11-02T20:00:00,http://www.bandsintown.com/event/3758750?app_id=epfl,http://www.bandsintown.com/venue/48122,Abart
Public Enemy,http://www.bandsintown.com/PublicEnemy,8.55,3709433,275159,Zurich,25,47.3666667,2010-11-02T20:00:00,http://www.bandsintown.com/event/3709433?app_id=epfl,http://www.bandsintown.com/venue/275159,X-tra
The Turbo A.C.'s,http://www.bandsintown.com/TheTurboA.c.%27s,8.54673,3805196,293622,Zurich,ZH,47.3663788,2010-11-02T21:30:00,http://www.bandsintown.com/event/3805196?app_id=epfl,http://www.bandsintown.com/venue/293622,Mascotte
