name,origin,genre
Nici Struchen,NaN,"Hip Hop, R'n'B"
DJ Tiago & El Nino,NaN,"Hip Hop, R'n'B"
Kammerton-Quartett,NaN,Pop
Mani Matter und Schweizer Volkslieder,Switzerland,Pop
DJ Assane,NaN,"Ragga, Reggae, African Music, Dancehall"
Florian Schneider,Germany,"Rock, Indie, Punk, Heavy Metal, Gothic"
Sänger und Liederschreiber,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Meistergeiger,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Tigershead,NaN,Pop
Teeth'n'Tongue,Greece,"Hip Hop, R'n'B"
DJs The Scorcher,NaN,"Hip Hop, R'n'B"
Rootation,NaN,"Hip Hop, R'n'B"
DJs Laslow,NaN,"Hip Hop, R'n'B"
MK,NaN,"Hip Hop, R'n'B"
Leandro &amp; Co,NaN,"Hip Hop, R'n'B"
K.O.S Crew,NaN,"Hip Hop, R'n'B"
Möchtegang,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
The Lovejoys,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
The Boys You Know,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
OGMH,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Zeus,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Zaperlipopette,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ Scharlachmaria,NaN,Pop
Tuliaisia,NaN,Pop
Marianne Racine-Granvik,NaN,Pop
Vera Kappeler,NaN,Pop
RHCP, U.S.,Pop
Soul in motion,NaN,Pop
TPATC,NaN,Pop
MissGrousiii,NaN,Pop
Pink Pedrazzi,NaN,Pop
DJs Mr. Ho,Hong Kong,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJs Double Dice,NaN,"Hip Hop, R'n'B"
Black M,NaN,"Hip Hop, R'n'B"
DJ Grillmaster W,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ Dr Jones,NaN,"Hip Hop, R'n'B"
DJs Theo,NaN,"Ragga, Reggae, African Music, Dancehall"
DJ High Fi,NaN,"Hip Hop, R'n'B"
DJ Irie Shottaz,NaN,"Hip Hop, R'n'B"
Boris Pilleri's Jammin,NaN,"Hip Hop, R'n'B"
Bondaa,NaN,"Hip Hop, R'n'B"
Hendrix Cousins,NaN,"Jazz, Blues, Soul"
Müslüm & Band,NaN,Pop
Gone Hepsville,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJs Steve Supreme,NaN,"Hip Hop, R'n'B"
Costa,NaN,"Hip Hop, R'n'B"
Intresst,NaN,"Hip Hop, R'n'B"
Pezzo Acoustic,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ Metal Heart,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ EKR,NaN,"Hip Hop, R'n'B"
DJ Manuel,NaN,"Ragga, Reggae, African Music, Dancehall"
Imperio,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Phil Hayes & The Trees,NaN,Pop
DJ Don Luca,NaN,"Hip Hop, R'n'B"
Live: Patricia Nora,Argentina,"Ragga, Reggae, African Music, Dancehall"
Nik Bärtsch's Ronin,NaN,"Hip Hop, R'n'B"
Raw Vision,NaN,"Jazz, Blues, Soul"
Christoph Grab,NaN,"Jazz, Blues, Soul"
Lukas Traxel,NaN,"Jazz, Blues, Soul"
Maxime Paratte,NaN,"Jazz, Blues, Soul"
DJs Ali Baba Sound System,NaN,"Hip Hop, R'n'B"
Karaoke Till Death,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
The Vicos,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Fusion Square Garden,NaN,"Hip Hop, R'n'B"
Morò Mauro Corchia,NaN,"Hip Hop, R'n'B"
Mättu Urech,NaN,"Hip Hop, R'n'B"
Dominique Montandon,NaN,"Hip Hop, R'n'B"
Marcel Suk,NaN,"Hip Hop, R'n'B"
Gianni Lanzilotti,NaN,"Hip Hop, R'n'B"
Roland Wäger,NaN,"Hip Hop, R'n'B"
Les Voda & Dave Phillips,NaN,Pop
DJ Member-Berries,NaN,Pop
DJs Ecko,NaN,"Hip Hop, R'n'B"
Spino,NaN,"Hip Hop, R'n'B"
Robin Tune,NaN,"Hip Hop, R'n'B"
DJs Tomahawk,NaN,"Hip Hop, R'n'B"
Selecta Iray,NaN,"Hip Hop, R'n'B"
Rising Fyah,NaN,"Hip Hop, R'n'B"
Jahcriss u.a.,NaN,"Hip Hop, R'n'B"
Silvester Big Bash Davos,NaN,"Ragga, Reggae, African Music, Dancehall"
Live: Jose De Rico,NaN,"Ragga, Reggae, African Music, Dancehall"
Loco Escrito,NaN,"Ragga, Reggae, African Music, Dancehall"
Zimmer by Muevete & Pepe-J,NaN,"Ragga, Reggae, African Music, Dancehall"
Klub by Monkey Groove,NaN,"Ragga, Reggae, African Music, Dancehall"
DJ Troja,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Sleeping Sun,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Motörblast,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
The Neighbour of the Beast,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Sad,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Living Theory,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ Thomas,NaN,"Ragga, Reggae, African Music, Dancehall"
Big Bang Bingo Showcase,NaN,Electronic
DJ Adrian Bergmann,NaN,Electronic
Ab 16 Jahren,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ Lucky G.,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJs Big Boys,NaN,"Hip Hop, R'n'B"
MDMO,NaN,"Hip Hop, R'n'B"
DJ Romeo,Cuba,"Ragga, Reggae, African Music, Dancehall"
DJ Skoob,NaN,"Hip Hop, R'n'B"
Ziggy Zaggy & the Disco Popes,NaN,Pop
Brynn,NaN,Pop
The Tarantinos,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
