name,origin,genre
Chris Muzik,NaN,"Jazz, Blues, Soul"
Dave Kohler,NaN,"Jazz, Blues, Soul"
Billy Wirz,NaN,"Jazz, Blues, Soul"
Hannes Würgler,NaN,"Jazz, Blues, Soul"
Yves Desroisers,Canada,Pop
Barbarossa,United Kingdom,"Rock, Indie, Punk, Heavy Metal, Gothic"
JAvoiceZZ,NaN,"Jazz, Blues, Soul"
Jérôme Charlebois,Canada,Pop
Intergalaktischer Chor,NaN,Pop
Ad Hoc Chor Urdorf,NaN,Pop
Schülerbandfestival,NaN,Pop
DJs El Nino,NaN,"Hip Hop, R'n'B"
Marc Advice,NaN,"Hip Hop, R'n'B"
Live: Zap Trio,NaN,"Hip Hop, R'n'B"
DJs Crazy,NaN,"Hip Hop, R'n'B"
Stella,NaN,"Hip Hop, R'n'B"
DJs Matteo la Frescura,NaN,"Ragga, Reggae, African Music, Dancehall"
Luis G,NaN,"Ragga, Reggae, African Music, Dancehall"
U. S.Thaler,NaN,"Ragga, Reggae, African Music, Dancehall"
Jerryton,NaN,"Ragga, Reggae, African Music, Dancehall"
Virus u. a.,NaN,"Ragga, Reggae, African Music, Dancehall"
Die Astronauten,NaN,Pop
Parrot to the Moon,NaN,Pop
St. Kitts Royal Orchestra,NaN,Pop
Catalyst,NaN,Pop
Trash Thurgau,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Bungle Brothers,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Morgerock,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Impro Duo,NaN,"Jazz, Blues, Soul"
Justin Purtill,NaN,"Jazz, Blues, Soul"
Samuel Dühsler,NaN,"Jazz, Blues, Soul"
Tire le Coyote,Canada,"Rock, Indie, Punk, Heavy Metal, Gothic"
Berliner Weisse,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Raufhandel,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Concrete Elite,United States,"Rock, Indie, Punk, Heavy Metal, Gothic"
Live: Alina Torres y sabor.ch,NaN,"Ragga, Reggae, African Music, Dancehall"
Alina Torres,NaN,"Ragga, Reggae, African Music, Dancehall"
Irene Simmen,NaN,"Ragga, Reggae, African Music, Dancehall"
Barbara Borchers,NaN,"Ragga, Reggae, African Music, Dancehall"
Jürg Märki,NaN,"Ragga, Reggae, African Music, Dancehall"
Con Fuego,NaN,Pop
Anina & Mirjam,NaN,Pop
Sonia & Loris,NaN,Pop
Hurts,England,Pop
Ghost,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJs Source,NaN,"Hip Hop, R'n'B"
St. One,NaN,"Hip Hop, R'n'B"
DJs Ronfa,NaN,"Hip Hop, R'n'B"
I-Kim,NaN,"Hip Hop, R'n'B"
DJs Whisker,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Andy Mad Katz,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Rouse Gosling,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Shy Lajoe,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJs P-Style,NaN,"Hip Hop, R'n'B"
DJs Mykel Rozenberg,NaN,"Hip Hop, R'n'B"
A.D.M.,NaN,"Hip Hop, R'n'B"
DJs G-Play,NaN,"Hip Hop, R'n'B"
Dam' Eazy,NaN,"Hip Hop, R'n'B"
DJ Mr. Right,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Jazzcetera,NaN,Pop
Musikalische Leitung: Rico Zela,NaN,Pop
Regie: Matthias Werder,NaN,Pop
Domi Chansorn & Oli Zurkirchen,NaN,"Jazz, Blues, Soul"
Oli Zurkirchen,NaN,"Jazz, Blues, Soul"
Brönnimann-Zisman,NaN,"Jazz, Blues, Soul"
Jan Galega Brönnimann,NaN,"Jazz, Blues, Soul"
Lilly Thornton Quintett,NaN,"Jazz, Blues, Soul"
Lilly Thornton,NaN,"Jazz, Blues, Soul"
Ull Möck,NaN,"Jazz, Blues, Soul"
Christian Meyers,NaN,"Jazz, Blues, Soul"
Jens Loh,NaN,"Jazz, Blues, Soul"
The Tuesday Haters,NaN,Pop
Bottoms Up,NaN,Pop
Goons in Power,NaN,Pop
The Flare,NaN,Pop
NAT,NaN,Pop
Sykur,Israel,Pop
Duo Iten-Bond,NaN,Pop
Infinity Band,NaN,Pop
The Conservators,NaN,Pop
Dog On,NaN,Pop
Helen Iten Trio,NaN,Pop
EAV,NaN,Pop
Barada Street,NaN,Pop
Acoustic Guitar Kollektiv,Poland,Pop
El Turbión,Argentina,Pop
DJ Big T,NaN,"Hip Hop, R'n'B"
The Bellrays,United States,Pop
The Bonnie Situations,NaN,Pop
RotaChor,NaN,Pop
Famara,NaN,"Hip Hop, R'n'B"
Bomz,NaN,Pop
Babymetal,Japan,"Rock, Indie, Punk, Heavy Metal, Gothic"
The Mistery Lights,United States,Pop
Shady and the Vamp,NaN,Pop
Duo Karamasow,NaN,Pop
Duo Bärlauch,NaN,Pop
Voixla,NaN,Pop
Luca Sisera Roofer,NaN,"Jazz, Blues, Soul"
Silvio Cadotsch,NaN,"Jazz, Blues, Soul"
Luca Sisera,NaN,"Jazz, Blues, Soul"
Nota Bene,NaN,Pop
Urban Jungle,NaN,"Jazz, Blues, Soul"
Mathieu Friz,NaN,"Jazz, Blues, Soul"
The String Stranglers,NaN,"Jazz, Blues, Soul"
Mondays les petits,NaN,"Jazz, Blues, Soul"
Hood On Hike - MEZ Chor,NaN,Pop
Sapphire,NaN,Pop
Dave Smalley,United States,Pop
Fil Bo Riva,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Das Pirmin Baumgartner Orchester,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Ensemble Clamo,NaN,Pop
DJs Sean Perignon,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Pitsch,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Nasty Naas,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Oh Snap,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJs Yeezy,NaN,"Hip Hop, R'n'B"
Lil Saint,NaN,"Hip Hop, R'n'B"
DJ Duck Lover,NaN,"Jazz, Blues, Soul"
DJs Marash & Dave,NaN,"Hip Hop, R'n'B"
FerrariBoyz Entertainment,NaN,"Hip Hop, R'n'B"
Hrmline,NaN,"Hip Hop, R'n'B"
Ron Tryer,NaN,"Hip Hop, R'n'B"
Aaron Skate,NaN,"Hip Hop, R'n'B"
DJs Fade ASM,NaN,"Hip Hop, R'n'B"
Flink,NaN,"Hip Hop, R'n'B"
OK,okeh,"Hip Hop, R'n'B"
DJ L-Dee,NaN,"Hip Hop, R'n'B"
Christoph Stiefel & Lisette Spinnler,NaN,"Jazz, Blues, Soul"
The Pocketones,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Batallion,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ Mike,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Kunz,NaN,Pop
Aja & Toni Eberle,NaN,"Jazz, Blues, Soul"
Aja Eberle,NaN,"Jazz, Blues, Soul"
Toni Eberle,NaN,"Jazz, Blues, Soul"
Idée Manu,NaN,"Jazz, Blues, Soul"
Christian Strässle,NaN,"Jazz, Blues, Soul"
Manuela Keller,NaN,"Jazz, Blues, Soul"
Chris Wirth,NaN,"Jazz, Blues, Soul"
Nick Gutersohn,NaN,"Jazz, Blues, Soul"
Marco Käppeli,NaN,"Jazz, Blues, Soul"
The Travellin Brothers Big Band,NaN,"Jazz, Blues, Soul"
Jon Caraega,NaN,"Jazz, Blues, Soul"
Aitor Cañibano,NaN,"Jazz, Blues, Soul"
Eneko Cañibano,NaN,"Jazz, Blues, Soul"
Ander Unzaga,NaN,"Jazz, Blues, Soul"
Isi Redondo,NaN,"Jazz, Blues, Soul"
Robbie Hill, New Zealand,"Jazz, Blues, Soul"
Iiro Kautto,NaN,"Jazz, Blues, Soul"
Jarkko Rantanen,NaN,"Jazz, Blues, Soul"
Samuli Rautiainen,NaN,"Jazz, Blues, Soul"
Markus Holkko,NaN,"Jazz, Blues, Soul"
George Hug & Band,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Rolf Raggenbass & Band,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Marco Gottardi & Band,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Premiere Tres Amigos Country Show,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Sleepyhouse,NaN,Pop
Prinz Pi,NaN,"Hip Hop, R'n'B"
Sirkis-Bialas International Quartet,NaN,"Jazz, Blues, Soul"
Pattrick Bettison,NaN,"Jazz, Blues, Soul"
DJ Redrum,NaN,"Hip Hop, R'n'B"
DJs F,NaN,"Ragga, Reggae, African Music, Dancehall"
Mky,NaN,"Ragga, Reggae, African Music, Dancehall"
DJs Anilson,NaN,"Ragga, Reggae, African Music, Dancehall"
Sen Conta,NaN,"Ragga, Reggae, African Music, Dancehall"
DJ Ored Circle,NaN,"Hip Hop, R'n'B"
Mc Syd,NaN,"Hip Hop, R'n'B"
Matt Novell,NaN,"Hip Hop, R'n'B"
DJ I-Scratch,NaN,"Hip Hop, R'n'B"
Dubby Conquerors,NaN,"Hip Hop, R'n'B"
Soundfish,NaN,"Hip Hop, R'n'B"
Def Selecta,NaN,"Hip Hop, R'n'B"
MC René,NaN,"Hip Hop, R'n'B"
Nativ & Gulio,NaN,"Hip Hop, R'n'B"
D.I.Y.A Band,NaN,"Hip Hop, R'n'B"
DJs Philister,NaN,"Hip Hop, R'n'B"
Giddla,NaN,"Hip Hop, R'n'B"
Duo Lunatic,NaN,Pop
Blue Moon,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Preef,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Half Side Stoned,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Monkey Brain Corporation,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Jasmin & Flavio,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Jellici/Baldes' Soundfields,NaN,"Jazz, Blues, Soul"
The Formers,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Civil Civic,United Kingdom,"Rock, Indie, Punk, Heavy Metal, Gothic"
Dachs,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
The Pixel,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
East Sister,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJs Dora Pan,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Troubas Kater,NaN,Pop
DJ C. Stone,NaN,Pop
Flex Fab,NaN,"Hip Hop, R'n'B"
Palkomuski,NaN,"Hip Hop, R'n'B"
DJs Irie Révolté Soundsystem,NaN,"Hip Hop, R'n'B"
LTJ Bukem & MC Fava,United Kingdom,"Hip Hop, R'n'B"
Old Flings,United States,"Rock, Indie, Punk, Heavy Metal, Gothic"
Spill,United States,"Rock, Indie, Punk, Heavy Metal, Gothic"
Disco Doom,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ Comoustache,NaN,"Ragga, Reggae, African Music, Dancehall"
Basel Rajoub Soriana Project,NaN,Pop
Stringjazz Quartet feat. Oleg Lips,NaN,"Jazz, Blues, Soul"
Oleg Lips,NaN,"Jazz, Blues, Soul"
Christian Wallner,NaN,"Jazz, Blues, Soul"
Urs Wäckerli,NaN,"Jazz, Blues, Soul"
Fulvio Musso,NaN,"Jazz, Blues, Soul"
Thomas Hirt,NaN,"Jazz, Blues, Soul"
Zéphyr Combo,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Aidan Knight & Band,Canada,Pop
Dominique Girod,NaN,"Jazz, Blues, Soul"
Ahimsa,NaN,"Jazz, Blues, Soul"
Neyveli S. Radhakrishna,NaN,"Jazz, Blues, Soul"
Matthias Müller,NaN,"Jazz, Blues, Soul"
Udai Mazumdar,NaN,"Jazz, Blues, Soul"
DJ Turntill,NaN,"Hip Hop, R'n'B"
Cumellas-Talavara,NaN,"Jazz, Blues, Soul"
Joan Pau Cumellas,NaN,"Jazz, Blues, Soul"
Miguel Talavera,NaN,"Jazz, Blues, Soul"
Schüler der Musikschule Luzern,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Female Trouble Band,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Yuval & Avishai Cohen,NaN,"Jazz, Blues, Soul"
Yuval Cohen,NaN,"Jazz, Blues, Soul"
Yonathan Avishai,NaN,"Jazz, Blues, Soul"
Nach,NaN,Pop
Pierre Favre mit Drum Sights,NaN,"Jazz, Blues, Soul"
Chris Jaeger,NaN,"Jazz, Blues, Soul"
Valeria Zangger,NaN,"Jazz, Blues, Soul"
Lage Lund Trio feat. Matt Brewer & Johnathan Blake,United States,"Jazz, Blues, Soul"
Yoran Vroom,NaN,"Jazz, Blues, Soul"
Elspeth Anne,United Kingdom,Pop
Drum Sights,NaN,"Jazz, Blues, Soul"
Luke Winslow King,United States,"Jazz, Blues, Soul"
Jonathan Kreisberg Quartet,NaN,"Jazz, Blues, Soul"
David Kikoski,NaN,"Jazz, Blues, Soul"
Meier rockt,NaN,Pop
Brandy Butler & The Brokenhearted,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Nhumrod,NaN,"Jazz, Blues, Soul"
Tribe Frowst,NaN,"Jazz, Blues, Soul"
Benjamin Leumann,NaN,"Jazz, Blues, Soul"
Pascal Eugster,NaN,"Jazz, Blues, Soul"
Falda,NaN,Pop
Joe Mullins & The Radio Ramblers,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Bayor,NaN,"Hip Hop, R'n'B"
Boogie Mel B,NaN,"Hip Hop, R'n'B"
DJs Freedo,NaN,"Hip Hop, R'n'B"
Poloh,NaN,"Hip Hop, R'n'B"
Sam-B,NaN,"Hip Hop, R'n'B"
Boogieman u. a.,NaN,"Hip Hop, R'n'B"
DJs Jay-K,NaN,"Hip Hop, R'n'B"
K'Enzo,NaN,"Hip Hop, R'n'B"
DJs Mack Stax,NaN,"Hip Hop, R'n'B"
D-Fyne,NaN,"Hip Hop, R'n'B"
DJs Hornyfunk,NaN,"Hip Hop, R'n'B"
Artical Movment,NaN,"Hip Hop, R'n'B"
DJs Herr Wempe,NaN,"Hip Hop, R'n'B"
Banjarek,NaN,"Hip Hop, R'n'B"
DJ Nikolaz,NaN,"Ragga, Reggae, African Music, Dancehall"
Nigel Kingsley & Band,NaN,"Hip Hop, R'n'B"
Flugmodus,NaN,Pop
Jon Bro,NaN,"Jazz, Blues, Soul"
Jonas Brügger,NaN,"Jazz, Blues, Soul"
Mathieu Fritz,NaN,"Jazz, Blues, Soul"
Die Abstürzenden Brieftauben,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
ABC - Acapella Battle Champions,NaN,"Hip Hop, R'n'B"
Grasburg,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Pierrick Destraz,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ Greyhound,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
The Superbs,NaN,"Jazz, Blues, Soul"
Seafret, United Kingdom,Pop
Tom Speight,NaN,Pop
Maja Osojnik,NaN,"Jazz, Blues, Soul"
Blueblut,NaN,"Jazz, Blues, Soul"
Madama Baheux,NaN,"Jazz, Blues, Soul"
Balders Ross,NaN,Pop
Das Ensemble Singvoll und The Monotones swingen am 20. und 21.5.2016. Das junge Frauenensemble freut sich sein Publikum mit einer Retrospektive auf die Ära des Swings in eine vergangene Welt zu entführen,NaN,"Jazz, Blues, Soul"
DJs R-Bronx,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
MF,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Bradford-Thompson-Winshall-Silverstein,NaN,"Jazz, Blues, Soul"
John Michael Bradford,NaN,"Jazz, Blues, Soul"
Isaiah Thompson,NaN,"Jazz, Blues, Soul"
Daniel Winshall,NaN,"Jazz, Blues, Soul"
Jared Silverstein,NaN,"Jazz, Blues, Soul"
Roberto & Laura,NaN,Pop
Bar-Unterhaltung,NaN,Pop
Lido Boys,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Andrew Bond & Band,NaN,Pop
Salz & Pfäffer,NaN,"Jazz, Blues, Soul"
Justo Rahm,NaN,"Jazz, Blues, Soul"
Fritz Eberhart,NaN,"Jazz, Blues, Soul"
Urs Kappeler,NaN,"Jazz, Blues, Soul"
Simon Graf,NaN,"Jazz, Blues, Soul"
Jacqueline Dallmaier,NaN,"Jazz, Blues, Soul"
Claudio Pegolo,NaN,"Jazz, Blues, Soul"
DJs TS Kalashni & Pish Posh,NaN,"Hip Hop, R'n'B"
King Kilo,NaN,"Hip Hop, R'n'B"
Zsameszad,NaN,"Hip Hop, R'n'B"
DJs Crazy & QT,NaN,"Hip Hop, R'n'B"
DJ N.D.Wave,NaN,"Hip Hop, R'n'B"
Blackbird Blackbird,United States,Electronic
CCO,NaN,Electronic
Paranoid State,Netherlands,"Rock, Indie, Punk, Heavy Metal, Gothic"
Keep Talking,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Hej Francis,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Polarnacht,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Lord Kesseli and the Drums,NaN,Pop
Delilahs,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
I.Explode.I,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Furious Few,Australia,"Rock, Indie, Punk, Heavy Metal, Gothic"
Al Pride & Rykka,NaN,Pop
Ralph & The Legends,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ Werner Bolliger,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Dominic Egli's Plurism feat. Feya Faku,NaN,"Jazz, Blues, Soul"
Donat Fisch,NaN,"Jazz, Blues, Soul"
Fezile Faku,NaN,"Jazz, Blues, Soul"
The Diamond Family Archive,United Kingdom,"Rock, Indie, Punk, Heavy Metal, Gothic"
Poing & Maja S. K. Ratkje,Norway,"Jazz, Blues, Soul"
Ken Vandermark & Nate Wooley,United States,"Jazz, Blues, Soul"
Jazz à Bichon,NaN,"Jazz, Blues, Soul"
Georges Rolland,NaN,"Jazz, Blues, Soul"
Guy Champeme,NaN,"Jazz, Blues, Soul"
Renaud Perrais,NaN,"Jazz, Blues, Soul"
Tony Baldwin,NaN,"Jazz, Blues, Soul"
Jean-Pierre Dubois,NaN,"Jazz, Blues, Soul"
Robert Bichon,NaN,"Jazz, Blues, Soul"
Cecile McLorin-Salvant,United States,"Jazz, Blues, Soul"
St. Augustine,/ɔːˈɡʌstᵻn/,Pop
DJ Mikebytribe,NaN,"Hip Hop, R'n'B"
Captain Moustache & Fred Ignazi,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Reverend Deadeye & Brother Al,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Frim Fram Jam,NaN,"Jazz, Blues, Soul"
Shem Thomas,NaN,Pop
Duo Darby & Matsushita,NaN,"Jazz, Blues, Soul"
Samira Darby,NaN,"Jazz, Blues, Soul"
Motoko Matsushita,NaN,"Jazz, Blues, Soul"
Max & the McForelles,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Nucleus,NaN,"Jazz, Blues, Soul"
Nunzio Barbieri,NaN,Pop
Luca Enipeo,NaN,Pop
Daniele Dall'Omo,NaN,Pop
Lucio Caliendo,NaN,Pop
Moving Tunes,NaN,Pop
Anthonie Tonnon,New Zealand,"Hip Hop, R'n'B"
Trio Heinz Herbert,NaN,"Jazz, Blues, Soul"
Catania-Scheiwiller-Werner-Coca,NaN,"Jazz, Blues, Soul"
Corazza-Eugster-Böckli,NaN,"Jazz, Blues, Soul"
Andi Tausch Quartet,NaN,"Jazz, Blues, Soul"
Andi Tausch,NaN,"Jazz, Blues, Soul"
Matthias Pichler,NaN,"Jazz, Blues, Soul"
Reinhold Schmölzer,NaN,"Jazz, Blues, Soul"
Todd Wolfe Band,United States,"Rock, Indie, Punk, Heavy Metal, Gothic"
Alphornbläser-Vereinigung Zürich Stadt,NaN,Pop
Glenn Miller Orchestra,United States,"Jazz, Blues, Soul"
Rast-Sha-Jordi,NaN,"Jazz, Blues, Soul"
Mumford & Sons,United Kingdom,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ Karin Schneider,NaN,"Ragga, Reggae, African Music, Dancehall"
DJs JM,NaN,"Hip Hop, R'n'B"
Tay,NaN,"Hip Hop, R'n'B"
Tolga Köz,NaN,"Hip Hop, R'n'B"
Algerrii,NaN,"Hip Hop, R'n'B"
Reki,NaN,"Hip Hop, R'n'B"
Fabreezy,NaN,"Hip Hop, R'n'B"
MG,NaN,"Hip Hop, R'n'B"
DJs Xapa Kente,NaN,"Ragga, Reggae, African Music, Dancehall"
Desastre,NaN,"Ragga, Reggae, African Music, Dancehall"
Hellen,NaN,"Ragga, Reggae, African Music, Dancehall"
Fidel & Sapito,NaN,"Ragga, Reggae, African Music, Dancehall"
Idem & Flair,NaN,"Hip Hop, R'n'B"
Trauma Duo,NaN,Electronic
Mac Miller,United States,"Hip Hop, R'n'B"
Terry Lee Hale,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Live: Gee-K & Band,NaN,"Hip Hop, R'n'B"
Pfingst Special,NaN,"Hip Hop, R'n'B"
DJs K-Risma,NaN,"Hip Hop, R'n'B"
J. Temple,NaN,"Hip Hop, R'n'B"
ADM,NaN,"Hip Hop, R'n'B"
P-Rez,NaN,"Hip Hop, R'n'B"
Attwenger,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJs Ndee Fresh,NaN,"Hip Hop, R'n'B"
Musical Warfare & Pazi the Fist,NaN,"Hip Hop, R'n'B"
Mr. Tomatoo,NaN,"Hip Hop, R'n'B"
The Espionne,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Waving Hands,NaN,Pop
Schürmann-Duo,NaN,"Jazz, Blues, Soul"
Niggi Schürmann,NaN,"Jazz, Blues, Soul"
Hint,NaN,Electronic
Live: Tapo Y Raya,NaN,"Ragga, Reggae, African Music, Dancehall"
Samurai De Kuba,NaN,"Ragga, Reggae, African Music, Dancehall"
DJs Papi Electric,NaN,"Ragga, Reggae, African Music, Dancehall"
El Niño,NaN,"Ragga, Reggae, African Music, Dancehall"
Latin Stars,NaN,"Ragga, Reggae, African Music, Dancehall"
Sooma,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Aion Quartett,NaN,"Jazz, Blues, Soul"
Michael Gassmann,NaN,"Jazz, Blues, Soul"
Christian Berger, Austria,"Jazz, Blues, Soul"
Herbert Kramis,NaN,"Jazz, Blues, Soul"
Dominic Doppler,NaN,"Jazz, Blues, Soul"
William Singe,United States,Pop
Goccia di Voci,NaN,Pop
Carnival Youth,Latvia,"Rock, Indie, Punk, Heavy Metal, Gothic"
Rival Kings,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Penkowski,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Reza Dinally,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Marey,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ Da Professor,Jamaica,"Hip Hop, R'n'B"
DJs Jay A.D.,Netherlands,"Rock, Indie, Punk, Heavy Metal, Gothic"
Oomboi Lauw,Netherlands,"Rock, Indie, Punk, Heavy Metal, Gothic"
Feero,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ A. S. One,NaN,"Hip Hop, R'n'B"
DJ Nail,NaN,"Hip Hop, R'n'B"
Mr. Leader & Orchestra,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Old Gipsy Mans Hat,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
King Warrior,NaN,"Hip Hop, R'n'B"
Mozart Heroes,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Dominic Landolt,NaN,"Jazz, Blues, Soul"
Ramon Landolt,NaN,"Jazz, Blues, Soul"
Mario Hänni,NaN,"Jazz, Blues, Soul"
Blue Lips Scorcher,NaN,"Hip Hop, R'n'B"
Roberto & Dimitri,NaN,Pop
The Crown,Sweden,"Rock, Indie, Punk, Heavy Metal, Gothic"
Dark Rise,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Skassapunka,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Biomassa Sound,NaN,"Hip Hop, R'n'B"
Stepaz Sound,NaN,"Hip Hop, R'n'B"
Mia Aegerter,NaN,Pop
DJs Miss Golightly & The Duke of Tunes,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Henrik-Fjorden,NaN,Pop
The Steepwater Band,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
BBB Musikband,NaN,Pop
Hot Poodle of Darkness,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Speak low,NaN,"Jazz, Blues, Soul"
Martin Locher,NaN,"Jazz, Blues, Soul"
Jörg Hauser,NaN,"Jazz, Blues, Soul"
Kasper Litschig,NaN,"Jazz, Blues, Soul"
Bruno Stutz,NaN,"Jazz, Blues, Soul"
Martin Meyer,NaN,"Jazz, Blues, Soul"
Zürich Singt,NaN,Pop
FeelX,NaN,"Jazz, Blues, Soul"
Pfister-Frey-De Sousa,NaN,"Jazz, Blues, Soul"
Midrake,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Roland Satterwithe,NaN,Pop
Ed Motta & Band,Brazil,"Jazz, Blues, Soul"
Matti Klein,NaN,"Jazz, Blues, Soul"
DJ Vincz Lee,NaN,Electronic
Live: Mad Factory Players,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJs I-Scratch,NaN,"Hip Hop, R'n'B"
MC Jay Jr.,NaN,"Hip Hop, R'n'B"
Dresscode: Kunterschwarz,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Fame Luck,NaN,"Hip Hop, R'n'B"
Pedro,Peter,"Hip Hop, R'n'B"
Dom Burkhalter,NaN,"Jazz, Blues, Soul"
Su-Girod-Rossy,NaN,"Jazz, Blues, Soul"
Nathanael Su,NaN,"Jazz, Blues, Soul"
North Alps,NaN,Pop
Fenchel & Artjom Ursulan,NaN,Pop
DJs I-KIM,NaN,"Hip Hop, R'n'B"
Bridge,NaN,"Hip Hop, R'n'B"
So-Nee,NaN,"Hip Hop, R'n'B"
Stage Revolution Kodact,NaN,Pop
Once,NaN,Pop
Akkordeon-Orchester Ebikon,NaN,"Jazz, Blues, Soul"
Othmar Arnold,NaN,"Jazz, Blues, Soul"
Adrian Arnold, United States,"Jazz, Blues, Soul"
DJs B-Front,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Audiofreq,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Stephanie,Greek,"Rock, Indie, Punk, Heavy Metal, Gothic"
MC DV8,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Flowboy,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
F-Noize,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Dark Headz,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Execute,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Ellas,Telesistema Mexicano,Electronic
Jazz Students New York,NaN,"Jazz, Blues, Soul"
Sugar and the Josephines,NaN,Pop
Tri-Deuces,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Hely,NaN,"Jazz, Blues, Soul"
Lucca Fries,NaN,"Jazz, Blues, Soul"
Wesno,NaN,"Hip Hop, R'n'B"
DJ J Wax,NaN,"Hip Hop, R'n'B"
