ambigous_result,genre,name,no_result,origin
0,,Franziska Hauser and Band,1,
0,,"DJ Johny Holiday, Jeden 1. Donnerstag im Monat",1,
0,,"Philharmonie Baden-Baden, Jasmine Choi (Fl), Laurence Davies (Hr), Leitung: Pavel Baleff, Moderation: Kilian Rosenberg",1,
0,,"Berner Symphonieorchester, Rachel Harnisch (S), Andrè Schuen (Bar), Leitung: Mario Venzago, Werke von Cécile Marti, Brahms",1,
0,,Olivieri Jazz,1,
0,,"Akku Quintett, Thierry Lüthy (sax), Markus Ischer (g), Maja Nydegger (key), Andi Schnellmann (b), Manuel Pasquinelli (dr), visuals by Jonas Fehr",1,
0,,"DJs Pazkal, Gesang & Klanglos, Kloë Braun",1,
0,,"Distance, Light & Sky (US/GB/NL/B), Pedro Lehmann",0,
0,,"Juan Wauters, Fart Fanfare",1,
0,,"My Name Is George, Support: James Gold",1,
0,,Scud the Hog,1,
0,acid jazz,Speedometer,0,
1,,Nazaire,0,
0,,Baby Val,1,
0,,David Suivez,1,
0,,Mi-An,1,
0,,bischoff62,1,
0,bass music,Distance,0,
0,,DJ OzO,0,
1,,Young Trap,0,
0,turkish pop,Helldorado,0,
0,garage psych,Juan Wauters,0,
0,,le digital rencontre Le vinyl pour un mélange explosif.,1,
0,,cette semaine,1,
0,,Viens taper du pied sur des rythmes électro et régaler tes oreilles de sonorités nouvelles. Entre techno et house,1,
0,,Entre habitudes et nouveautés la programmation de cette nouvelle semaine annonce la couleur !,1,
0,,Vinyl Only,1,
0,,Tedi B2B Bigraf,1,
0,comedy,Eddie Izzard,0,
0,electro swing,Degiheugi,0,
0,afrobeat,Cymande,0,
0,,Techno Night Vol.3,1,
0,,Pod Elektricheskimi Oblakami,1,
1,,Marie-Louise,0,
0,,Freeheld,1,
0,,Un amour de jeunesse,1,
0,,Goodbye First Love,1,
0,,Umbre 1x07,1,
1,,Light,0,
0,,Under Electric Clouds,1,
0,,Franco Fasion,1,
0,melodic hard rock,Eclipse,0,
1,,Maryland,0,
1,,black bone,0,
0,,UP IN SMOKE FESTIVAL VOL 3,1,
1,,Kill Your,0,
1,,Black-Bone,0,
0,,Last Plays,1,
0,pixie,Against The Current,0,
1,,Reach,0,
0,,eternal sunshine of the spotless mind,1,
0,,Le dernier coup de marteau,1,
0,,The Last Hammer Blow,1,
0,,Strangerland,1,
0,,UP IN SMOKE FESTIVAL Vol. 3,1,
0,,Baselbieter Konzerte,1,
0,,"Against The Current (USA), The Crumpets",1,
0,,"Basler Madrigalisten, Ensemble Musica Fiorita, Leitung: Daniela Dolci, Werke von Johann Stadlmayr, Antonio Bertali, Heinrich Schmelzer u.a.",1,
0,,"Basel Sinfonietta, Víkingur Ólafsson (Kl), Leitung: Daníel Bjarnason, Werke von Jón Leifs, Thráinn Hjálmarsson, Anna S. Thorvaldsdóttir u. a.",1,
0,,"Marion Ammann (S), Leitung: Johannes Schlaefli, Werke von Tscherepnin, R. Strauss, Brahms",1,
0,,"Modus Duo, Aureus Ensemble, Mussenkuss, Duo Flageollet, Werke von Beethoven, Schubert, Mendelsohn u. a.",1,
0,,"Ben Sutter, Phil Scholl, Felix Müller",1,
0,,"AMM John Tilbury & Eddie Prévost, Leimgruber-Demierre-Phillips",1,
0,,"Ensemble Tsurà, Leitung: Amir Tiroshi, Werke von Mozart",1,
1,,Cani Sciolti,0,
0,,"Nicolle Rochelle, Swiss Yerba Buena Creole Rice Jazz Band",1,
0,,"Yokko, Kensington (NL)",1,
0,,Beardyman (GB),1,
0,,"Charisma, DJ Daddy",1,
0,,"Helldorado (NOR), support: Bar (D)",1,
0,,"Battalion, Cobra Death, Moros (A)",1,
0,,DJs Irie Shottaz,1,
0,,"Jimmy Wettach's Swingtett, Ruedi von Arx (sax, cl), John Service (tb), Thom Grüninger (p), Jimmy Wettach (b), Rolli Schärer (d)",1,
0,,"Peach Kelli Pop (USA), DJs Milieu Mauri, The DJ, Hove",1,
0,,"Harrington Saints, Reazione",1,
0,,Gala der Volksmusik,1,
0,,"Nguru Plattentaufe ""Wolfpack""",1,
0,,Zweidieter mit,1,
0,,Best of Michael Gammenthaler,1,
0,,Aneti Corti,1,
0,fado,Rodrigo Costa Félix,0,
0,,Sisters Sledge,1,
0,deep german pop rock,Von Wegen Lisbeth,0,
0,classic funk rock,Sister Sledge,0,
0,,Who's Afraid of Sibylle Berg,1,
0,,Angwish,0,
0,,Jewly - Official fanpage,1,
0,,1066 Festival,1,
0,,GROOVES DO BRASIL,1,
0,,Musiques de Film,1,
0,fado,Ana Laíns,0,
0,,Stuck In A Groove,1,
1,,2b2,0,
0,fado,Lura,0,
1,,Hubris.,0,
1,,Jan Liefhebber,0,
0,,Umbre 1x08,1,
0,,Wer hat Angst vor Sibylle Berg,1,
0,,Les Oiseaux De Passage,0,
0,nu age,Birds Of Passage,0,
1,,Pat,0,
0,,Kombticket Freitag 02.+ Samstag 03.10.2015,1,
0,,Tagesticket Freitag 02.10.2015,1,
0,,Tiguidou,1,
1,,Hank Davison,0,
0,,Soundjumble,1,
0,,"Evelinn Trouble ""Arrowhead""",1,
0,,Supermafia Vj's,1,
0,,V.O. PLK,1,
0,chicago house,Sweet D,0,
1,,Spotlight,0,
0,,Strax Bravura,1,
0,,"DJs Nobodys Face & Dead Rabbit (D), Sweap, Pfund500, Ob One",1,
0,,"DJs Ecko, Roc One, Veron",1,
0,,"Vincent Glanzmann, Vincent Glanzmann (dr), Corina Schranz (voc), Franziska Brücker (voc), Gerry Hemingway (dr), curated by Omri Ziegele",1,
0,,"Lilabungalow, New Polarities",1,
0,,"DJs Jesaya, Jermaine, Sven May",1,
1,,M. Soul,0,
0,deep euro house,Stavroz,0,
0,,Emre Ece,1,
0,,"Altöl, Plan-B",1,
0,,New Polarities,0,
0,,Tattoo on Stage,1,
0,,Pablo Mateo,0,
1,,Witches,0,
0,,DJ Q-No,1,
0,,Grupo Arkadia,1,
0,hauntology,Dalhous,0,
0,,Break Down A Venue,0,
