artist_name,artist_url,event_venue.latitude,event_venue.city,event_datetime,event_venue.region,event_venue.id,event_venue.url,event_id,event_venue.name,event_venue.longitude,event_url
The Casting Out,http://www.bandsintown.com/TheCastingOut,46.189923,Carouge,2008-10-01T19:00:00,Switzerland,327173,http://www.bandsintown.com/venue/327173,777923,Tiki's Pub,6.134431,http://www.bandsintown.com/event/777923?app_id=epfl
Steady Rollin' Bob Margolin,http://www.bandsintown.com/SteadyRollin%27BobMargolin,46.96103,Berne,2008-10-01T19:00:00,BE,306299,http://www.bandsintown.com/venue/306299,777913,Marians JazzRoom,7.43941,http://www.bandsintown.com/event/777913?app_id=epfl
Rain,http://www.bandsintown.com/Rain,47.41068,Zurich,2008-10-01T19:00:00,ZH,327178,http://www.bandsintown.com/venue/327178,777933,Theater 11,8.54969,http://www.bandsintown.com/event/777933?app_id=epfl
Loikaemie,http://www.bandsintown.com/Loikaemie,47.3833038,Zürich,2008-10-01T19:00:00,,46886,http://www.bandsintown.com/venue/46886,695773,Dynamo Werk 21,8.5393044,http://www.bandsintown.com/event/695773?app_id=epfl
Steady Rollin' Bob Margolin,http://www.bandsintown.com/SteadyRollin%27BobMargolin,46.96103,Berne,2008-10-02T19:00:00,BE,306299,http://www.bandsintown.com/venue/306299,777914,Marians JazzRoom,7.43941,http://www.bandsintown.com/event/777914?app_id=epfl
Rain,http://www.bandsintown.com/Rain,47.41068,Zurich,2008-10-02T19:00:00,ZH,327178,http://www.bandsintown.com/venue/327178,777934,Theater 11,8.54969,http://www.bandsintown.com/event/777934?app_id=epfl
Booka Shade,http://www.bandsintown.com/BookaShade,46.518799,Lausanne,2008-10-03T20:00:00,Switzerland,330439,http://www.bandsintown.com/venue/330439,789728,D!club,6.63232,http://www.bandsintown.com/event/789728?app_id=epfl
The Legendary JC's,http://www.bandsintown.com/TheLegendaryJc%27s,46.96103,Berne,2008-10-03T19:00:00,BE,306299,http://www.bandsintown.com/venue/306299,777915,Marians JazzRoom,7.43941,http://www.bandsintown.com/event/777915?app_id=epfl
Steady Rollin' Bob Margolin,http://www.bandsintown.com/SteadyRollin%27BobMargolin,46.96103,Berne,2008-10-03T19:00:00,BE,306299,http://www.bandsintown.com/venue/306299,777915,Marians JazzRoom,7.43941,http://www.bandsintown.com/event/777915?app_id=epfl
Mr. Irish Bastard,http://www.bandsintown.com/Mr.IrishBastard,47.0833333,Luzern,2008-10-03T19:00:00,11,298982,http://www.bandsintown.com/venue/298982,750230,Sedel,8.2666667,http://www.bandsintown.com/event/750230?app_id=epfl
Rain,http://www.bandsintown.com/Rain,47.41068,Zurich,2008-10-03T19:00:00,ZH,327178,http://www.bandsintown.com/venue/327178,777935,Theater 11,8.54969,http://www.bandsintown.com/event/777935?app_id=epfl
Steady Rollin' Bob Margolin,http://www.bandsintown.com/SteadyRollin%27BobMargolin,46.96103,Berne,2008-10-04T19:00:00,BE,306299,http://www.bandsintown.com/venue/306299,777916,Marians JazzRoom,7.43941,http://www.bandsintown.com/event/777916?app_id=epfl
Digitalism,http://www.bandsintown.com/Digitalism,46.948021,Berne,2008-10-04T23:00:00,Switzerland,328846,http://www.bandsintown.com/venue/328846,786023,Kornhaus,7.44821,http://www.bandsintown.com/event/786023?app_id=epfl
Red Tape Parade,http://www.bandsintown.com/RedTapeParade,47.547538,Basel,2008-10-04T19:00:00,Switzerland,293614,http://www.bandsintown.com/venue/293614,716680,Sommercasino,7.598329,http://www.bandsintown.com/event/716680?app_id=epfl
The Casting Out,http://www.bandsintown.com/TheCastingOut,47.547538,Basel,2008-10-04T19:00:00,Switzerland,293614,http://www.bandsintown.com/venue/293614,716680,Sommercasino,7.598329,http://www.bandsintown.com/event/716680?app_id=epfl
Necro,http://www.bandsintown.com/Necro,47.3833038,Zürich,2008-10-04T19:00:00,,46886,http://www.bandsintown.com/venue/46886,777936,Dynamo Werk 21,8.5393044,http://www.bandsintown.com/event/777936?app_id=epfl
NECRO THE SEXORCIST SPECIAL EDITION CD,http://www.bandsintown.com/NecroTheSexorcistSpecialEditionCd,47.3833038,Zürich,2008-10-04T19:00:00,,46886,http://www.bandsintown.com/venue/46886,777936,Dynamo Werk 21,8.5393044,http://www.bandsintown.com/event/777936?app_id=epfl
DVD SOON!!!,http://www.bandsintown.com/DvdSoon%21%21%21,47.3833038,Zürich,2008-10-04T19:00:00,,46886,http://www.bandsintown.com/venue/46886,777936,Dynamo Werk 21,8.5393044,http://www.bandsintown.com/event/777936?app_id=epfl
Rain,http://www.bandsintown.com/Rain,47.41068,Zurich,2008-10-04T19:00:00,ZH,327178,http://www.bandsintown.com/venue/327178,777937,Theater 11,8.54969,http://www.bandsintown.com/event/777937?app_id=epfl
GusGus,http://www.bandsintown.com/GusGus,47.3666667,Zurich,2008-10-04T23:00:00,25,338756,http://www.bandsintown.com/venue/338756,812599,Instrumental set,8.55,http://www.bandsintown.com/event/812599?app_id=epfl
M.O.T.O.,http://www.bandsintown.com/M.O.T.O.,47.426392,St Gallen,2008-10-04T20:00:00,Switzerland,332174,http://www.bandsintown.com/venue/332174,793369,Ruempeltum,9.37371,http://www.bandsintown.com/event/793369?app_id=epfl
CLARISSE LAVANANT,http://www.bandsintown.com/ClarisseLavanant,46.516109,La Croix-Sur-Lutry,2008-10-05T16:00:00,Switzerland,335633,http://www.bandsintown.com/venue/335633,806181,Chapelle St Maud,6.70255,http://www.bandsintown.com/event/806181?app_id=epfl
Pelican,http://www.bandsintown.com/Pelican,46.8615737,Düdingen,2008-10-05T20:00:00,Canton Of Fribourg,323397,http://www.bandsintown.com/venue/323397,793264,Bad Bonn,7.1801778,http://www.bandsintown.com/event/793264?app_id=epfl
The Dirty Dozen Brass Band,http://www.bandsintown.com/TheDirtyDozenBrassBand,46.9,Rubigen,2008-10-05T19:00:00,05,293619,http://www.bandsintown.com/venue/293619,750236,Muhle Hunziken,7.5333333,http://www.bandsintown.com/event/750236?app_id=epfl
Pat Travers,http://www.bandsintown.com/PatTravers,47.5166667,Pratteln,2008-10-05T19:00:00,01,43060,http://www.bandsintown.com/venue/43060,739255,Z7,7.6833333,http://www.bandsintown.com/event/739255?app_id=epfl
Disco Ensemble,http://www.bandsintown.com/DiscoEnsemble,47.0445786,Lucerne,2008-10-05T19:00:00,LU,86008,http://www.bandsintown.com/venue/86008,777927,Konzerthaus Schuur,8.3112497,http://www.bandsintown.com/event/777927?app_id=epfl
Lapko,http://www.bandsintown.com/Lapko,47.0445786,Lucerne,2008-10-05T19:00:00,LU,86008,http://www.bandsintown.com/venue/86008,777927,Konzerthaus Schuur,8.3112497,http://www.bandsintown.com/event/777927?app_id=epfl
Rain,http://www.bandsintown.com/Rain,47.41068,Zurich,2008-10-05T19:00:00,ZH,327178,http://www.bandsintown.com/venue/327178,777938,Theater 11,8.54969,http://www.bandsintown.com/event/777938?app_id=epfl
Christian Scott,http://www.bandsintown.com/ChristianScott,46.9166667,Bern,2008-10-07T19:00:00,05,306300,http://www.bandsintown.com/venue/306300,777917,Jazz Festival,7.4666667,http://www.bandsintown.com/event/777917?app_id=epfl
Backyard Babies,http://www.bandsintown.com/BackyardBabies,47.2333333,Solothurn,2008-10-07T19:00:00,18,280400,http://www.bandsintown.com/venue/280400,777929,Kofmehl Halle,7.5166667,http://www.bandsintown.com/event/777929?app_id=epfl
Look See Proof,http://www.bandsintown.com/LookSeeProof,47.3666667,Zurich,2008-10-07T19:00:00,25,199636,http://www.bandsintown.com/venue/199636,739267,Sommerbühne der Roten Fabrik,8.55,http://www.bandsintown.com/event/739267?app_id=epfl
KRISTY MAJORS of PRETTY BOY...,http://www.bandsintown.com/KristyMajorsOfPrettyBoy...,47.34951,Uster,2008-10-07T20:00:00,Switzerland,329819,http://www.bandsintown.com/venue/329819,788308,PRETTY BOY FLOYD,8.71519,http://www.bandsintown.com/event/788308?app_id=epfl
Pretty Boy Floyd,http://www.bandsintown.com/PrettyBoyFloyd,47.34951,Uster,2008-10-07T20:00:00,Switzerland,339728,http://www.bandsintown.com/venue/339728,814525,BRITNY FOX IN USTER SWITZERLAND,8.71519,http://www.bandsintown.com/event/814525?app_id=epfl
Christian Scott,http://www.bandsintown.com/ChristianScott,46.9166667,Bern,2008-10-08T19:00:00,05,306300,http://www.bandsintown.com/venue/306300,777918,Jazz Festival,7.4666667,http://www.bandsintown.com/event/777918?app_id=epfl
Turbostaat,http://www.bandsintown.com/Turbostaat,47.041878,Lucerne,2008-10-08T19:00:00,Switzerland,547729,http://www.bandsintown.com/venue/547729,695747,Bar 59,8.310729,http://www.bandsintown.com/event/695747?app_id=epfl
Backyard Babies,http://www.bandsintown.com/BackyardBabies,47.3666667,Zurich,2008-10-08T19:00:00,25,170006,http://www.bandsintown.com/venue/170006,777939,Rohrstofflager,8.55,http://www.bandsintown.com/event/777939?app_id=epfl
