artist_name,artist_url,event_venue.longitude,event_url,event_venue.region,event_datetime,event_venue.id,event_venue.url,event_venue.latitude,event_venue.name,event_id,event_venue.city
Iggy & The Stooges,http://www.bandsintown.com/IggyAndTheStooges,6.9666667,http://www.bandsintown.com/event/464537?app_id=epfl,12,2007-06-01T00:00:00,91939,http://www.bandsintown.com/venue/91939,47.0,Neuchatel Open Air Festival,464537,Neuchatel
Trouble,http://www.bandsintown.com/Trouble,7.6833333,http://www.bandsintown.com/event/464549?app_id=epfl,01,2007-06-01T00:00:00,43060,http://www.bandsintown.com/venue/43060,47.5166667,Z7,464549,Pratteln
Mötley Crüe,http://www.bandsintown.com/M%C3%B6tleyCr%C3%BCe,8.7484798,http://www.bandsintown.com/event/464571?app_id=epfl,25,2007-06-01T00:00:00,169998,http://www.bandsintown.com/venue/169998,47.4956551,Eishalle Duetwag,464571,Winterthur
Dolores O'Riordan,http://www.bandsintown.com/DoloresO%27riordan,8.536468,http://www.bandsintown.com/event/464587?app_id=epfl,Switzerland,2007-06-01T00:00:00,44952,http://www.bandsintown.com/venue/44952,47.371722,Kaufleuten,464587,Zurich
Type O Negative,http://www.bandsintown.com/TypeONegative,8.55,http://www.bandsintown.com/event/464588?app_id=epfl,25,2007-06-01T00:00:00,170007,http://www.bandsintown.com/venue/170007,47.3666667,Spirit Of Rock Festival,464588,Zurich
Delinquent Habits,http://www.bandsintown.com/DelinquentHabits,8.5166667,http://www.bandsintown.com/event/330438?app_id=epfl,24,2007-06-01T23:00:00,208458,http://www.bandsintown.com/venue/208458,47.1666667,Galvanik - Switzerland,330438,Zug
Balkan Beat Box,http://www.bandsintown.com/BalkanBeatBox,6.9380698,http://www.bandsintown.com/event/324743?app_id=epfl,NE,2007-06-02T21:00:00,22776,http://www.bandsintown.com/venue/22776,46.9931602,Festi'Neuch,324743,Neuchatel
Soldiers of Jah Army,http://www.bandsintown.com/SoldiersOfJahArmy,6.9380698,http://www.bandsintown.com/event/324743?app_id=epfl,NE,2007-06-02T21:00:00,22776,http://www.bandsintown.com/venue/22776,46.9931602,Festi'Neuch,324743,Neuchatel
Groombridge,http://www.bandsintown.com/Groombridge,7.50595,http://www.bandsintown.com/event/6875037?app_id=epfl,,2007-06-02T22:00:00,1907857,http://www.bandsintown.com/venue/1907857,47.0487404,Cevival ,6875037,Jegenstorf
Motörhead,http://www.bandsintown.com/Mot%C3%B6rhead,8.7484798,http://www.bandsintown.com/event/464572?app_id=epfl,25,2007-06-02T00:00:00,169998,http://www.bandsintown.com/venue/169998,47.4956551,Eishalle Duetwag,464572,Winterthur
Heaven & Hell,http://www.bandsintown.com/HeavenAndHell,8.55,http://www.bandsintown.com/event/464589?app_id=epfl,25,2007-06-02T00:00:00,170008,http://www.bandsintown.com/venue/170008,47.3666667,Eishalle Deutweg,464589,Zurich
Justin Timberlake,http://www.bandsintown.com/JustinTimberlake,8.552307,http://www.bandsintown.com/event/464590?app_id=epfl,25,2007-06-02T00:00:00,170002,http://www.bandsintown.com/venue/170002,47.410675,Hallenstadion,464590,Zurich
Wolfmother,http://www.bandsintown.com/Wolfmother,8.55,http://www.bandsintown.com/event/464591?app_id=epfl,25,2007-06-05T00:00:00,170006,http://www.bandsintown.com/venue/170006,47.3666667,Rohrstofflager,464591,Zurich
