artist_name,artist_url,event_venue.latitude,event_venue.city,event_datetime,event_venue.region,event_venue.id,event_venue.url,event_id,event_venue.name,event_venue.longitude,event_url
Voices of Africa,http://www.bandsintown.com/VoicesOfAfrica,46.536095,Renens,2017-12-01T20:00:00,Etr,2096651,http://www.bandsintown.com/venue/2096651,13442642,SALLE DE SPECTACLES,6.585664,http://www.bandsintown.com/event/13442642?app_id=epfl
JERSEY JULIE,http://www.bandsintown.com/JerseyJulie,46.9479739,Bern,2017-12-01T21:00:00,Canton Of Bern,3508275,http://www.bandsintown.com/venue/3508275,12818565,Mahogany Hall www.mahogany.com ,7.4474468,http://www.bandsintown.com/event/12818565?app_id=epfl
Patric Pleasure aka Lucky Jackson,http://www.bandsintown.com/PatricPleasureAkaLuckyJackson,47.3666667,Zurich,2017-12-01T19:00:00,25,2546993,http://www.bandsintown.com/venue/2546993,13287811,Corporate Event,8.55,http://www.bandsintown.com/event/13287811?app_id=epfl
Oliver Illi,http://www.bandsintown.com/OliverIlli,47.1666667,Zug,2017-12-03T00:00:00,24,3656759,http://www.bandsintown.com/venue/3656759,13617874,Andrea Bignasca @ SRF Virus 8x15,8.5166667,http://www.bandsintown.com/event/13617874?app_id=epfl
Threshold,http://www.bandsintown.com/Threshold,47.5166667,Pratteln,2017-12-03T19:00:00,01,43060,http://www.bandsintown.com/venue/43060,13537774,Z7,7.6833333,http://www.bandsintown.com/event/13537774?app_id=epfl
Dwight Robson,http://www.bandsintown.com/DwightRobson,46.78517,Yverdon-Les-Bains,2017-12-05T20:00:00,Etr,1936118,http://www.bandsintown.com/venue/1936118,13398425,La Marive,6.637809,http://www.bandsintown.com/event/13398425?app_id=epfl
Golden Voices Of Gospel,http://www.bandsintown.com/GoldenVoicesOfGospel,46.78517,Yverdon-Les-Bains,2017-12-05T20:00:00,Etr,1936118,http://www.bandsintown.com/venue/1936118,13398425,La Marive,6.637809,http://www.bandsintown.com/event/13398425?app_id=epfl
Gemma Ray,http://www.bandsintown.com/GemmaRay,46.95294,Berne,2017-12-05T19:00:00,BE,947105,http://www.bandsintown.com/venue/947105,13545059,Rössli,7.44034,http://www.bandsintown.com/event/13545059?app_id=epfl
Dwight Robson,http://www.bandsintown.com/DwightRobson,46.78517,Yverdon-Les-Bains,2017-12-06T20:00:00,Etr,1936118,http://www.bandsintown.com/venue/1936118,13506405,La Marive,6.637809,http://www.bandsintown.com/event/13506405?app_id=epfl
Golden Voices Of Gospel,http://www.bandsintown.com/GoldenVoicesOfGospel,46.78517,Yverdon-Les-Bains,2017-12-06T20:00:00,Etr,1936118,http://www.bandsintown.com/venue/1936118,13506405,La Marive,6.637809,http://www.bandsintown.com/event/13506405?app_id=epfl
