artist_name,artist_url,event_venue.longitude,event_url,event_venue.region,event_datetime,event_venue.id,event_venue.url,event_venue.latitude,event_venue.name,event_id,event_venue.city
Deep Purple,http://www.bandsintown.com/DeepPurple,6.1122833,http://www.bandsintown.com/event/464472?app_id=epfl,,2007-05-11T00:00:00,169958,http://www.bandsintown.com/venue/169958,46.233595,Arena,464472,Genève
The Young Gods,http://www.bandsintown.com/TheYoungGods,6.6666667,http://www.bandsintown.com/event/464488?app_id=epfl,23,2007-05-11T00:00:00,19267,http://www.bandsintown.com/venue/19267,46.5333333,Romandie,464488,Lausanne
Ahmad Jamal,http://www.bandsintown.com/AhmadJamal,7.4666667,http://www.bandsintown.com/event/464452?app_id=epfl,05,2007-05-11T00:00:00,169946,http://www.bandsintown.com/venue/169946,46.9166667,Marion's Jazzroom,464452,Bern
Ten Years After,http://www.bandsintown.com/TenYearsAfter,8.55,http://www.bandsintown.com/event/464582?app_id=epfl,25,2007-05-11T00:00:00,170004,http://www.bandsintown.com/venue/170004,47.3666667,Alter Kaseme,464582,Zurich
Pepper,http://www.bandsintown.com/Pepper,8.3112497,http://www.bandsintown.com/event/278869?app_id=epfl,LU,2007-05-11T08:00:00,86008,http://www.bandsintown.com/venue/86008,47.0445786,Konzerthaus Schuur,278869,Lucerne
Mad Caddies,http://www.bandsintown.com/MadCaddies,8.2666667,http://www.bandsintown.com/event/308959?app_id=epfl,11,2007-05-11T20:00:00,193690,http://www.bandsintown.com/venue/193690,47.0833333,Schr,308959,Luzern
Fort Knox Five,http://www.bandsintown.com/FortKnoxFive,8.05,http://www.bandsintown.com/event/351225?app_id=epfl,01,2007-05-11T23:00:00,113880,http://www.bandsintown.com/venue/113880,47.3833333,Boiler Club with Fort Knox Five,351225,Aarau
Ahmad Jamal,http://www.bandsintown.com/AhmadJamal,7.4666667,http://www.bandsintown.com/event/464453?app_id=epfl,05,2007-05-12T00:00:00,169946,http://www.bandsintown.com/venue/169946,46.9166667,Marion's Jazzroom,464453,Bern
jake.childs,http://www.bandsintown.com/jake.childs,7.52981,http://www.bandsintown.com/event/405977?app_id=epfl,Canton Of Valais,2007-05-12T01:00:00,71838,http://www.bandsintown.com/venue/71838,46.297825,Hacienda,405977,Muraz
Groombridge,http://www.bandsintown.com/Groombridge,7.1098399,http://www.bandsintown.com/event/6875033?app_id=epfl,,2007-05-12T21:00:00,1907855,http://www.bandsintown.com/venue/1907855,47.0353088,Club172 ,6875033,Vinelz
