club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Baselstrasse 61; 6000, Luzern; Schweiz",9654, S*bar Sounderground,/club.aspx?id=9654,"Thu, 12 Nov 2009",/event.aspx?60183,Ramin
"Baselstrasse 61; 6000, Luzern; Schweiz",9654, S*bar Sounderground,/club.aspx?id=9654,"Fri, 7 Mar 2008",/event.aspx?46268,DJ UNI-T
