artist_name,artist_url,event_venue.latitude,event_venue.city,event_datetime,event_venue.region,event_venue.id,event_venue.url,event_id,event_venue.name,event_venue.longitude,event_url
Black Lips,http://www.bandsintown.com/BlackLips,46.472145,Vevey,2011-06-01T19:00:00,Etr,306332,http://www.bandsintown.com/venue/306332,4168618,ROCKING CHAIR,6.851925,http://www.bandsintown.com/event/4168618?app_id=epfl
Pete tha Zouk,http://www.bandsintown.com/PeteThaZouk,46.5218661,Lausanne,2011-06-01T19:00:00,23,813255,http://www.bandsintown.com/venue/813255,4352429,MAD CLUB,6.6271658,http://www.bandsintown.com/event/4352429?app_id=epfl
The Prestige,http://www.bandsintown.com/ThePrestige,46.4542633,France / Switzerland,2011-06-01T19:00:00,France / S,1036597,http://www.bandsintown.com/venue/1036597,4173049,Euro Tour,6.115265,http://www.bandsintown.com/event/4173049?app_id=epfl
We Have Band,http://www.bandsintown.com/WeHaveBand,46.9929793,NeuchâTel,2011-06-01T20:00:00,,1082070,http://www.bandsintown.com/venue/1082070,4312252,choc,6.9319325,http://www.bandsintown.com/event/4312252?app_id=epfl
Capitaine Quichotte,http://www.bandsintown.com/CapitaineQuichotte,46.808383,Fribourg,2011-06-01T21:00:00,Switzerland,1099227,http://www.bandsintown.com/venue/1099227,4378254,Belluard,7.156168,http://www.bandsintown.com/event/4378254?app_id=epfl
DJ REAS,http://www.bandsintown.com/DjReas,46.2057645,Genf,2011-06-01T23:00:00,Genf,1075205,http://www.bandsintown.com/venue/1075205,4374883,Silencio,6.141593,http://www.bandsintown.com/event/4374883?app_id=epfl
Eugénie Rebetez,http://www.bandsintown.com/Eug%C3%A9nieRebetez,47.302299,Roches,2011-06-01T20:00:00,Switzerland,841143,http://www.bandsintown.com/venue/841143,4378250,Halle,7.37737,http://www.bandsintown.com/event/4378250?app_id=epfl
Community Arts Festival,http://www.bandsintown.com/CommunityArtsFestival,46.9407562,Bern,2011-06-01T20:00:00,,908452,http://www.bandsintown.com/venue/908452,4378251,Dampfzentrale Turbinensaal,7.4442012,http://www.bandsintown.com/event/4378251?app_id=epfl
DJ Evento,http://www.bandsintown.com/DjEvento,46.9166667,Bern,2011-06-01T21:00:00,05,1060395,http://www.bandsintown.com/venue/1060395,4292848,Wankdorf Club,7.4666667,http://www.bandsintown.com/event/4292848?app_id=epfl
DJ TECNIC (OFFICIAL FANPAGE),http://www.bandsintown.com/DjTecnic%28officialFanpage%29,46.9166667,Bern,2011-06-01T21:00:00,05,1060395,http://www.bandsintown.com/venue/1060395,4292848,Wankdorf Club,7.4666667,http://www.bandsintown.com/event/4292848?app_id=epfl
Max Robbers,http://www.bandsintown.com/MaxRobbers,46.9479222,Berne,2011-06-01T22:00:00,,1043614,http://www.bandsintown.com/venue/1043614,4322455,Liquid Club,7.4446085,http://www.bandsintown.com/event/4322455?app_id=epfl
DJ Fabiano,http://www.bandsintown.com/DjFabiano,46.9636191,Bern,2011-06-01T22:00:00,,1089636,http://www.bandsintown.com/venue/1089636,4331744,Wankdorf,7.4656201,http://www.bandsintown.com/event/4331744?app_id=epfl
Bravo Hits Party,http://www.bandsintown.com/BravoHitsParty,46.956265,Berne,2011-06-01T23:00:00,,289084,http://www.bandsintown.com/venue/289084,4378258,Bierhubeli,7.437954,http://www.bandsintown.com/event/4378258?app_id=epfl
[ 210 MHz ],http://www.bandsintown.com/%5B210Mhz%5D,47.3666667,Zurich,2011-06-01T12:00:00,25,1054634,http://www.bandsintown.com/venue/1054634,4235094,LabelParty,8.55,http://www.bandsintown.com/event/4235094?app_id=epfl
The sonic boomerang,http://www.bandsintown.com/TheSonicBoomerang,47.451221,Canton Of Basel-Country,2011-06-01T12:00:00,Switzerland,1107065,http://www.bandsintown.com/venue/1107065,4376457,bla,7.82273,http://www.bandsintown.com/event/4376457?app_id=epfl
Springtime Festival,http://www.bandsintown.com/SpringtimeFestival,47.5494194,Frauenfeld,2011-06-01T18:30:00,TG,844709,http://www.bandsintown.com/venue/844709,4378247,Festhalle Rüegerholz,8.89995,http://www.bandsintown.com/event/4378247?app_id=epfl
Chris Tomlin,http://www.bandsintown.com/ChrisTomlin,47.5494194,Frauenfeld,2011-06-01T18:30:00,TG,844709,http://www.bandsintown.com/venue/844709,4378247,Festhalle Rüegerholz,8.89995,http://www.bandsintown.com/event/4378247?app_id=epfl
weiteren Acts,http://www.bandsintown.com/WeiterenActs,47.5494194,Frauenfeld,2011-06-01T18:30:00,TG,844709,http://www.bandsintown.com/venue/844709,4378247,Festhalle Rüegerholz,8.89995,http://www.bandsintown.com/event/4378247?app_id=epfl
The Wave Pictures,http://www.bandsintown.com/TheWavePictures,47.3882217,Zurich,2011-06-01T19:00:00,ZH,697731,http://www.bandsintown.com/venue/697731,4298245,Exil,8.5194702,http://www.bandsintown.com/event/4298245?app_id=epfl
Prince Rama,http://www.bandsintown.com/PrinceRama,47.514647,Lausanne,2011-06-01T19:00:00,01,351795,http://www.bandsintown.com/venue/351795,4214825,Le Bourg,8.232066,http://www.bandsintown.com/event/4214825?app_id=epfl
Maissouille,http://www.bandsintown.com/Maissouille,46.818188,Suisse,2011-06-01T19:00:00,Suisse,1044051,http://www.bandsintown.com/venue/1044051,4200773,Suisse,8.227512,http://www.bandsintown.com/event/4200773?app_id=epfl
tobyMac,http://www.bandsintown.com/tobyMac,47.55,Frauenfeld,2011-06-01T19:00:00,19,1004025,http://www.bandsintown.com/venue/1004025,4033912,Festhalle Rueggerholz,8.9,http://www.bandsintown.com/event/4033912?app_id=epfl
