artist_name,artist_url,event_venue.latitude,event_venue.city,event_datetime,event_venue.region,event_venue.id,event_venue.url,event_id,event_venue.name,event_venue.longitude,event_url
Phil Collins,http://www.bandsintown.com/PhilCollins,46.4333333,Montreux,2010-07-01T19:00:00,23,169978,http://www.bandsintown.com/venue/169978,3560114,Stravinski Auditorium,6.9166667,http://www.bandsintown.com/event/3560114?app_id=epfl
DevilDriver,http://www.bandsintown.com/DevilDriver,46.522385,Lausanne,2010-07-01T19:00:00,Switzerland,289098,http://www.bandsintown.com/venue/289098,3453120,Le Docks,6.61819,http://www.bandsintown.com/event/3453120?app_id=epfl
Malefice,http://www.bandsintown.com/Malefice,46.522385,Lausanne,2010-07-01T19:00:00,Switzerland,289098,http://www.bandsintown.com/venue/289098,3453120,Le Docks,6.61819,http://www.bandsintown.com/event/3453120?app_id=epfl
Requiem,http://www.bandsintown.com/Requiem,46.522385,Lausanne,2010-07-01T19:00:00,Switzerland,289098,http://www.bandsintown.com/venue/289098,3453120,Le Docks,6.61819,http://www.bandsintown.com/event/3453120?app_id=epfl
Le Singe Blanc,http://www.bandsintown.com/LeSingeBlanc,46.45,Vevey,2010-07-01T20:00:00,23,881023,http://www.bandsintown.com/venue/881023,3730224,Th̢̩tre de Vevey,6.85,http://www.bandsintown.com/event/3730224?app_id=epfl
"""Montreux Jazz Festival""",http://www.bandsintown.com/%22montreuxJazzFestival%22,46.439312,Montreux,2010-07-01T20:00:00,Etr,343180,http://www.bandsintown.com/venue/343180,3584761,Auditorium Stravinski,6.904712,http://www.bandsintown.com/event/3584761?app_id=epfl
Phil Collins plays 60' Motown,http://www.bandsintown.com/PhilCollinsPlays60%27Motown,46.439312,Montreux,2010-07-01T20:00:00,Etr,343180,http://www.bandsintown.com/venue/343180,3584761,Auditorium Stravinski,6.904712,http://www.bandsintown.com/event/3584761?app_id=epfl
Soul,http://www.bandsintown.com/Soul,46.439312,Montreux,2010-07-01T20:00:00,Etr,343180,http://www.bandsintown.com/venue/343180,3584761,Auditorium Stravinski,6.904712,http://www.bandsintown.com/event/3584761?app_id=epfl
Naif,http://www.bandsintown.com/Naif,46.208351,Geneva,2010-07-01T22:00:00,Switzerland,930184,http://www.bandsintown.com/venue/930184,3727550,ESPLANADE DE LA PRAILLE,6.1427,http://www.bandsintown.com/event/3727550?app_id=epfl
Die lange Nacht der elektronischen Musik,http://www.bandsintown.com/DieLangeNachtDerElektronischenMusik,46.9407562,Bern,2010-07-01T21:00:00,,841044,http://www.bandsintown.com/venue/841044,3703972,Dampfzentrale Kesselhaus,7.4442012,http://www.bandsintown.com/event/3703972?app_id=epfl
Henrik Belden,http://www.bandsintown.com/HenrikBelden,47.3772316,Zurich,2010-07-01T20:00:00,ZH,338600,http://www.bandsintown.com/venue/338600,3618960,La Catrina,8.5275402,http://www.bandsintown.com/event/3618960?app_id=epfl
Egotronic,http://www.bandsintown.com/Egotronic,47.3666667,Zurich,2010-07-01T21:00:00,25,297164,http://www.bandsintown.com/venue/297164,3689191,Hive,8.55,http://www.bandsintown.com/event/3689191?app_id=epfl
Khainz,http://www.bandsintown.com/Khainz,46.617241,Canton Of Graubunden,2010-07-01T20:00:00,Switzerland,893746,http://www.bandsintown.com/venue/893746,3607651,Engadin Spirit,9.57142,http://www.bandsintown.com/event/3607651?app_id=epfl
Incognito,http://www.bandsintown.com/Incognito,46.01305,Massagno,2010-07-01T20:00:00,Switzerland,916619,http://www.bandsintown.com/venue/916619,3470270,Estival Jazz Lugano,8.945135,http://www.bandsintown.com/event/3470270?app_id=epfl
Roxy Music,http://www.bandsintown.com/RoxyMusic,46.439312,Montreux,2010-07-02T19:00:00,Etr,343180,http://www.bandsintown.com/venue/343180,3562129,Auditorium Stravinski,6.904712,http://www.bandsintown.com/event/3562129?app_id=epfl
Auf der Maur,http://www.bandsintown.com/AufDerMaur,46.439312,Montreux,2010-07-02T19:00:00,Etr,343180,http://www.bandsintown.com/venue/343180,3562129,Auditorium Stravinski,6.904712,http://www.bandsintown.com/event/3562129?app_id=epfl
