artist_name,artist_url,event_venue.latitude,event_venue.city,event_datetime,event_venue.region,event_venue.id,event_venue.url,event_id,event_venue.name,event_venue.longitude,event_url
The Montreal Royals,http://www.bandsintown.com/TheMontrealRoyals,46.2,Geneva,2016-11-01T19:00:00,07,3558744,http://www.bandsintown.com/venue/3558744,13065233,Benny's,6.1666667,http://www.bandsintown.com/event/13065233?app_id=epfl
Concert de soirée n°2,http://www.bandsintown.com/ConcertDeSoir%C3%A9eN%C2%B02,46.204113,Geneve,2016-11-01T20:00:00,Etr,1991173,http://www.bandsintown.com/venue/1991173,13219505,Bâtiment des Forces Motrices,6.136473,http://www.bandsintown.com/event/13219505?app_id=epfl
This Gift is A Curse,http://www.bandsintown.com/ThisGiftIsACurse,46.204,Geneva,2016-11-01T20:00:00,GE,2701685,http://www.bandsintown.com/venue/2701685,13191112,Kalvingrad Usine,6.13628,http://www.bandsintown.com/event/13191112?app_id=epfl
Keep On Living,http://www.bandsintown.com/KeepOnLiving,46.204,Geneva,2016-11-01T20:00:00,GE,2701685,http://www.bandsintown.com/venue/2701685,13191112,Kalvingrad Usine,6.13628,http://www.bandsintown.com/event/13191112?app_id=epfl
Seasick Steve,http://www.bandsintown.com/SeasickSteve,46.522243,Lausanne,2016-11-01T20:30:00,Etr,1183013,http://www.bandsintown.com/venue/1183013,12741833,Les Docks,6.618463,http://www.bandsintown.com/event/12741833?app_id=epfl
Steve Seasick,http://www.bandsintown.com/SteveSeasick,46.522243,Lausanne,2016-11-01T20:30:00,Etr,1183013,http://www.bandsintown.com/venue/1183013,12741833,Les Docks,6.618463,http://www.bandsintown.com/event/12741833?app_id=epfl
The Black Box Revelation,http://www.bandsintown.com/TheBlackBoxRevelation,46.522243,Lausanne,2016-11-01T20:30:00,Etr,1183013,http://www.bandsintown.com/venue/1183013,12741833,Les Docks,6.618463,http://www.bandsintown.com/event/12741833?app_id=epfl
Matteo,http://www.bandsintown.com/Matteo,46.9166667,Bern,2016-11-01T00:00:00,05,3434101,http://www.bandsintown.com/venue/3434101,12441039,Fabrik Bistro,7.4666667,http://www.bandsintown.com/event/12441039?app_id=epfl
Frank Vignola,http://www.bandsintown.com/FrankVignola,46.9166667,Bern,2016-11-01T19:00:00,05,3455779,http://www.bandsintown.com/venue/3455779,12557110,"Marians Jazz Room - w/ Jon Erik Kellso, Vinny and Gary",7.4666667,http://www.bandsintown.com/event/12557110?app_id=epfl
Vinny Raniolo,http://www.bandsintown.com/VinnyRaniolo,46.96103,Berne,2016-11-01T19:00:00,BE,1329492,http://www.bandsintown.com/venue/1329492,12616536,Marian's Jazz Club,7.43941,http://www.bandsintown.com/event/12616536?app_id=epfl
