artist_name,artist_url,event_venue.latitude,event_venue.city,event_datetime,event_venue.region,event_venue.id,event_venue.url,event_id,event_venue.name,event_venue.longitude,event_url
the Kruger Brothers,http://www.bandsintown.com/TheKrugerBrothers,46.94815,Berne,2009-04-01T19:00:00,BE,482888,http://www.bandsintown.com/venue/482888,1485432,Konservatorium,7.45031,http://www.bandsintown.com/event/1485432?app_id=epfl
shEver,http://www.bandsintown.com/shEver,47.494678,Winterthur,2009-04-01T19:00:00,Switzerland,45985,http://www.bandsintown.com/venue/45985,5571837,Gaswerk,8.70794,http://www.bandsintown.com/event/5571837?app_id=epfl
Biffy Clyro,http://www.bandsintown.com/BiffyClyro,47.3666667,Zurich,2009-04-01T20:00:00,25,199636,http://www.bandsintown.com/venue/199636,1831833,Sommerbühne der Roten Fabrik,8.55,http://www.bandsintown.com/event/1831833?app_id=epfl
The Virgins,http://www.bandsintown.com/TheVirgins,46.522385,Lausanne,2009-04-02T20:00:00,Switzerland,289098,http://www.bandsintown.com/venue/289098,1478147,Le Docks,6.61819,http://www.bandsintown.com/event/1478147?app_id=epfl
Herman Düne,http://www.bandsintown.com/HermanD%C3%BCne,46.522385,Lausanne,2009-04-02T20:00:00,Switzerland,289098,http://www.bandsintown.com/venue/289098,1478147,Le Docks,6.61819,http://www.bandsintown.com/event/1478147?app_id=epfl
Adam Freeland,http://www.bandsintown.com/AdamFreeland,47.371722,Zurich,2009-04-02T20:00:00,Switzerland,44952,http://www.bandsintown.com/venue/44952,2004674,Kaufleuten,8.536468,http://www.bandsintown.com/event/2004674?app_id=epfl
Sleekstain,http://www.bandsintown.com/Sleekstain,46.23218,Meyrin,2009-04-03T19:00:00,07,776851,http://www.bandsintown.com/venue/776851,5720383,Undertown,6.0810452,http://www.bandsintown.com/event/5720383?app_id=epfl
Eric Sardinas,http://www.bandsintown.com/EricSardinas,47.32019,Aarburg,2009-04-03T19:00:00,Switzerland,293613,http://www.bandsintown.com/venue/293613,2205831,Moonwalker,7.899079,http://www.bandsintown.com/event/2205831?app_id=epfl
Hubert Sumlin,http://www.bandsintown.com/HubertSumlin,47.5666667,Basel,2009-04-03T19:00:00,04,297148,http://www.bandsintown.com/venue/297148,892117,Festival,7.6,http://www.bandsintown.com/event/892117?app_id=epfl
Steady Rollin' Bob Margolin,http://www.bandsintown.com/SteadyRollin%27BobMargolin,47.5666667,Basel,2009-04-03T19:00:00,04,297148,http://www.bandsintown.com/venue/297148,892117,Festival,7.6,http://www.bandsintown.com/event/892117?app_id=epfl
"Willie ""Big Eyes"" Smith",http://www.bandsintown.com/Willie%22bigEyes%22Smith,47.5666667,Basel,2009-04-03T19:00:00,04,297148,http://www.bandsintown.com/venue/297148,892117,Festival,7.6,http://www.bandsintown.com/event/892117?app_id=epfl
Bob Stroger,http://www.bandsintown.com/BobStroger,47.5666667,Basel,2009-04-03T19:00:00,04,297148,http://www.bandsintown.com/venue/297148,892117,Festival,7.6,http://www.bandsintown.com/event/892117?app_id=epfl
"""Blues Festival Basel""",http://www.bandsintown.com/%22bluesFestivalBasel%22,47.5666667,Basel,2009-04-03T19:00:00,04,297148,http://www.bandsintown.com/venue/297148,892117,Festival,7.6,http://www.bandsintown.com/event/892117?app_id=epfl
zofka,http://www.bandsintown.com/zofka,47.268455,Bubikon,2009-04-03T20:00:00,Switzerland,458097,http://www.bandsintown.com/venue/458097,1542660,Rampe,8.81891,http://www.bandsintown.com/event/1542660?app_id=epfl
Elzhi,http://www.bandsintown.com/Elzhi,47.3666667,Zurich,2009-04-03T20:00:00,25,199636,http://www.bandsintown.com/venue/199636,1940615,Sommerbühne der Roten Fabrik,8.55,http://www.bandsintown.com/event/1940615?app_id=epfl
Jamie Scott,http://www.bandsintown.com/JamieScott,47.3725319,Zurich,2009-04-03T22:00:00,ZH,336046,http://www.bandsintown.com/venue/336046,1276218,ewz-Unterwerk Selnau,8.5322199,http://www.bandsintown.com/event/1276218?app_id=epfl
Tweek,http://www.bandsintown.com/Tweek,47.113022,La Chaux-De-Fonds,2009-04-04T19:00:00,12,786657,http://www.bandsintown.com/venue/786657,8904557,Bikini Test,6.8457,http://www.bandsintown.com/event/8904557?app_id=epfl
Insane Betty,http://www.bandsintown.com/InsaneBetty,47.1833333,Lengnau,2009-04-04T20:00:00,05,563946,http://www.bandsintown.com/venue/563946,2072264,Tennis Center,7.3666667,http://www.bandsintown.com/event/2072264?app_id=epfl
Snowpenair,http://www.bandsintown.com/Snowpenair,46.585602,Kleine Scheidegg,2009-04-04T10:45:00,Switzerland,559792,http://www.bandsintown.com/venue/559792,2050859,Gelande,7.96191,http://www.bandsintown.com/event/2050859?app_id=epfl
Snowpenair 2009,http://www.bandsintown.com/Snowpenair2009,46.5858,Lauterbrunnen,2009-04-04T10:45:00,BE,488136,http://www.bandsintown.com/venue/488136,1498559,Kleine Scheidegg,7.96032,http://www.bandsintown.com/event/1498559?app_id=epfl
Hubert Sumlin,http://www.bandsintown.com/HubertSumlin,47.5666667,Basel,2009-04-04T19:00:00,04,297148,http://www.bandsintown.com/venue/297148,892118,Festival,7.6,http://www.bandsintown.com/event/892118?app_id=epfl
Steady Rollin' Bob Margolin,http://www.bandsintown.com/SteadyRollin%27BobMargolin,47.5666667,Basel,2009-04-04T19:00:00,04,297148,http://www.bandsintown.com/venue/297148,892118,Festival,7.6,http://www.bandsintown.com/event/892118?app_id=epfl
"Willie ""Big Eyes"" Smith",http://www.bandsintown.com/Willie%22bigEyes%22Smith,47.5666667,Basel,2009-04-04T19:00:00,04,297148,http://www.bandsintown.com/venue/297148,892118,Festival,7.6,http://www.bandsintown.com/event/892118?app_id=epfl
Bob Stroger,http://www.bandsintown.com/BobStroger,47.5666667,Basel,2009-04-04T19:00:00,04,297148,http://www.bandsintown.com/venue/297148,892118,Festival,7.6,http://www.bandsintown.com/event/892118?app_id=epfl
"""Blues Festival Basel""",http://www.bandsintown.com/%22bluesFestivalBasel%22,47.5666667,Basel,2009-04-04T19:00:00,04,297148,http://www.bandsintown.com/venue/297148,892118,Festival,7.6,http://www.bandsintown.com/event/892118?app_id=epfl
Rough Trade Records,http://www.bandsintown.com/RoughTradeRecords,47.3666667,Zurich,2009-04-04T20:00:00,25,444960,http://www.bandsintown.com/venue/444960,1325647,ANTONY AND THE JOHNSONS,8.55,http://www.bandsintown.com/event/1325647?app_id=epfl
Stephan Bodzin,http://www.bandsintown.com/StephanBodzin,47.412958,Zürich,2009-04-04T20:00:00,,41955,http://www.bandsintown.com/venue/41955,922036,OXA,8.558865,http://www.bandsintown.com/event/922036?app_id=epfl
Frantic,http://www.bandsintown.com/Frantic,47.4166667,Kirchberg,2009-04-04T20:00:00,02,289097,http://www.bandsintown.com/venue/289097,1621469,Eintracht,9.0333333,http://www.bandsintown.com/event/1621469?app_id=epfl
Antony and the Johnsons,http://www.bandsintown.com/AntonyAndTheJohnsons,47.3658804,Zürich,2009-04-04T20:00:00,25,170009,http://www.bandsintown.com/venue/170009,1321443,Kongresshaus,8.5381783,http://www.bandsintown.com/event/1321443?app_id=epfl
The Johnsons,http://www.bandsintown.com/TheJohnsons,47.3658804,Zürich,2009-04-04T20:00:00,25,170009,http://www.bandsintown.com/venue/170009,1321443,Kongresshaus,8.5381783,http://www.bandsintown.com/event/1321443?app_id=epfl
Antony,http://www.bandsintown.com/Antony,47.3658804,Zürich,2009-04-04T20:00:00,25,170009,http://www.bandsintown.com/venue/170009,1321443,Kongresshaus,8.5381783,http://www.bandsintown.com/event/1321443?app_id=epfl
Painhead,http://www.bandsintown.com/Painhead,47.47794,Rorschach,2009-04-04T21:00:00,Switzerland,351804,http://www.bandsintown.com/venue/351804,9916044,Mariaberg,9.4952,http://www.bandsintown.com/event/9916044?app_id=epfl
Meshell Ndegeocello,http://www.bandsintown.com/MeshellNdegeocello,46.9503361,Bern,2009-04-05T19:00:00,,337236,http://www.bandsintown.com/venue/337236,1451528,Turnhalle im PROGR,7.4429804,http://www.bandsintown.com/event/1451528?app_id=epfl
the Kruger Brothers,http://www.bandsintown.com/TheKrugerBrothers,47.366217,Zurich,2009-04-05T19:00:00,25,170014,http://www.bandsintown.com/venue/170014,1485433,Tonhalle,8.538193,http://www.bandsintown.com/event/1485433?app_id=epfl
Stinking Lizaveta,http://www.bandsintown.com/StinkingLizaveta,47.0833333,Lucerne,2009-04-05T19:00:00,11,496681,http://www.bandsintown.com/venue/496681,1557123,Blues Bar,8.2666667,http://www.bandsintown.com/event/1557123?app_id=epfl
"""Basel Jazz Festival""",http://www.bandsintown.com/%22baselJazzFestival%22,47.5666667,Basel,2009-04-05T19:00:00,04,459404,http://www.bandsintown.com/venue/459404,1379807,TBA,7.6,http://www.bandsintown.com/event/1379807?app_id=epfl
Joey DeFrancesco,http://www.bandsintown.com/JoeyDefrancesco,47.5666667,Basel,2009-04-05T19:00:00,04,459404,http://www.bandsintown.com/venue/459404,1379807,TBA,7.6,http://www.bandsintown.com/event/1379807?app_id=epfl
Meshell Ndegeocello,http://www.bandsintown.com/MeshellNdegeocello,47.3666667,Zurich,2009-04-06T19:00:00,25,10674,http://www.bandsintown.com/venue/10674,1250719,Moods,8.55,http://www.bandsintown.com/event/1250719?app_id=epfl
AC/DC,http://www.bandsintown.com/AC%252FDC,47.410675,Zurich,2009-04-06T20:00:00,25,170002,http://www.bandsintown.com/venue/170002,2196409,Hallenstadion,8.552307,http://www.bandsintown.com/event/2196409?app_id=epfl
Scream Silence,http://www.bandsintown.com/ScreamSilence,47.5166667,Pratteln,2009-04-07T20:00:00,01,43060,http://www.bandsintown.com/venue/43060,1543049,Z7,7.6833333,http://www.bandsintown.com/event/1543049?app_id=epfl
Gwen Stacy,http://www.bandsintown.com/GwenStacy,47.0445786,Lucerne,2009-04-07T20:00:00,LU,86008,http://www.bandsintown.com/venue/86008,1832088,Konzerthaus Schuur,8.3112497,http://www.bandsintown.com/event/1832088?app_id=epfl
Samael,http://www.bandsintown.com/Samael,46.833961,RäSch,2009-04-08T20:00:00,Switzerland,555676,http://www.bandsintown.com/venue/555676,2006992,Abart,7.16102,http://www.bandsintown.com/event/2006992?app_id=epfl
B&eacute;nabar,http://www.bandsintown.com/BAndeacute%3Bnabar,46.2,Geneva,2009-04-08T20:00:00,07,343395,http://www.bandsintown.com/venue/343395,2013686,Arena Geneva,6.1666667,http://www.bandsintown.com/event/2013686?app_id=epfl
