Artist,Date,Genre,Venue,City
"DJs J. Kaliim, Miss Terious, ab 23 Jahren",2016-03-25,"Hip Hop, R'n'B",Dal Nastro, Zürich
"DJs D-Skillz, Dizzy",2016-03-25,"Hip Hop, R'n'B",Vior Club, Zürich
"Chrandesyx (B) / Kid Fox, Doppelkonzert",2016-03-25,Pop,Legends Bar, Luzern
Mannish Water,2016-03-25,"Hip Hop, R'n'B",Brügglibar, Thun
"DJ Little Maze, ab 40 Jahren",2016-03-25,"Rock, Indie, Punk, Heavy Metal, Gothic",Hangar 11, Winterthur
Nerve (USA),2016-03-25,"Jazz, Blues, Soul",Exil, Zürich
"Capriccio Barockorchester, Werke von Antonio Caldara, ""Stabat Mater"" und ""Missa Dolorosa"". Basler Münsterkantorei mit dem Capriccio Barockorchester und Solisten.",2016-03-25,Classic,Basler Münster, Basel
"Kammerensemble 76, Leitung: Slobodan Mirkovic",2016-03-25,Classic,Kloster Kappel, Kappel am Albis
"Sinfonieorchester Basel, Elena Bakanova (S), Heike Werner (A), Michael Gniffke (T), Manfred Blassmann (B), Leitung: Adrian Stern, Werke von Fontyn, Dvorak",2016-03-25,Classic,Stadtcasino, Basel
"Kammerphilharmonie Winterthur, Martin Bauder (V), Annette Birkenmeier (V), Mika Kamiya Tanner (Va), Emanuel Rütsche (Vc), Martina Hofmann (S), Dorothee Labusch (Mezzo-S), Werke von Tschaikowsky, Rossini",2016-03-25,Classic,Ref. Kirche Sitzberg, Schmidrüti
"DJs Jugglerz (D), Blood a Run, dance animation by DHQ Tamica, Nunu Flash It, Wine'N'Shine, Dash out Dancers",2016-03-25,"Hip Hop, R'n'B",Kanzlei, Zürich
"DJs Vincz Lee, Shade, Warren",2016-03-25,"Hip Hop, R'n'B",Grand Casino Luzern, Luzern
DJ Ecko,2016-03-25,"Hip Hop, R'n'B",Grand Casino Luzern, Luzern
"DJs Marcelle (NL), New Com",2016-03-25,"Hip Hop, R'n'B",Kraftfeld, Winterthur
"DJs A. S. One, O-Kay",2016-03-25,"Hip Hop, R'n'B",Jade Club, Zürich
"DJs K-Rim, Tenzking & Urban Hands, ab 21 Jahren, visuals by Motionlab, hosted by MC D Law",2016-03-24,"Hip Hop, R'n'B",Mascotte, Zürich
"DJs Skoob, Stroke",2016-03-24,"Hip Hop, R'n'B",Propeller-Bar, Bern
Ab 16 Jahren,2016-03-24,"Hip Hop, R'n'B",Kulturfabrik Kofmehl, Solothurn
"Jet Turino, anschl. VerRockt mit DJ Rockoholic",2016-03-24,"Rock, Indie, Punk, Heavy Metal, Gothic",The Bruch Brothers, Luzern
DJ Theo,2016-03-24,"Ragga, Reggae, African Music, Dancehall",Car Bar Max, Luzern
"Tim & Puma Mimi, Kid Schurke",2016-03-24,Pop,Palace, Sankt Gallen
DJ Solace,2016-03-24,"Hip Hop, R'n'B",Lady Hamilton's, Zürich
Aufbau West,2016-03-24,"Rock, Indie, Punk, Heavy Metal, Gothic",Mokka, Thun
"Brutal Youth (CAN), Support: Nofnog, ab 16 Jahren",2016-03-24,"Rock, Indie, Punk, Heavy Metal, Gothic",Kulturfabrik Kofmehl, Solothurn
"DJs René, La Tanja",2016-03-24,"Ragga, Reggae, African Music, Dancehall",Lokremise,
Eventuell,2016-03-24,Classic,Unternehmen Mitte, Basel
"DJ Babalou, ab 23 Jahren, dance animation by Partydancers",2016-03-24,"Rock, Indie, Punk, Heavy Metal, Gothic",BlueBox, Niederurnen
"Reformierter Kirchenchor Höngg, Kammerorchester Aceras, Robert Schmid (Org), Leitung: Peter Aregger, Werke von Rheinberger, Händel",2016-03-24,Classic,Ref. Kirche Höngg, Zürich
"HKB Jazzorchestra conducted by Bert Joris, auch um 19:45 und 21 Uhr",2016-03-24,"Jazz, Blues, Soul",Hotel Restaurant Innere Enge, Bern
"Hier spricht Paul, Andrea Nydegger (voc), Michael Baumann (key, voc), Bruno Hochstrasser (g), Andre Buser (b), Jonas Brügger (dr)",2016-03-24,Pop,Grand Casino Baden, Baden
DJ Marcism,2016-03-24,"Hip Hop, R'n'B",Neo, Zürich
DJ J. Kaliim,2016-03-24,"Hip Hop, R'n'B",Dal Nastro, Zürich
"DJs Mono, Soulsista",2016-03-24,"Hip Hop, R'n'B",Gonzo, Zürich
Heisskalt (D),2016-03-23,"Rock, Indie, Punk, Heavy Metal, Gothic",Kaserne, Basel
"Ringo Deathstarr (USA), Soviet Soviet (I)",2016-03-23,"Rock, Indie, Punk, Heavy Metal, Gothic",Bad Bonn, Düdingen
A Place To Bury Strangers (USA),2016-03-23,"Rock, Indie, Punk, Heavy Metal, Gothic",Bogen F, Zürich
"Quatuor van Kuijk, Werke von Bach, Schubert, Smetana u. a.",2016-03-23,Classic,Kulturfabrik Kofmehl, Solothurn
"Dead Prez (USA), support: DJ Kermit",2016-03-23,"Hip Hop, R'n'B",Reitschule Dachstock, Bern
"Tobi Gmür & Hendricks the Hatmaker, Doppelkonzert",2016-03-23,Pop,Schüür, Luzern
"Kultur & Volk, Leitung: Ines Bauer, Werke von Giovanna Marini (UA), Moderation: Big Zis",2016-03-23,Classic,Photobastei, Zürich
DJ Theo,2016-03-23,"Ragga, Reggae, African Music, Dancehall",Madeleine, Luzern
"Funkybones, Trip Au Lard",2016-03-23,Pop,Madeleine, Luzern
Computerspiel-Soundtracks,2016-03-22,Classic,Theater 11, Zürich
Jess Glynne (GB),2016-03-22,"Hip Hop, R'n'B",Härterei Club, Zürich
DJ Elkaphone,2016-03-22,"Hip Hop, R'n'B",Relax Lounge,
Open Source Trio,2016-03-22,"Jazz, Blues, Soul",Ono - Das Kulturlokal, Bern
Happy Sound,2016-03-22,Pop,Bierhalle Wolf, Zürich
DJ Q-Drop,2016-03-22,"Hip Hop, R'n'B",Labor, Zürich
"Caprice, Aurum",2016-03-21,"Rock, Indie, Punk, Heavy Metal, Gothic",Gewerbehalle, Luzern
Black Earth Band,2016-03-21,Pop,Barrio 5, Zürich
"Emile Parisien & Vincent Peirani Duo, Emile Parisien (sax), Vincent Peirani (acc)",2016-03-21,"Jazz, Blues, Soul",Moods, Zürich
Mellowtone,2016-03-21,Electronic,Portier, Winterthur
DJ Karin Schneider,2016-03-21,"Ragga, Reggae, African Music, Dancehall",Kellertheater Winterthur, Winterthur
"Orchestre Musique des Lumieres, Daria Korotkova (Kl), Leitung: Facundo Agudin, Werke von Mozart",2016-03-21,Classic,Peterskirche, Basel
Josef Salvat (AUS),2016-03-21,Pop,Plaza Zürich, Zürich
Tears for Beers,2016-03-21,"Rock, Indie, Punk, Heavy Metal, Gothic",New Down Town Club,
The Australian Pink Floyd Show (AUS),2016-03-20,"Rock, Indie, Punk, Heavy Metal, Gothic",Arena Genève,
DJ Danzi,2016-03-20,"Ragga, Reggae, African Music, Dancehall",Bourbaki Kino/Bar/Bistro, Luzern
"Daniela Eaton (S), Urs Wittwer (Org), Werke von Fauré, Bach, Honegger u. a.",2016-03-20,Classic,Ref. Kirche, Rafz
"Trio Arsis, Flurina Sarott (V), Delaja Mösinger (Va), Cristina Janett (Vc), Werke von Dohnanyi, Kahn, Beethoven",2016-03-20,Classic,Ref. Kirche,
"Collegium Vocale, Collegium Musicum Grossmünster, Seraina Perrenoud (S), Andreas Pehl (A), Christoph Gindreaux (T), Yves Brühwiller (B), Andreas Jost (Org), Leitung: Kantor Daniel Schmid, Werke von Keiser",2016-03-20,Classic,Grossmünster, Zürich
"Ionut Daniel Stanciu (V), Filip Michal Saffray (Va), Joonas Pitkänen (Vc), Werke von Alfred Schnittke, Mieczysaw Weinberg, Beethoven",2016-03-20,Classic,Stadttheater Solothurn, Solothurn
"DJs Skoob, Link",2016-03-20,"Hip Hop, R'n'B",ISC Club, Bern
"DJs Le Wax, A-Damn",2016-03-20,"Hip Hop, R'n'B",Jade Club, Zürich
"DJs Twin, WR",2016-03-20,"Hip Hop, R'n'B",Adagio, Zürich
"DJs Okay, Blackem",2016-03-20,"Hip Hop, R'n'B",Neo, Zürich
"Crashtime, Frozen Angels",2016-03-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Hotel Storchen, Schönenwerd
"DJs Nasty Mike, X-Creator & Leejay, Miss Evy & Andy, Vuelta",2016-03-19,Electronic,Kulturfabrik KUFA, Lyss
Mimiks,2016-03-19,"Hip Hop, R'n'B",Nordportal, Baden
"Jazzgymnastik (D), anschl. Turnstunde mit DJ Sporthose",2016-03-19,"Jazz, Blues, Soul",Gewerbehalle, Luzern
Keltikon,2016-03-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Moshpit Music Club, Naters
Lower Pink,2016-03-19,Pop,Bistro Prima Luna, Bern
"Say Yes Dog (LUX/D), Mantocliff",2016-03-19,Pop,KiFF, Aarau
Just for Fun,2016-03-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Gasthaus zum Widder,
DJ Höllehond,2016-03-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Tschuppi's Wonderbar, Luzern
"Lords of the Underground (USA), Cali Agents (USA), ab 16 Jahren",2016-03-19,"Hip Hop, R'n'B",Palazzo, Chur
"The Monsters, Shady and the Vamp, TJ Spool",2016-03-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Musikzentrum Sedel, Luzern
DJ Sigi,2016-03-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Schlosshof Münchwilen TG, Münchwilen
"Chris Rivers (USA), Sean Strange feat. Salomé (USA), DJs Illegal (D), Julien Juellz, Rawdec, Rayman, ab 20 Jahren",2016-03-19,"Hip Hop, R'n'B",Dreiegg, Frauenfeld
"Ebony Bones (GB), Ghostpoet (GB), LCP (DJ-Set)",2016-03-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Dampfzentrale, Bern
Saul Williams (USA),2016-03-19,"Hip Hop, R'n'B",Kaserne, Basel
Musikschule Konservatorium Zürich,2016-03-19,Pop,Moods, Zürich
"Frauenchor der Reitschule Bern, Leitung: Anke Held",2016-03-19,Classic,Reitschule, Bern
"Redensart, King Contradiction, hosted by Hundredandone",2016-03-19,"Rock, Indie, Punk, Heavy Metal, Gothic",Treibhaus, Luzern
"Ikarus, Ramon Oliveras (dr), Stefanie Suhner (voc), Andreas Lareida (voc), Lucca Fries (key), Moritz Meyer (b)",2016-03-19,Pop,Obere Mühle, Dübendorf
"Sascha Schönhaus Express feat. Lisette Spinnler, Sascha Schönhaus (sax), Lisette Spinnler (voc), Hans-Peter Pfammatter (p), Bänz Oester (b), Norbert Pfammatter (dr)",2016-03-19,"Jazz, Blues, Soul",Obere Mühle, Dübendorf
Freda Goodlett & Band,2016-03-19,Pop,Kulturclub Maison Pierre, Burgdorf
"The Crazy Safes, Peter Salathe (g, voc), Ruedi Salathe (p, key, voc), Ruedi Rüegg (g), Jacques Mader (b), Konni Sandmeier (dr), Special Guest: Erich Salathe (fl)",2016-03-19,Pop,Häbse-Theater Basel, Basel
Leitung: Armin Caduff,2016-03-19,Classic,Waldheim, Risch
"Symphonieorchester und Chor des Bayerischen Rundfunks, Werke von Mendelssohn-Bartholdy, Beethoven, Rachmaninow, Chorkonzert 4",2016-03-19,Classic,KKL, Luzern
"Dynamic Dog, auch um 19:45 und 21 Uhr",2016-03-19,"Jazz, Blues, Soul",Hotel Restaurant Innere Enge, Bern
"DJs Classick, Garcia, hosted by Ladylicious",2016-03-19,"Hip Hop, R'n'B",Trischli Club,
DJ Flair,2016-03-19,"Hip Hop, R'n'B",Le Ciel, Bern
"DJs Platinum, Croma, MC D Law, ab 23 Jahren",2016-03-18,"Hip Hop, R'n'B",Dal Nastro, Zürich
"DJs Cochano, Kronix",2016-03-18,"Hip Hop, R'n'B",Vior Club, Zürich
"Pflegeleicht, Max Bailey",2016-03-18,"Hip Hop, R'n'B",Gewerbehalle, Luzern
Red n Jones,2016-03-18,"Hip Hop, R'n'B",Barrio 5, Zürich
Neoangin,2016-03-18,Pop,Bundeshaus zu Wiedikon, Zürich
"Bocc'Aperta, Priska Stampfli (Akk), Mona de la Rey (Sprecherin), Leitung: Renata Würsten",2016-03-18,Classic,KreuzKultur, Solothurn
Emanuel Reiter,2016-03-18,"Rock, Indie, Punk, Heavy Metal, Gothic",Devi's Pearl Bar, Zürich
Close Harmony Rockchor,2016-03-18,Pop,Druckerei Baden, Baden
The Three Wise Men feat. Frits Landesbergen & Edwin Corcilius,2016-03-18,"Jazz, Blues, Soul",JazzInn, Bülach
"Gilbert Paeffgen Trio, Gilbert Paeffgen (dr, hackbrett), Oli Kuster (p, harmonium), Urban Lienert (b)",2016-03-18,"Jazz, Blues, Soul",Esse Musicbar, Winterthur
"Hairdryer, Jet Turino, Hendricks the Hatmaker, Tres Roots, Dennerclan",2016-03-18,"Rock, Indie, Punk, Heavy Metal, Gothic",Musikzentrum Sedel, Luzern
"City Saints (SWE), Rude Pride (E), Charge 69 (F), Gonna Get Yours (F)",2016-03-18,"Rock, Indie, Punk, Heavy Metal, Gothic",Dynamo, Zürich
"Blaubart, Chris Wirth (cl, fl), Christian Strässle (vl, viola), Manuela Keller (p, org)",2016-03-18,"Jazz, Blues, Soul",Johanneskirche, Zürich
The Box & Janto's Holding,2016-03-18,"Jazz, Blues, Soul",Jenseits im Viadukt, Zürich
"Russisches Nationalorchester, Renaud Capuçon (V), Lionel Cottet (Vc), Leitung: Mikhail Pletnev, Werke von Saint-Saëns, Tschaikowski, Glasunow",2016-03-18,Classic,Tonhalle,
"Shemekia Copeland (USA), auch um 22 Uhr",2016-03-18,"Jazz, Blues, Soul",Marians Jazzroom, Bern
"Le Concert des Nations, La Capella Reial de Catalunya, Hanna Bayodi-Hirt (S), Marta Mathéu (S), Romina Basso (Mezzo-S), Cyril Auvity (T), Konstantin Wolff (B), Leitung: Jordi Savall, Chorkonzert 3",2016-03-18,Classic,KKL, Luzern
"Chor und Orchester des Bach Collegium Zürich, Monika Mauch (S), Ulrike Andersen (A), Jakob Pilgram (T), Dominik Wörner (B), Leitung: Bernhard Hunziker, Werke von Bach",2016-03-18,Classic,Stadtkirche, Aarau
"Zürcher Bach Chor, cantus firmus consort, Meike Leluschko (S), Nicole Pieper (A), Raphael Höhn (Evangelist), Lisandro Abadie (B), Falko Hönisch (B), Werke von Bach",2016-03-18,Classic,Kirche St. Peter, Zürich
"Teo Gheorghiu (Kl), Werke von Mozart, Rachmaninow, Balakirew, Konzertmeister:  Willi Zimmermann",2016-03-18,Classic,Tonhalle, Zürich
"Leviticus, Hilastherion, Opus Irae, Triuwint, AM:PM",2016-03-18,"Rock, Indie, Punk, Heavy Metal, Gothic",Stadthofsaal, Uster
Duel (USA),2016-03-17,"Rock, Indie, Punk, Heavy Metal, Gothic",Galvanik, Zug
Francesca Lago,2016-03-17,Pop,Café Kairo, Bern
Swatka City,2016-03-17,"Rock, Indie, Punk, Heavy Metal, Gothic",La Catrina, Zürich
DJ Mingo,2016-03-17,"Ragga, Reggae, African Music, Dancehall",Schüür, Luzern
Busquitos,2016-03-17,"Jazz, Blues, Soul",Langstars, Zürich
"Sugar & The Josephines, Marion Weik (voc), Steven Parry (key, voc), Benno Ernst (g, voc), Beni Schlapbach (tp, flh), Thomas Blättler (b)",2016-03-17,"Jazz, Blues, Soul",Prima Vista, Baden
"Membrez-Mantel, Vincent Membrez (p), Lukas Mantel (dr, perc)",2016-03-17,"Jazz, Blues, Soul",BeJazz Club (Vidmarhallen), Liebefeld
"The Kilborn Alley Blues Band (USA), Andrew Duncanson (voc, g), Josh Stimmel (g), Chris Breen (b), Ed O'Hara (dr, voc)",2016-03-17,"Jazz, Blues, Soul",8-Bar, Basel
Qu'Il Vive,2016-03-17,"Jazz, Blues, Soul",Le Singe,
"Troy Faid (GB), Etienne Merula & Etienne",2016-03-17,Pop,Altes Spital, Solothurn
Ira May & Band,2016-03-17,"Hip Hop, R'n'B",Stadtkeller, Luzern
Franco Flamingo,2016-03-17,Pop,Devi's Pearl Bar, Zürich
"Bliss, Medlz, Viva Voce",2016-03-17,Pop,Hafenanlage / Festplatz am See, Lachen
"Russisches Nationalorchester, Renaud Capuçon (V), Lionel Cottet (Vc), Leitung: Mikhail Pletnev, Werke von Saint-Saëns, Tschaikowski, Glasunow",2016-03-17,Classic,Victoria Hall,
Patent Ochsner,2016-03-17,Pop,Bierhübeli, Bern
"Corale Santa Cecilia, Corale Pro Ticino di San Gallo, Coro Tricolore Amriswil, zur Ausstellung Ricordi e stima",2016-03-17,Classic,Historisches und Völkerkundemuseum,
"Alexander Yakovlev (Kl), Werke von Liszt, Rachmaninow, Ravel",2016-03-17,Classic,Spielmann Pianos, Zürich
"Quatuor Danel, Pieter Wispelwey (Vc), Marc Danel (V), Gilles Millet (V), Vlad Bogdanas (Va), Yovan Markovitch (Vc), Werke von Bach, Bartholdy, Schubert",2016-03-17,Classic,Tonhalle,
DJ Marcism,2016-03-17,"Hip Hop, R'n'B",Neo, Zürich
"Duo Mauruschat-Rochat, Ines Mauruschat (p, voc), Cyprien Rochat (g)",2016-03-17,"Jazz, Blues, Soul",Märtkafi, Dübendorf
DJ J. Kaliim,2016-03-17,"Hip Hop, R'n'B",Dal Nastro, Zürich
"Kultur & Volk, Leitung: Ines Bauer, Werke von Giovanna Marini (UA), Moderation: Big Zis",2016-03-16,Classic,Photobastei, Zürich
Selber musizieren,2016-03-16,Pop,Kraftfeld, Winterthur
DJ Theo,2016-03-16,"Ragga, Reggae, African Music, Dancehall",Madeleine, Luzern
"Haubi Songs, Center Orion",2016-03-16,"Rock, Indie, Punk, Heavy Metal, Gothic",Madeleine, Luzern
"Oratorienchor Baselland, Leitung: Fritz Krämer, Werke von Gabriel Fauré, Franz Schubert, Joseph Haydn u. a.",2016-03-16,Classic,Gymnasium Münchenstein, Münchenstein
"Leitung: Douglas Bostock, Werke von Schubert, Dvoák",2016-03-16,Classic,Stadtsaal, Zofingen
"Vilija Poskute (Kl), Tomas Daukantas (Kl), Werke von Franck, Poulenc, Ravel, Bartok",2016-03-16,Classic,Stadtcasino, Basel
"Wild West (IRL), Full Moon Rodeo",2016-03-16,"Rock, Indie, Punk, Heavy Metal, Gothic",Schützenhaus Albisgütli, Zürich
"Musikkollegium Winterthur, Leitung: Christian Zacharias (Kl), Werke von Rameau, Mozart, Bizet",2016-03-16,Classic,Stadthaus, Winterthur
"Renaud Capuçon (V), Lionel Cottet (Vc), Leitung: Mikhail Pletnev, Werke von Saint-Saëns, Tschaikowski, Glasunow",2016-03-16,Classic,Kultur-Casino, Bern
Kommentierte Aufführung ausgewählter Werke aus allen Schaffensperioden des Basler Komponisten (1904-1986).,2016-03-16,Classic,Bibliothek der Uni Basel, Basel
KOS Crew,2016-03-16,"Hip Hop, R'n'B",Exil, Zürich
Scott Matthews (AUS),2016-03-15,"Rock, Indie, Punk, Heavy Metal, Gothic",Bad Bonn, Düdingen
"Reckless Love (FIN), support: Santa Cruz (FIN)",2016-03-15,"Rock, Indie, Punk, Heavy Metal, Gothic",Dynamo, Zürich
DJ Elkaphone,2016-03-15,"Hip Hop, R'n'B",Relax Lounge,
"Svosve-Jeger-Glanzmann, Tapiwa Svosve (sax), Silvan Jeger (b), Vincent Glanzmann (dr)",2016-03-15,"Jazz, Blues, Soul",Lebewohlfabrik, Zürich
Werner und Company (A),2016-03-15,Pop,Bierhalle Wolf, Zürich
"Schnoz & Coray play Kind of Blue, Andi Schnoz (g), Rees Coray (b)",2016-03-15,"Jazz, Blues, Soul",Bergkirchli, Arosa
DJ Temple,2016-03-15,"Hip Hop, R'n'B",Labor, Zürich
"Geoff Berner (USA), Brewed Goblins",2016-03-14,Pop,Gewerbehalle, Luzern
Ab 28 Jahren,2016-03-14,"Hip Hop, R'n'B",Kaufleuten, Zürich
Black Earth Band,2016-03-14,Pop,Barrio 5, Zürich
"Eli Degibri, Eli Degibri (sax), Gadi Lehavi (p), Barak Mori (b), Eviatar Slivnik (dr)",2016-03-14,"Jazz, Blues, Soul",Moods, Zürich
Kelley McRae (USA),2016-03-14,"Rock, Indie, Punk, Heavy Metal, Gothic",Portier, Winterthur
"Lamp, The Mechanical Birds Factory, Legacy",2016-03-14,"Jazz, Blues, Soul",Jazzkantine, Luzern
Moran (CAN),2016-03-14,Pop,El Lokal, Zürich
Dahanukar-Howald-Moll,2016-03-14,"Jazz, Blues, Soul",Bar Wohnzimmer Les Amis, Bern
Jungstudierende Pre-College Musik der ZHdK,2016-03-14,Classic,Zürcher Hochschule der Künste (ZHdK), Zürich
DJ Classic,2016-03-14,"Hip Hop, R'n'B",Vior Club, Zürich
"DJs Tiago, El Nino",2016-03-14,"Hip Hop, R'n'B",El Cartel, Luzern
Aad Hollander Trio From Hell,2016-03-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Helsinki, Zürich
Vega & Bosca (D),2016-03-13,"Hip Hop, R'n'B",Grabenhalle,
"DJs Pepe, Samy, Plinio, El Mono",2016-03-13,"Ragga, Reggae, African Music, Dancehall",Kaufleuten, Zürich
KeenV,2016-03-13,"Hip Hop, R'n'B",Les Docks, Lausanne
DJ Pepe,2016-03-13,"Ragga, Reggae, African Music, Dancehall",Gundeldingerfeld, Basel
Jazzarmonics,2016-03-13,"Jazz, Blues, Soul",Restaurant Commihalle, Zürich
"Hristo Kazakov (Kl), Werke von Beethoven",2016-03-13,Classic,Goetheanum, Dornach
"Aminta Marie Dupuis (S), Julien Freymuth (Counter-T), Arisa Kawasugi (Kl, Org), Werke von Pergolesi",2016-03-13,Classic,Klosterkirche, Dornach
"Kultur & Volk, Leitung: Ines Bauer, Werke von Giovanna Marini (UA), Moderation: Big Zis",2016-03-13,Classic,Photobastei, Zürich
"Werke von Debussy, Schubert, Britten",2016-03-13,Classic,Museum Langmatt, Baden
"Annika Treutler (Kl), Werke von Haydn, Sergei Prokofjew, Skrjabin, Brahms",2016-03-13,Classic,Burghof Lörrach,
"Sebastian Müller (vib), Bernhard Wagner (g), Anna Gschwend (vl, viola, voc), Texte von Ernst Jandl, Werke von Peter Gabriel, Frank Zappa u. a.",2016-03-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Gewerbemuseum, Winterthur
"DJs A. S. One, Alex Terry",2016-03-13,"Ragga, Reggae, African Music, Dancehall",Club Flamingo, Zürich
"DJs The Crow, Dragoncry, Das Mandat",2016-03-13,"Rock, Indie, Punk, Heavy Metal, Gothic",Jägerhalle, Basel
DJs SMK,2016-03-13,"Hip Hop, R'n'B",Gonzo, Zürich
Tobias Carshey,2016-03-12,Pop,Mehrspur, Zürich
DJ Gigi Caputo,2016-03-12,"Hip Hop, R'n'B",Adagio, Zürich
"DJs Ivanno P., Twin",2016-03-12,"Ragga, Reggae, African Music, Dancehall",Aura, Zürich
"Bushido (D), DJs Ecko, Urban Hands, Hugo R, Miguel M, Clubshow & Afterparty",2016-03-12,"Hip Hop, R'n'B",Escherwyss, Zürich
DJ Gichou,2016-03-12,"Hip Hop, R'n'B",Théâtre La Fourmi, Luzern
"John Coffey (NL), Steak Number Eight, Chelsea Deadbeat Combo, DJ Le président",2016-03-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Kulturfabrik Kofmehl, Solothurn
DJ Trouble H,2016-03-12,"Hip Hop, R'n'B",Kunstgütli Lounge & Bar, Baden
"Sun'n'Steel, support: Misery of Death",2016-03-12,"Rock, Indie, Punk, Heavy Metal, Gothic",dolder2 KultUhrBeiz, Feuerthalen
"Lisa Catena (voc, g)",2016-03-12,Pop,Kulturscheune, Liestal
"Greyhair Company, Dieter Grolimund (g, voc), Sigi Nikitscher (g, voc), Max Brasser (key), Stephan Lipp (b, voc), Thomas Schwabe (g, voc), Markus Schweizer (dr, voc)",2016-03-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Prima Vista, Baden
Rambling Man,2016-03-12,"Jazz, Blues, Soul",B & B Bar, Effretikon
Ryan Truesdell & The HKB Jazzorchestra,2016-03-12,"Jazz, Blues, Soul",Jazzcampus Club, Basel
Ursina und Rezia,2016-03-12,Pop,Schulanlage Falter, Oberwil-Lieli
"Sasquatch, Ephedra, Magnetic Mountain",2016-03-12,"Rock, Indie, Punk, Heavy Metal, Gothic",Musikzentrum Sedel, Luzern
"Monty Alexander Express feat. Houston Person & Herlin Riley, The Swiss Jazz Orchestra feat. Joshua Redman, opening night",2016-03-12,"Jazz, Blues, Soul",Kursaal Bern, Bern
David Lang,2016-03-12,Pop,Fassbühne, Schaffhausen
"Spillmann-Held, Thomas Lüthi Trio, Mats Spillmann (tp), Pablo Held (p), Thomas Lüthi (sax), Arne Huber (b), Claudio Strübi (dr)",2016-03-12,"Jazz, Blues, Soul",Jazzclub Allmend, Oberengstringen
"Blindflug, Björn Meyer, Wally und die sieben Geier",2016-03-12,"Jazz, Blues, Soul",Stanzerei, Baden
Insub Meta Orchestra,2016-03-12,Electronic,Kunstraum Walcheturm, Zürich
"Ensemble Spektrum, Marc Bätscher (Klar), Ursula Hächler (Vc), Jason Paul Peterson (Kl), Werke von Glinka, Tajevi, Zemlinsky",2016-03-12,Classic,Sebastianskapelle, Baden
"The Devil And The Universe (A), Phasenmensch (D)",2016-03-12,Pop,Dynamo, Zürich
"Ulrike Andersen (A), Harry White (Sax), Edward Rushton (Kl), Werke von van Eyck, William Bolcom, Karin Rehnqvist u. a.",2016-03-12,Classic,Kulturhaus Helferei, Zürich
"Silviya Savova-Hartkamp (V), Ryszard Groblewski (Va), Anna Tyka Nyffenegger (Vc), Seon-Deok Baik (Kb), Suguru Ito (Kl), Werke von Schubert, Rossini",2016-03-12,Classic,ZKO-Haus, Zürich
"Offene Chorgemeinschaft & Instrumentalensemble, Leitung: Kantor Daniel Schmid",2016-03-12,Classic,Grossmünster, Zürich
"Silviya Savova-Hartkamp (V), Ryszard Groblewski (Va), Anna Tyka Nyffenegger (Vc), Seon-Deok Baik (Kb), Suguru Ito (Kl), für Kinder bis 1 Jahr, auch um 14 Uhr",2016-03-12,Classic,ZKO-Haus, Zürich
"Alexander Seidel (Counter-T), Andrea Wiesli (Kl), Lieder nach Gedichten von Michael Ende",2016-03-12,Classic,Villa Sträuli, Winterthur
"Kurzdetail:, Vershon (JAM), Lukie Peng, Lukee",2016-03-12,"Hip Hop, R'n'B",Kaschemme, Basel
"DJs Scaleazy, Boogie Mel B, Biru Bee",2016-03-12,"Hip Hop, R'n'B",Club Bonsoir, Bern
"DJs Acee, Rubs",2016-03-12,"Hip Hop, R'n'B",Plaza Zürich, Zürich
"DJs Mike Steez, Nerz, Rocksteady",2016-03-12,"Hip Hop, R'n'B",Plaza Zürich, Zürich
"DJs Wild Pich, VS",2016-03-12,"Hip Hop, R'n'B",Duo Club,
"DJs Chronic, Miller, Goldfinger Brothers",2016-03-12,"Hip Hop, R'n'B",Ostquai, Basel
"DJs Alex Terry, Bassette (F)",2016-03-12,"Ragga, Reggae, African Music, Dancehall",Club Flamingo, Zürich
"Werke von Mozart, una coproduzione Oggimusica e Lugano Musica",2016-03-11,Classic,LAC, Lugano
"Pete Bamboo, DJs Lunk, Donki Phoon, Camaron",2016-03-11,"Rock, Indie, Punk, Heavy Metal, Gothic",Tap Tab Musikraum, Schaffhausen
Hosted by DJ LXL,2016-03-11,"Hip Hop, R'n'B",La Catrina, Zürich
"Roger & Schu (D), Main Concept (D)",2016-03-11,"Hip Hop, R'n'B",Exil, Zürich
Cloud,2016-03-11,"Rock, Indie, Punk, Heavy Metal, Gothic",Langstars, Zürich
"Dodo, After-Party mit Souljourney Sound",2016-03-11,"Hip Hop, R'n'B",Grabenhalle,
"Tantetimbuktu, Acapulco Stage Divers, Mayvie",2016-03-11,"Rock, Indie, Punk, Heavy Metal, Gothic",Bad Bonn, Düdingen
SaaFou Funk Band,2016-03-11,Pop,Barrio 5, Zürich
Momo Love (FL),2016-03-11,"Rock, Indie, Punk, Heavy Metal, Gothic",Café Henrici, Zürich
