club_adress,club_name,date,artiste
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 8 May 2010",P.Bell
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 8 May 2010",Wicked Wilma
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 7 May 2010",Format B
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 7 May 2010",Don Ramon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 7 May 2010",San Marco
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 7 May 2010",Wandler
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 7 May 2010",Ajele
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 7 May 2010",Benja
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 7 May 2010",Andaloop
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 1 May 2010",Kasper Bjørke
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 1 May 2010",Sarna
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 30 Apr 2010",Lenzmann
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 30 Apr 2010",BCee
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 30 Apr 2010",Tin Man
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 30 Apr 2010",Canson
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 30 Apr 2010",Klein und Lang
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Mon, 26 Apr 2010",New Young Pony Club
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 24 Apr 2010",Sebo K
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 24 Apr 2010",Manon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 24 Apr 2010",Don Ramon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 24 Apr 2010",Animal Trainer
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 23 Apr 2010",Brodinski
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 23 Apr 2010",Round Table Knights
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 17 Apr 2010",Remute
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 17 Apr 2010",San Marco
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 17 Apr 2010",Playlove
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 16 Apr 2010",Kellerkind
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 16 Apr 2010",Niko Schwind
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 16 Apr 2010",Animal Trainer
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 10 Apr 2010",Luna City Express
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 10 Apr 2010",M.in
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 10 Apr 2010",Reto Ardour
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 10 Apr 2010",Bassbüro
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 10 Apr 2010",Manuel Moreno
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 9 Apr 2010",Johannes Heil
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 9 Apr 2010",Serafin
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 9 Apr 2010",Pazkal
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 9 Apr 2010",Darrien
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Mon, 5 Apr 2010",Don Ramon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Mon, 5 Apr 2010",San Marco
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sun, 4 Apr 2010",Konrad Black
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sun, 4 Apr 2010",Ajele
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sun, 4 Apr 2010",Dejan
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sun, 4 Apr 2010",Ezikiel
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sun, 4 Apr 2010",Andri
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sun, 4 Apr 2010",Don Ramon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sun, 4 Apr 2010",San Marco
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 3 Apr 2010",Abe Duque
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 3 Apr 2010",Wandler
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 3 Apr 2010",Playlove
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 3 Apr 2010",Sarna
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 3 Apr 2010",Luki
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 2 Apr 2010",Moenster
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 2 Apr 2010",Lexy
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 2 Apr 2010",Gunjah
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 2 Apr 2010",Gleichschritt
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 1 Apr 2010",Busy P
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 1 Apr 2010",Breakbot
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 1 Apr 2010",Atomic Nick
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 1 Apr 2010",Le Frère
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 1 Apr 2010",Elvis Cassetta
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 1 Apr 2010",Rumlaut
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 27 Mar 2010",Pascal FEOS
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 27 Mar 2010",D.Diggler
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 27 Mar 2010",Benja
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 26 Mar 2010",Dominik Eulberg
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 26 Mar 2010",Mitsutek
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 26 Mar 2010",Manon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 26 Mar 2010",Ajele
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 20 Mar 2010",Don Ramon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 20 Mar 2010",San Marco
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 19 Mar 2010",Gleichschritt
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 19 Mar 2010",Andaloop
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 13 Mar 2010",Moonbootica
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 13 Mar 2010",Sobuth & Weiss
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 13 Mar 2010",Wicked Wilma
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 12 Mar 2010",Reinhard Voigt
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 12 Mar 2010",Ark
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 12 Mar 2010",Kalabrese
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 12 Mar 2010",Manon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 12 Mar 2010",Beda
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 12 Mar 2010",P.Bell
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 6 Mar 2010",Justus Kohncke
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 6 Mar 2010",Playlove
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 5 Mar 2010",Canson
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 5 Mar 2010",Andri
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 5 Mar 2010",Don Ramon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 5 Mar 2010",San Marco
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 27 Feb 2010",Manon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 27 Feb 2010",Animal Trainer
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 26 Feb 2010",T. Raumschmiere
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 26 Feb 2010",Daniel Meteo
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 26 Feb 2010",Benja
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 26 Feb 2010",Meikel
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 26 Feb 2010",Darrien
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 26 Feb 2010",Gill&Gill;
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 20 Feb 2010",Bloody Mary
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 20 Feb 2010",Playlove
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 20 Feb 2010",Sayan Sobuth
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 19 Feb 2010",Riva Starr
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 19 Feb 2010",Round Table Knights
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 13 Feb 2010",Don Ramon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 13 Feb 2010",San Marco
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 13 Feb 2010",Ajele
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 13 Feb 2010",Animal Trainer
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 13 Feb 2010",Wandler
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 13 Feb 2010",Bassbüro
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 13 Feb 2010",Sobuth & Weiss
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 12 Feb 2010",Styro 2000
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 12 Feb 2010",Playlove
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 12 Feb 2010",Flavor
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 12 Feb 2010",Gleichschritt
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 6 Feb 2010",Wareika
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 6 Feb 2010",Skinnerbox
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 6 Feb 2010",Florian Schirmacher
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 6 Feb 2010",Wicked Wilma
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 6 Feb 2010",San Marco
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 6 Feb 2010",Manon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 5 Feb 2010",H.O.S.H.
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 5 Feb 2010",Don Ramon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 5 Feb 2010",Klein und Lang
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 30 Jan 2010",Manon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 30 Jan 2010",Animal Trainer
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 30 Jan 2010",Wandler
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 30 Jan 2010",Dejan
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 30 Jan 2010",Benja
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 23 Jan 2010",Tama Sumo
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 23 Jan 2010",Fiedel
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 23 Jan 2010",nd_baumecker
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 23 Jan 2010",Don Ramon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 23 Jan 2010",Ajele
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 23 Jan 2010",Playlove
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 22 Jan 2010",Radioclit
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 22 Jan 2010",Luki
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 22 Jan 2010",Jimi Jules
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 22 Jan 2010",König Balthasar
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 22 Jan 2010",Le Citadin
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 21 Jan 2010",Sound Pellegrino Thermal Team
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 21 Jan 2010",Teki Latex
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 21 Jan 2010",DJ Orgasmic
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 21 Jan 2010",Round Table Knights
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 16 Jan 2010",Efdemin
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 16 Jan 2010",Gleichschritt
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 16 Jan 2010",Canson
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 16 Jan 2010",Nenad J.
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 15 Jan 2010",Fritz Kalkbrenner
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 15 Jan 2010",Mitsutek
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 15 Jan 2010",Ida
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 9 Jan 2010",S.P.Y
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 9 Jan 2010",Wicked Wilma
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 8 Jan 2010",Fritz Zander
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 8 Jan 2010",Zander VT
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 8 Jan 2010",Animal Trainer
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 8 Jan 2010",Squep
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 8 Jan 2010",Joker
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 8 Jan 2010",Ernie
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 2 Jan 2010",Wandler
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 2 Jan 2010",Sarna
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 31 Dec 2011",Manon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 31 Dec 2011",Animal Trainer
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 31 Dec 2011",Wandler
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 31 Dec 2011",Gleichschritt
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 31 Dec 2011",Dejan
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 31 Dec 2011",Reto Ardour
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 31 Dec 2011",Benja
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 31 Dec 2011",Ezikiel
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 31 Dec 2011",Playlove
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 31 Dec 2011",Sobuth & Weiss
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 31 Dec 2011",Nici Faerber
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 31 Dec 2011",Evolent
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 31 Dec 2011",Herr Müller
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 30 Dec 2011",Ben Klock
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 30 Dec 2011",Andrea Oliva
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 30 Dec 2011",Wicked Wilma
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 30 Dec 2011",Rumlaut
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 30 Dec 2011",Pablo Einzig
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 29 Dec 2011",Handbandits
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Mon, 26 Dec 2011",Fritz Zander
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Mon, 26 Dec 2011",Mutlu
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Mon, 26 Dec 2011",Animal Trainer
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Mon, 26 Dec 2011",Nici Faerber
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sun, 25 Dec 2011",Fritz Zander
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sun, 25 Dec 2011",Mutlu
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sun, 25 Dec 2011",Animal Trainer
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sun, 25 Dec 2011",Sobuth & Weiss
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sun, 25 Dec 2011",Kellerkind
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sun, 25 Dec 2011",Nici Faerber
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 23 Dec 2011",Dietrich
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 23 Dec 2011",Beda
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 23 Dec 2011",König Balthasar
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 23 Dec 2011",Herr Müller
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 23 Dec 2011",Le Citadin
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 22 Dec 2011",Malente
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 22 Dec 2011",Luke Redford
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 22 Dec 2011",Nici Faerber
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 22 Dec 2011",Mannequine
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 17 Dec 2011",Dyed Soundorom
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 17 Dec 2011",Dan Ghenacia
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 17 Dec 2011",Animal Trainer
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 17 Dec 2011",Benja
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 17 Dec 2011",Reto Ardour
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 17 Dec 2011",Adriatique
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 17 Dec 2011",Rare Movement
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 16 Dec 2011",Dapayk
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 16 Dec 2011",Chris Lattner
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 16 Dec 2011",Sayan Sobuth
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 16 Dec 2011",Manuel Moreno
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 16 Dec 2011",Nici Faerber
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 15 Dec 2011",Atomic Nick
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 15 Dec 2011",Le Frère
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 10 Dec 2011",Sebo K
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 10 Dec 2011",Marco Resmann
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 9 Dec 2011",Iron Curtis
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 9 Dec 2011",John Osborn
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 9 Dec 2011",Elie Eidelman
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 9 Dec 2011",Don Ramon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 3 Dec 2011",Pan-Pot
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 3 Dec 2011",Jan Blomqvist
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 3 Dec 2011",Eveline Fink
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 3 Dec 2011",Kalabrese
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 3 Dec 2011",Manon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 3 Dec 2011",Gleichschritt
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 3 Dec 2011",Sarna
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 3 Dec 2011",Herr Müller
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 3 Dec 2011",are:age
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 2 Dec 2011",Arnaud Rebotini
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 2 Dec 2011",Black Strobe
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 2 Dec 2011",Kombinat100
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 2 Dec 2011",Wandler
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 2 Dec 2011",San Marco
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 2 Dec 2011",Ezikiel
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 2 Dec 2011",Ata
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 2 Dec 2011",König Balthasar
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 1 Dec 2011",When Saints Go Machine
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 1 Dec 2011",Hey Today!
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 1 Dec 2011",Ertu & Pushkin
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 1 Dec 2011",Abdel Hady
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 26 Nov 2011",Oliver Koletzki
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 26 Nov 2011",Animal Trainer
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 26 Nov 2011",Ajele
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 26 Nov 2011",Adriatique
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 25 Nov 2011",Oliver $
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 25 Nov 2011",J.Phlip
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 25 Nov 2011",Round Table Knights
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 25 Nov 2011",Jimi Jules
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 19 Nov 2011",Magda
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 19 Nov 2011",Beda
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 19 Nov 2011",Meikel
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 19 Nov 2011",Ezikiel
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 19 Nov 2011",Helder
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 19 Nov 2011",Joram
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 18 Nov 2011",Till von Sein
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 18 Nov 2011",Kollektiv Turmstrasse
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 18 Nov 2011",Manon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 18 Nov 2011",Nici Faerber
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 17 Nov 2011",Ali Love
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 17 Nov 2011",Luke Redford
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 17 Nov 2011",Jimi Jules
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 12 Nov 2011",Karotte
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 12 Nov 2011",Alle Farben
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 12 Nov 2011",Gleichschritt
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 12 Nov 2011",Karl Kyrill
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 12 Nov 2011",Sarna
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 12 Nov 2011",Dread J
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 11 Nov 2011",Format:B
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 11 Nov 2011",Daniel Bortz
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 11 Nov 2011",Jake the Rapper
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 11 Nov 2011",Don Ramon
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 10 Nov 2011",Jack Pryce
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 10 Nov 2011",Abdel Hady
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 5 Nov 2011",Reinhard Voigt
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 5 Nov 2011",Pan/Tone
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 5 Nov 2011",Reto Ardour
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 5 Nov 2011",Benja
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 5 Nov 2011",Darrien
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 4 Nov 2011",BTK
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 4 Nov 2011",Canson
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 4 Nov 2011",Rumlaut
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 3 Nov 2011",Joyce Muniz
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 3 Nov 2011",Trinidad
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Thu, 3 Nov 2011",DVW
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 29 Oct 2011",Martin Landsky
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 29 Oct 2011",Rodriguez Jr.
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 29 Oct 2011",Animal Trainer
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 28 Oct 2011",Heidi
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Fri, 28 Oct 2011",San Marco
"Geroldstrasse 5; 8005, Zurich", Hive Club,"Sat, 22 Oct 2011",Marcel Fengler
