Adress,City,Latitude,Longitude,Venue
,La chaux-de-fonds,47.133333,6.85,Salle de la jeunesse
,Berne,46.963337,7.466535,Club edge
,Burgdorf,47.05,7.616667,Osterfestival
,Thun,46.75,7.616667,Anthra
,Zürich,47.37254,8.55051,Bellevue club
,Zürich,47.366667,8.55,Crazy space
,Lucerne,47.049545,8.304375,Schuur / wps that 90s show
,Zürich,47.366667,8.55,Wow festival with lz7
,Luzern,47.083333,8.266667,Eddies sun pub
,Kloten,47.444038,8.58223,Kolping arena
,Auw,47.216667,8.366667,"Trentini bar ""easter holiday concert"" http://wwwtrentiniauwch/"
,Buchs,47.166667,9.466667,Js club
,Schaffhausen,47.693802,8.63509,Club domino
,Buchs,47.165402,9.46858,Touch me at js club
,St. gallen,47.426392,9.37371,Trischliclub downstairs
,Saas fee,46.11171,7.93367,Saas fee
,Lugano,46.0,8.966667,Red sky
,Küblis,46.915001,9.77992,Osterrock
,Champéry,46.179371,6.87077,Parvis de leglise
,Neuchâtel,46.9813,6.89581,Svizzera
,Berne,46.916667,7.466667,Le ciel bern
,Berne,46.916667,7.466667,Rondel / sweet&sexy
,Bern,46.916667,7.466667,Du tha©a¢tre
,Auw,47.216667,8.366667,"Trentini bar ""easter holiday brunch concert"" http://wwwtrentiniauwch/"
,Zürich,47.366667,8.55,Maissouille
,Basel,47.566667,7.6,Zer alti schmitti
,Goldau,47.05,8.55,Goldauerhof
,Oberiberg,47.033333,8.783333,Derniere 13ni
,Basel,47.575901,7.58852,Platanenhof
,Steg,47.35,8.933333,The after club
,Zürich,47.366667,8.55,Icon
,Zürich,47.413021,8.55475,Sektor11
,Lenzerheide,46.75,9.55,End of season party
,Lyssach,47.066667,7.583333,Media markt lyssach
,Lyssach,47.066667,7.583333,Luca hanni & christopher s  kurzperformance u autogrammstunde
,Zürich,47.366667,8.55,Les points / naturklang / amboss rampe
,Lugano,46.002975,8.951305,Cecil
,Lausanne,46.533333,6.666667,Le desert
,Geneva,46.208358,6.142701,La maknho
,Zürich,47.36609,8.53797,"Tonhalle, kleiner saal"
,Küssnacht,47.084383,8.443151,B70 music bar
,Wattwil,47.3,9.083333,Kino passerelle
,Basel,47.55236,7.58757,Balz klub
,Geneva,46.208358,6.142701,Showcase urgence disk
,Geneva,46.208358,6.142701,Pachinko
,Geneva,46.2,6.166667,Feed your soul at la graviere
,Biel-benken,47.505211,7.52535,Leldorado
,Luzern,47.053953,8.339886,Dojo wurzenbach luzern
,Versoix,46.28168,6.16491,Artists pub
,Bern,46.916667,7.466667,Jack club
,Delémont,47.364201,7.34656,Sas  switzerland
,Saignelégier,47.2561,6.99492,Jam session medaille dor de la chanson
,Munsingen,46.883333,7.566667,Chutzefest
,Bern,46.916667,7.466667,Jetlaeg  http://wwwjetlaegch
,Meienried,47.138302,7.33944,Mojo club
,Bern,46.916667,7.466667,Tekkno town festival | fr  sa 2526042014 | gaskessel bern ch
,Bern,46.916667,7.466667,Gaskessell
,Biel/bienne,47.140888,7.247257,Ajz chessu / coupole
,Zürich,47.366667,8.55,"Platzfascht, sechselautenplatz"
,Zürich,47.366667,8.55,Klubi w/ mulo muto
,Basel,47.566667,7.6,Quartiertreffpunkt lola
,Wohlen,47.352531,8.27784,Kulturbeiz chappelehof
,Uster,47.333333,8.7,Jazz club uster
,Zürich,47.366667,8.55,Radio show 105
,Bülach,47.517601,8.54165,Quovadis
,Sennwald,47.266667,9.5,Mega party
,Chur,46.855114,9.532745,Seilerbahnweg 7
,Chur,46.850208,9.53118,Hemingway bar
,Sennwald,47.266667,9.5,Megaparty
,Baden,47.478138,8.308636,Royal club
,Martigny,46.1,7.083333,Les caves du manoir w/ a storm of light  mgr
,Geneva,46.2001,6.1673,Ba¢timent des forces motrices
,Yverdon-les-bains,46.783333,6.65,Tempo
,Orbe,46.724875,6.531058,2 poissons
,Martigny,46.101375,7.072902,Barock
,Geneva,46.2,6.166667,Mr pickwick pub http://wwwmrpickwickch/
,Saignelégier,47.255896,6.995409,Medaille dor de la chanson francaise
,Bern,46.916667,7.466667,Strassensession
,Saignelégier,47.255896,6.995409,Saignelegier
,Courtételle,47.340099,7.30899,Laaf theatre
,Solothurn,47.233333,7.516667,Hafebar
,Vex,46.18361,7.38631,The bear bar
,Sion,46.228096,7.358863,Bar saintjames station
,Allschwil,47.5523,7.53689,Muller
,Allschwil,47.550475,7.535556,"Autogrammstunden tour 2014 "" dance until we die"""
,Allschwil,47.5523,7.53689,Muller autogrammtour
,Spreitenbach,47.416667,8.366667,Tivoli
,Sumiswald,47.02496,7.74151,Sternen pub
,Basel,47.566667,7.6,Night jam
