Adress,City,Latitude,Longitude,Venue
,Fribourg,46.8,7.15,Aula de luniversita©
,Roches,47.302299,7.37737,Landiwiese sa¼d
,Lucerne,47.049545,8.304375,Lukaskirchelucerne festival
,Turtmann,46.305695,7.736802,Open air gampel festival
,Gampel,46.316502,7.744,Gampel festival
,Muotathal,46.973975,8.7583,Mountains of death
,Ballwil,47.151303,8.316849,Remise schonfeld
,Fribourg,46.960011,7.172241,Salle paroissiale du christroi
,Berne,46.948429,7.44046,Royal arena
,Aeschi bei spiez,46.656535,7.695525,Hatti alive 2010
,Thun,46.759786,7.623973,Cafe/bar mokka
,Roches,47.302299,7.37737,Landiwiese seeba¼hne
,Roches,47.302299,7.37737,Landiwiese club
,Gampel,46.316506,7.744009,Gampel openair festival
,Siebnen,47.1824,8.89812,Falkenstock openair
,Langenthal,47.216667,7.783333,Wuhrplatzfest
,Zürich,47.37561,8.57674,Dolder bad
,Basel,47.566667,7.6,Ma¼nsterplatz
,Zürich,47.366667,8.55,Elijah & glenn washington| alte kaserne
,Pully,46.519671,6.669153,Site des 4vents
,La chaudanne,46.465561,7.09763,Meribel
,Zürich,47.366667,8.55,Idaplatzfest
,Winterthur,47.504421,8.72992,"""gisi"" winterthur"
,Winterthur,47.4842,8.73126,Winterthur music festival
,Schwyz,47.02166,8.65243,Repointed festival
,Winterthur,47.498303,8.728377,Winterthurer musikfestwochen
,Muri,47.27424,8.340985,Festival frischluftkultur
,Zürich,47.37706,8.53955,Flux open air
,Gampel,46.316502,7.744,Open air arena
,Winterthur,47.484201,8.731255,Musikfestwochen
,Murten,46.929532,7.117531,Franz kirche
,Roches,47.302299,7.37737,Werft
,Roches,47.302299,7.37737,Landiwiese nord
,Cernier,47.066667,6.9,Tromboncina
,Begnins,46.44437,6.258791,Jval festival
,Lausanne,46.519595,6.632335,Anthony rother live
,Lausanne,46.519588,6.63233,Electrosanne festival
,Rümlang,47.453011,8.53007,Festival ground rumlang
,Zürich,47.43924,8.56457,Zurich openair Festival
,Zürich,47.377704,8.540832,Railcity hauptbahnhof
,Frauenfeld,47.556889,8.88894,Blissful oblivion
,Lucerne,47.049545,8.304375,Tschoppis wonderbar
,Basel,47.54874,7.58768,Saturn never sleeps live  for radioliving roomfm
,Zürich,47.366667,8.55,Zurich festival
,Zug,47.166667,8.516667,Rock the docks festival
,Arbon,47.516667,9.433333,Quay arbon at lake constance
,Morges,46.509121,6.49572,Raiffeisen rock attitude
,Begnins,46.444376,6.258801,Serreauxdessus
,Chambésy,46.242458,6.14391,Festival veridik
