ambigous_result,genre,name,no_result,origin
0,alternative rock,Thurston Moore,0,
1,,Baby Prince,0,
1,,The Bassment,0,
1,,Gadi Mizrahi,0,
0,,The OK Band,1,
0,,Die Vier Jahreszeiten SAANEN,1,
0,,Die vier Jahreszeiten,1,
1,,Dusty Hill,0,
0,dancehall,Beres Hammond,0,
0,,AAron Rossi,0,
0,alternative metal,Ministry,0,
0,,Tension Festival Basel Day,1,
0,,Nightticket,1,
0,,Bienvenue chez les Ch'tis,1,
0,,in der Barfussbar,1,
0,,Steve Sanders ( Dj Majesty ),1,
0,,Voodoo Rhythm Night,1,
0,,WACKEN 2012 BUS DEPART DE GENEVE,1,
0,,PoolParty @ CityBeach,1,
0,latin,Calle 13,0,
0,,Puszta Company,1,
0,,Bach Solo,1,
0,,Bach Solo  LAUENEN B. GSTAAD,1,
0,,Dialekt MURTEN,1,
0,,Le syndrome du chat,0,
0,balearic,Psychemagik,0,
0,broken beat,Peven Everett,0,
0,abstract beats,Flako,0,
0,deep soul house,Marcellus Pittman,0,
0,,Awanto3,0,
0,alternative dance,Todd Terje,0,
0,chanson,Jean-Louis Aubert,0,
0,acid jazz,Azymuth,0,
0,,Roxie's Rock n Roll Parking Lot,1,
0,,John Lee jr Hooker,1,
0,,Neue Zeiten,1,
0,,The amazing spider,1,
1,,BKB-,0,
0,,NUOVE DATE,1,
0,,NEUE DATEN,1,
0,harp,Xavier de Maistre,0,
0,,Harfe SILS,1,
0,,Gene Hoglan,0,
0,,Openair Birsfelden,1,
0,deep hardstyle,Frontliner,0,
0,,Kim Gordon,0,
0,free improvisation,Ikue Mori,0,
1,,On the Road,0,
0,,Mi-Été de la Brévine,1,
0,,Apl.de.ap Colombia,1,
0,,GENEVA ART FESTIVAL,1,
0,,La Clinique de l'Amour,1,
0,,Matinee Des Jeunes Etoiles Iii,1,
0,,Matinee Des Jeunes Etoiles Iii GSTAAD,1,
1,,Kopatchinskaja,0,
0,,lets go back,1,
0,,spin that tune,1,
1,,Basto,0,
0,,Bass Jakers,1,
1,,Party Rock,0,
1,,Ado,0,
0,,LMFAO_Europe,1,
0,,Taktvoll Electronic Music Festival,1,
0,,Brian Lopez Music,1,
0,,Cirque Du Soir,1,
0,,Joe Maglia,1,
0,,Amelie de Montmartre,1,
0,,stella orfeo,1,
0,,Casually Dressed,0,
1,,Min&Mal,0,
0,,TELL Freilichtspiele in Interlaken,1,
0,,Magic Night Of Rock,1,
0,,Magic Night Of Rock SURSEE,1,
1,,Zodiac,0,
0,,"BoySetsFire, Madball and more",1,
0,melodic hardcore,boysetsfire,0,
0,,Sp/df USTER,1,
0,,Nigel Wright,0,
0,celtic punk,SIR REG,0,
0,,w Black Dahlia Murder,1,
0,,The Black Dahlia Murder ZÜRICH,1,
0,,Lay the Favorite,1,
1,,Marco Bianchi,0,
0,,"Wettbewerbsgewinner ""Concours Geza Anda"" 2012 ST. MORITZ",1,
0,soft rock,Starbuck,0,
0,,Blockflöten ST. MORITZ,1,
1,,Dorothee Oberlinger,0,
0,,Kiefer Hablitzel Preisträger GSTEIG B. GSTAAD,1,
0,,Kiefer Hablitzel Preisträger,1,
0,,Abraham Lincoln Chasseur de Vampire,1,
0,,COOP SUPERCARD NIGHT MURTEN,1,
0,deep liquid bass,FD,0,
0,grave wave,Light Asylum,0,
0,chaotic hardcore,Birds In Row,0,
0,chaotic hardcore,Converge,0,
0,,Claudia Lovisa,0,
1,,WYNTON MARSALIS QUINTET,0,
0,,1-Tageskarte Mittwoch,1,
0,,4-Tageskarte,1,
0,,James Lann,0,
0,,COOP SUPERCARD NIGHT WOHLEN AG,1,
0,country blues,Harry Manx,0,
1,,"""Das Festival""",0,
0,,Gitarrentage I,1,
0,,DJ Elb,0,
0,,Gitarrentage Ii,1,
0,destroy techno,Clouds,0,
0,,ZKB Night,1,
0,,FAI BABA Plattentaufe ZÜRICH,1,
0,,The Dictator,1,
0,british folk,3 Daft Monkeys,0,
1,,The Destroyers,0,
0,,Babycall,1,
0,french folk pop,MamienCo,0,
0,,The Carny Villains,1,
1,,the Lady,0,
1,,Dean Blunt & Inga Copeland,0,
0,,SADY K DISKOSTAR,1,
0,,Deutsche Festmusik Des 18. Jh.,1,
0,bachata,Romeo Santos,0,
0,,Deutsche Festmusik Des 18. Jh. SAANEN,1,
0,bebop,Wynton Marsalis,0,
0,,Freitags-Pass,1,
0,minimal dub,Madteo,0,
0,,Gatasanta & Art Vega,1,
0,,Elektro Guzzi,0,
0,,Lucerne Summer Festival,1,
0,,DJ Steve TM,1,
1,,Safe House,0,
0,,Matinee Des Jeunes Etoiles Iv,1,
